name,subname,country,county,city,commune,address,directions,phone,email,email2,website_url,cif,iban,siruta_code,is_active
"DIRECȚIA GENERALĂ DE IMPOZITE ȘI TAXE LOCALE A SECTORULUI 1, CONSILIUL LOCAL SECTOR 1",,Romania,București,Sector 1,,Str. Piața Amzei nr. 13,,Tel: /fax 021.311.91.08 / 021.312.72.4,secretariat_pj@impozitelocale1.ro /  info@impozitelocale1.ro,secretariat_pf@impozitelocale1.ro,,12293095,RO07TREZ70121150201XXXXX,179141,1
DIRECŢIA VENITURI BUGET LOCAL SECTOR 2,,Romania,București,Sector 2,,Sos. Morarilor nr.6 Str. Mihail Glinka Ivanovici nr.7 ,,Tel: 0372.10.61.58 / 0314.03.99.00 /  Tel: +021.242.08.82 / fax 021.230.73.30,ipj@impozitelocale2.ro,pad@impozitelocale2.ro,,13811802,RO29TREZ70221150201XXXXX,179150,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE SECTOR 3,,Romania,București,Sector 3,,"str. Sfanta Vineri nr.32, sector 3, cod 030205",,Tel: 021.3275145 / 021.3275146,relatii@ditl3.ro,www.ditl3.ro,,4420465,RO51TREZ70321150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE SECTOR 4,SERVICIUL CONSTATARE PERSOANE JURIDICE,Romania,București,Sector 4,,"Sediul central in Bd. Metalurgiei nr. 12-18, Grand Arena, Et. 1 ",,Tel: 021.40.50.825 / 021.40.50.826 / 021.40.50.828 / 021.9441 ,office@dgitl4.ro,office@taxeimpozite4.ro,,4316422,RO73TREZ70421150201XXXXX,179178,1
"DIRECȚIA GENERALĂ DE IMPOZITE ȘI TAXE LOCALE A SECTORULUI 5, CONSILIUL LOCAL SECTOR 5",,Romania,București,Sector 5,,Strada Mihail Sebastian 23,,Tel: 0799.208.181 / 0724.500.559,constatarepj@ditl5.ro,cretu.manuela@ditl5.ro,,38320436,RO95TREZ70521150201XXXXX,179141,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE SECTOR 6 ,SERVICIUL CONSTATARE PERSOANE JURIDICE,Romania,București,Sector 6,,Str. Brașov nr. 25,,Tel: 0374817710 / 4137790 ,asistenta@taxelocale6.ro,,,12380248,RO20TREZ70621150201XXXXX,,1
DIRECȚIA VENITURI - SERVICIUL IMPUNERE PERSOANE JURIDICE MUNICIPIUL ARAD,,Romania,Arad,Arad,,str. Mucius Scaevola nr. 11 ,,Tel: +40-257-214.334  Tel: 0257-283.312 int. 116 / 119,dvp.sipj@primariaarad.ro,sipf@primariaarad.ro,,3519925,RO82TREZ02121150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE BACĂU,,Romania,Bacau,Bacău,,"Strada V. Alecsandri, nr. 63",,Tel: 0234 570 910 Fax: 0234 525 022,taxe-impozite@primariabacau.ro,,,4278337,RO89TREZ06121150201XXXXX,,1
PRIMARIA COMUNEI BAIA DE FIER,,Romania,Gorj,,Baia de Fier,nr. 364,,Tel: 0253 461 202 Fax: 0253 461 012,baiadefierprimaria@yahoo.com,,,4718896,RO94TREZ33921150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE BAIA MARE,,Romania,Maramures,BAIA MARE,,"Str. Crişan, nr. 2",,Tel: 0262 211 005 / 0372-624188   Fax: 0262 211 004,venituri@baiamare.ro,,,3627692,RO94TREZ43621150201XXXXX,,1
Municipiul Bistriţa Direcţia Economică -venituri,,Romania,Bistrita Nasaud,Bistriţa ,,str. Al. Odobescu nr. 17,,Tel: 0263239070,primaria@primariabistrita.ro,,,4347569,RO96TREZ10121150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE Municipiul BOTOŞANI,,Romania,Botosani,Botosani,,CALEA NAŢIONALĂ NR. 70,,"Tel: 0372.316.725/ 0372.316.739, 0231.582523 int.235",primaria@primariabt.ro,ditlbt@primariabt.ro,,3372882,RO38TREZ11621150201XXXXX,,1
Serviciul Constatare şi Impunere Persoane Juridice Directia Economica,,Romania,Braila,Braila,,"Piaţa Traian nr. 14 ,  b-dul. A.I. Cuza, nr. 105","Registratură, ghișeul nr. 1 Calea Călărașilor nr. 17",Tel/Fax: 0239/627501 Tel: 0785222513,scipj@pmbr.ro,,,4205670,RO32TREZ15121150201XXXXX,,1
CONSILIUL  LOCAL  AL  MUNICIPIULUI  BRAŞOV - DIRECTIA  FISCALA,,Romania,Brasov,Braşov,,"Str. Dorobanţilor nr. 4, cp 500009",,Tel: +40-268-474440  Fax : +40-268-410540,dirfiscala@brasovcity.ro,dirfiscala@dfbv.ro,,4384206,RO77TREZ13121150201XXXXX,,1
PRIMARIA DIRECŢIA IMPOZITE ŞI TAXE LOCALE COMUNA BUDEASA,,Romania,Argeș,,Budeasa,"Budeasa Mare, CP 117155",,Tel: 0248236.457,primarie@budeasa.cjarges.ro,,,4469566,RO88TREZ04624510271XXXXX,,1
PRIMARIA DIRECŢIA IMPOZITE ŞI TAXE LOCALE-COMUNA BREBU NOU ,Primaria Gărâna,Romania,Caras Severin,,Brebu Nou,"Str. Principala, 66, cp 327050",,"Tel: 0374 010 988, 0751112380",primaria.garina@yahoo.com,,,3227637,,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE BUZĂU,,Romania,Buzau,Buzau,,"str. Unirii nr.163, cp 120271",,Tel: 0238-717664 / 717658 Centrală /Registratură 0238-411015,primbz_cabinet@buzau.ro,,,4233874,RO71TREZ16621150201XXXXX,,1
PRIMARIA MUNICIPIULUI CARANSEBES,,Romania,Caras Severin,CARANSEBES,,"STR. PIATA REVOLUTIEI, Nr. 1",,"Tel: /fax.0255.514885/0355421991,fax0255515139",primaria.caransebes@gmail.com,,,3227947,RO35TREZ18221150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE,SERVICIUL CONSTATARE PERSOANE JURIDICE,Romania,Cluj,Cluj-Napoca,,Piaţa Unirii nr.1,,Tel: /fax. 0264-597750,persoanejuridice@primariaclujnapoca.ro,registratura@primariaclujnapoca.ro,,4305857,RO07TREZ21621150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE CONSTANȚA,SERVICIUL CONSTATARE PERSOANE JURIDICE,Romania,Constanta,Constanta,,Bd. Tomis nr. 112,,Tel: /fax.0241488532;,office@spit-ct.ro,ag6@split-ct.ro,,4785631,RO46TREZ23121150201XXXXX,,1
PRIMARIA COMUNEI CORBI,,Romania,Argeș,,Corbi,"str.  Voicu Corvin, NR 235,  sat Corbi, cp 117285",,Tel: /fax.0248580005,primariacorbi@yahoo.com,,,4318296,,,1
Municipiul Craiova/Primaria Municipiului Craiova/Directia Impozite si Taxe,,Romania,Dolj,Craiova,,Calea Bucuresti nr.51C,,Tel: 0251.411111;416235 int.301 /0251.414237,impunerepersoanejuridice@primariacraiova.ro,direxec_dit@primariacraiova.ro,,4417214,RO08TREZ29121150201XXXXX,69900,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE - MUNICIPIUL GALAȚI,,Romania,Galati,Galati ,,"Str. Basarabiei Bl. A16, parter",,Tel: T.0236.307756;307773/307754,sesizari@primariagalati.ro,webmaster@primariagalati.ro,,3814810,RO47TREZ30621150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE IASI,SERVICIUL CONSTATARE PERSOANE JURIDICE,Romania,Iasi,Iasi,,"B-dul. Ştefan cel Mare Şi Sfânt, nr. 11",,Tel: 40-232-267582,impozite.taxepj@primaria-iasi.ro,impozite.taxepf@primaria-iasi.ro,,4541580,RO16TREZ40621150201XXXXX,95060,1
Ineu Direcţia Economică -venituri ,SERVICIU IMPOZITE ŞI TAXE LOCALE INEU,Romania,Arad,Ineu,,"Strada Republicii nr.5, cp 315300",,Tel: 0257-511 550; Fax: 0257-511 965,primaria@primariaineu.ro,,,3519020,RO51TREZ02421150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE COMUNA TUȘNAD,,Romania,Judetu Harghita,Băile Tușnad,,"Strada Oltului 63, cp 535100",,Telefon: 0266 335 017,office@primbt.ro,,,4245348,,,1
UNITATEA/SUBDIVIZIUNEA ADMINISTRATIV-TERITORIALĂ,SERVICIU IMPOZITE ŞI TAXE LOCALE comuna INEU,Romania,Bihor ,Ineu,,"Principală, nr. 7,CP 417295",,Tel: 0259.347.009;0259-347015,primariaineu@yahoo.com,,,4935208,RO02TREZ07621070250XXXXX,,1
