id,denumire,cui,nr_reg_com
66,ASOCIATIA ARCHANGELS MC TOPOLOVENI,40854100,seria A nr. 1386369
320,ASOCIATIA ARIPI PENTRU TOTI APT,45415253,seria A nr. 1139639
19,ASOCIATIA ART -MUSIC FOR PEOPLE,34003257,seria A nr. 1084739
159,ASOCIATIA ART CHANNEL,39064620,
273,ASOCIATIA ARTDEAL,34226950,
72,ASOCIATIA AZURIA,32658056,
131,ASOCIATIA BREASLA ACTORILOR,36099321,6/PJ/16.05.2016
108,ASOCIATIA BULL BIKERS BE FREE AND HELP,45485615,seria A nr. 1470482
114,ASOCIATIA CELTIC TRANSILVANIA,33938569,
78,ASOCIATIA CIVIC ROCK,47495216,seria A nr. 1208329
95,ASOCIATIA CLUBUL POLITISTILOR MOTOCICLISTI BLUE KNIGHTS ROMANIA IV,39397128,seria A nr.1329071
456,ASOCIATIA CLUJUL CULTURAL,34049912,seria A nr. 1071207
211,ASOCIATIA CULTURAL ARTISTICA-HARA,18821246,
298,ASOCIATIA CULTURALA AMARCORD,27100427,
194,ASOCIATIA CULTURALA ART GROUP 7,28631338,
433,ASOCIATIA CULTURALA ART PERFORMANCE,39450078,
302,ASOCIATIA CULTURALA ARTS CAMP,39968585,seria A nr. 1248105
122,ASOCIATIA CULTURALA COCO SOUND LIGHTS STAGE EQUIPMENT,14725998,
22,ASOCIATIA CULTURALA DECIBEL,49003557,seria A nr. 1505168
176,ASOCIATIA CULTURALA DIRTY SHIRT,38373414,HJ 9332/282/2017
474,ASOCIATIA CULTURALA DIVINART,47544378,
197,ASOCIATIA CULTURALA EMBARGO,40055781,nr. 2024/04.10.2018
317,ASOCIATIA CULTURALA FANZIN,32344452,
316,ASOCIATIA CULTURALA FAT - MUSIC & EVENTS,31267262,seria A nr. 0842837
231,ASOCIATIA CULTURALA GETIC ART,30093680,seria A nr. 0786074
100,ASOCIATIA CULTURALA I SPEAK ENGLISH,29453999,seria A nr. 0460993
105,ASOCIATIA CULTURALA INDART,18473079,
424,ASOCIATIA CULTURALA PIATRA METAL,43936670,CI: IF/667750
128,ASOCIATIA CULTURALA PLAY,32250510,
109,ASOCIATIA CULTURALA PRAGUL DE SUS,32476518,seria A nr. 0169217
308,ASOCIATIA CULTURALA S.ART,41413101,seria A nr. 1105211
422,ASOCIATIA CULTURALA SERVUS TRANSILVANIA (A.C.S.T.),34897190,
448,ASOCIATIA CULTURALA TEATRUL DE COPII,29760624,
368,ASOCIATIA CULTURALA TIARRA,36252483,
213,ASOCIATIA CULTURITA,47465088,seria A nr. 1140101
270,ASOCIATIA CartelArte LM,45647210,seria A nr. 1520197
369,ASOCIATIA DACIA FOLK,31963922,seria A nr. 0080373
180,ASOCIATIA DOMY MUSIC STAR,33646408,seria A nr. 1103701
73,ASOCIATIA FOLKUL ACASA IN REALITATE,32575449,seria A nr. 0469993
357,ASOCIATIA FREE RIDERS,28432165,
311,ASOCIATIA GENERALA A INGINERILOR DIN ROMANIA,RO3162244,seria B nr. 0511138
75,ASOCIATIA GREEN TIES-CRAVATE VERZI,42428194,
370,ASOCIATIA GRUPUL DE INITIATIVA SI ACTIUNE VASLUI,28797757,
234,ASOCIATIA GUGULAN ROCK,33143031,
47,ASOCIATIA Grai si Cant,41449270,
381,ASOCIATIA HAIDUCII LUI TERENTE,49228142,seria A nr. 1485432
379,ASOCIATIA HAIR REDIVIVUS,27137256,seria A nr. 0518048
93,ASOCIATIA INGERI PE DOUA ROTI,43756327,seria A nr. 1329648
209,ASOCIATIA INTERAKT ARTS,22900470,
31,ASOCIATIA INTERCULTURALA DUCU BERTZI,20552425,seria A nr. 0349939
261,ASOCIATIA INTERNATIONALA A POLITISTILOR,18255112,
200,ASOCIATIA JAZZ 4 YOU,36494754,seria A nr. 0987993
350,ASOCIATIA JAZZ ROCK TRANSILVANIA,28337244,
283,ASOCIATIA LEGIO PHOENIX MC SUCEAVA,38899410,
297,ASOCIATIA LUMIRA,48218744,seria A nr. 1010541
274,ASOCIATIA LYRA KRIPTO,51310472,Număr înscriere în Registrul Special: 3/ 15.01.2025
299,ASOCIATIA MA. CENTRU HOLISTIC,41373430,
330,ASOCIATIA MIKE VLAHOPOL MUSICIANS FOR MUSICIANS,35360207,
243,ASOCIATIA MINDFULNESS,49178648,seria A nr. 1509071
156,ASOCIATIA MONDAY SHADOWS,43465808,
257,ASOCIATIA MOTO MUSATINII,42672961,seria A nr. 122934
153,ASOCIATIA MUZICA UNESTE OAMENI,51272808,
277,ASOCIATIA NEXT DIMENSION,29230547,
76,ASOCIATIA NO SHEEP,36322830,
