"wp_event_id","event_date_time","event_end_date_time","data_eveniment_start","data_eveniment_end","expirare_eveniment"
"843640","2026-04-21 20:00","2026-04-21 22:00",,,"2026-04-21 22:00:00"
"844073","2026-05-09 11:00","2026-05-09 11:55",,,"2026-05-09 11:55:00"
"844288","2026-05-01 21:00","2026-05-01 23:00:00",,,"2026-05-01 23:00:00"
"844327","2026-03-26 19:00","2026-03-26 21:00",,,"2026-03-26 21:00:00"
"844356","2026-04-04 20:00","2026-04-04 22:00",,,"2026-04-04 22:00:00"
"844434","2026-03-31 19:30","2026-03-31 21:30",,,"2026-03-31 21:30:00"
"844451","2026-03-28 11:00","2026-03-28 11:45",,,"2026-03-28 11:45:00"
"844938","2026-04-18 16:00","2026-04-18 20:00",,,"2026-04-18 20:00:00"
"844986","2026-04-23 20:00","2026-04-23 22:00",,,"2026-04-23 22:00:00"
"845005","2026-08-01 16:30","2026-08-02 23:00","20260801","20260802","2026-08-02 23:00:00"
"845336","2026-06-25 12:00","2026-06-28 22:00","20260625","20260628","2026-06-28 22:00:00"
"845390","2026-04-03 22:00","2026-04-04 04:00",,,"2026-04-04 16:00:00"
"845570","2026-04-19 10:00","2026-04-19 11:15",,,"2026-04-19 11:15:00"
"845712","2026-04-03 20:00","2026-04-03 23:00",,,"2026-04-03 23:00:00"
"845776","2026-03-28 20:00","2026-03-28 22:00",,,"2026-03-28 22:00:00"
"845781","2026-03-29 19:00","2026-03-29 21:00",,,"2026-03-29 21:00:00"
"846071","2026-04-24 20:00","2026-04-24 22:00",,,"2026-04-24 22:00:00"
"846118","2026-05-09 11:00","2026-05-09 11:55",,,"2026-05-09 11:55:00"
"846191","2026-05-17 12:00","2026-05-17 13:00",,,"2026-05-17 13:00:00"
"846208","2026-06-06 11:00","2026-06-06 11:55",,,"2026-06-06 11:55:00"
"846252","2026-06-14 10:00","2026-06-14 11:00",,,"2026-06-14 11:00:00"
"846354","2026-04-18 11:00","2026-04-18 11:45",,,"2026-04-18 11:45:00"
"846401","2026-04-25 11:00","2026-04-25 11:45",,,"2026-04-25 11:45:00"
"846424","2026-04-04 12:00","2026-04-04 12:55",,,"2026-04-04 12:55:00"
"846439","2026-05-01 11:00","2026-05-01 11:45",,,"2026-05-01 11:45:00"
"846452","2026-05-16 11:00","2026-05-16 11:45",,,"2026-05-16 11:45:00"
"846490","2026-05-30 11:00","2026-05-30 11:45",,,"2026-05-30 11:45:00"
"846505","2026-05-02 11:00","2026-05-02 11:45",,,"2026-05-02 11:45:00"
"846534","2026-05-23 11:00","2026-05-23 11:45",,,"2026-05-23 11:45:00"
"846547","2026-06-01 11:00","2026-06-01 11:45",,,"2026-06-01 11:45:00"
"846563","2026-05-09 11:00","2026-05-09 11:45",,,"2026-05-09 11:45:00"
"846819","2026-05-13 20:00","2026-05-13 22:00",,,"2026-05-13 22:00:00"
"846845","2026-04-09 20:00","2026-04-09 22:00",,,"2026-04-09 22:00:00"
"848282","2026-04-18 11:00","2026-04-18 11:55",,,"2026-04-18 11:55:00"
"848408","2026-06-13 10:00","2026-06-13 11:00:00",,,"2026-06-13 11:00:00"
"848495","2026-05-14 20:30","2026-05-14 22:00",,,"2026-05-14 22:00:00"
"848520","2026-06-06 19:00","2026-06-06 20:00",,,"2026-06-06 20:00:00"
"848620","2026-04-18 18:00","2026-04-18 19:00",,,"2026-04-18 19:00:00"
"848662","2026-05-09 18:00","2026-05-09 19:00:00",,,"2026-05-09 19:00:00"
"848703","2026-05-09 18:00","2026-05-09 19:00:00",,,"2026-05-09 19:00:00"
"848709","2026-05-16 10:00","2026-05-16 11:00:00",,,"2026-05-16 11:00:00"
"848716","2026-05-16 12:00","2026-05-16 13:00:00",,,"2026-05-16 13:00:00"
"848802","2026-05-21 18:00","2026-05-21 19:00:00",,,"2026-05-21 19:00:00"
"848832","2026-03-29 11:00","2026-03-29 11:45",,,"2026-03-29 11:45:00"
"848853","2026-03-23 17:15","2026-03-23 17:15",,,"2026-04-04 22:00:00"
