"wp_product_id","name","wp_event_id","price","stock_qty"
"717297","Abonament Presale - ZONA B","717259","299","17"
"758524","20.03.26 Presale","758514","89","0"
"758525","20.03.26 Normal Acces","758514","100","0"
"758543","19.04.26 Earlybird","758537","79","42"
"758580","22.05.26 Earlybird","758572","79","33"
"758593","23.05.26 Earlybird","758589","79","1"
"762872","21.03.26 Bilet ora 20:30","576003","65","74"
"762896","22.03.26 Bilet ora 18:00","441134","65","77"
"771669","Abonament Blind Tickets","771658","130","97"
"776287","ABONAMENT PRE SALE","776088","260","995"
"780143","Bilet Donatie","780136","100","61"
"781435","Bilet Donatie","781426","120","82"
"785517","Categoria I","785161","60",
"785828","Categoria I","785808","60",
"785887","Categ.III","785205","50",
"785899","Categ.II","785205","60",
"785900","Categ.I","785205","70",
"793605","22.03.26 Acces","779342","40","72"
"793614","22.03.26 Oferta Grup","779342","35","73"
"797595","27.03.26 Acces fara loc","797579","70","112"
"800495","Presale Sâmbătă 28 martie 2026 – ZONA B","717259","180","18"
"800505","Presale Bilet Duminică 29 martie 2026– ZONA B","717259","160","22"
"810929","17.04.26 Acces","810915","70","138"
"811510","20.03.26 Presale","811399","75","47"
"811513","20.03.26 Normal Acces","811399","90","127"
"811750","19.03.26 Presale","811726","75","335"
"811751","19.03.26 Acces","811726","90","393"
"812415","21.03.26 Presale","803658","49","31"
"812569","22.03.26 Acces","814629","35","47"
"820888","Acces elev/student","820879","40","33"
"820901","Acces","820879","50","238"
"821170","19.04.26 Presale","821163","100","94"
"821377","18.04.26 Presale 1","821363","100","6"
"821875","26.03.26 Acces","821853","120","377"
"821884","28.03.26 Acces","821863","120","279"
"823996","21.03.26 Presale","823975","50","0"
"824006","21.03.26 Acces","823975","70","187"
"826647","Early Abonament General Acces Pass","826630","90","467"
"826830","22.05.26 Presale fara loc","826818","65","193"
"826952","03.04.26 Presale","826940","120","339"
"827393","23.04.26 Earlybird","827377","49","8"
"827601","26.04.26 Presale","827586","120","293"
"827938","28.03.26 Acces","827918","100","79"
"828090","21.03.26 Acces","739632","40","48"
"828382","Categoria V.I.P.","828363","100","6"
"829904","Presale in 21.03.26","829879","45","8"
"831747","Acces general","831737","50","50"
"831752","Cina Trattoria Monza","831737","200","10"
"832254","25.04.26 Acces","832234","50","248"
"833777","21.03.26 Presale","833768","79","7"
"833795","21.03.26 Acces","833768","100","96"
"834100","26.04.26 Presale","834009","49","144"
"834807","16.04.26 Earlybird","834794","45","25"
"835379","27.03.26 Acces","835368","60","17"
"835908","21.03.26 Oferta Grup","835889","30","136"
"835934","10.05.26 Acces ora 12:00","835902","40","150"
"835935","10.05.26 Acces Grup ora 12:00","835902","35","140"
"836668","20.03.26 Presale","836659","79",
"836672","20.03.26 Acces","836659","100","85"
"836965","21.03.26 Earlybird","836941","59","0"
"837439","Earlybird","837422","950","29"
"837899","Donatie I","837893","65","22"
"839520","Abonament Earlybird","839502","99","41"
"839698","Taxă de participare - FEMEIE","839648","119","39"
"839858","Donatie II","837893","80","69"
"840458","Earlybird Taxă de participare - FEMEIE","840449","119","0"
"840469","Earlybird Taxă de participare - BARBAT","840449","119","0"
"840470","Second Wave Taxă de participare - FEMEIE","840449","139","17"
"840474","Second Wave Taxă de participare - BARBAT","840449","139","18"
"840557","23.04.26 Acces","840536","69","46"
"842912","17.04.26 Presale","842802","60","48"
"842917","18.04.26 Earlybird","842807","60","49"
"842985","19.04.26 Earlybird","842822","60","35"
"842992","21.04.26 Earlybird","842852","65","10"
"843066","22.04.26 Earlybird","842860","65","31"
"843074","23.04.26 Earlybird","842871","65","41"
"843086","25.04.26 Earlybird","842899","65","31"
"843217","02.04.26 Acces","843210","40",
"843437","Acces Copii sambata 21.03.26 ora 11","843426","60","19"
"843438","Acces Adulti sambata 21.03.26 ora 11","843426","35","19"
"843654","21.04.26 Presale","843640","49","150"
"843679","02.04.26 Presale","843674","50","71"
"843757","10.04.26 Acces ora 20:00","811673","70","49"
"844079","Categoria III","844073","40",
"844083","Categoria II","844073","50",
"844090","Categoria I","844073","60",
"844298","01.05.26 Earlybird","844288","45","22"
"844301","01.05.26 Presale","844288","60","150"
"844334","26.03.26 Acces","844327","50",
"844369","04.04.26 Acces","844356","100","150"
"844439","Acces in 31.03.26","844434","50","81"
"844459","04.04.26 Presale","844356","79","55"
"844465","Acces sambata 28.03.26","844451","45","100"
"844941","Taxă de participare","844938","450","50"
"844994","Presale","844986","30","150"
"844998","Acces 1 + 1","844986","20","30"
"845004","Acces","844986","50","150"
"845025","Abonament Presale","845005","140","50"
"845030","Abonament General","845005","170",
"845248","Acces la masa ____ loc ___","837879","0","0"
"845249","Acces la masa ____ loc ___","835851","0","0"
"845347","First Wave Ticket","845336","470",
"845355","Family Pack 1+1 First Wave","845336","399.5",
"845364","Couple Pack 1+1 First Wave","845336","399.5",
"845365","Tribe Pack 5+1 gratis","845336","391.67",
"845397","03.04.26 bilet promotie","845390","15","44"
"845410","03.04.26 acces","845390","30","130"
"845575","Cat I","845570","60","0"
"845577","Categoria III","845570","50",
"845584","Categoria II","845570","60",
"845613","19.03.26 Acces cash","811726","0","0"
"845727","Earlybird - Taxă de participare - FEMEIE","845712","119","60"
"845728","Earlybird - Taxă de participare - BARBAT","845712","119","60"
"845786","Acces general","845776","50","120"
"845787","Front Row","845776","75","30"
"845788","Cina Trattoria Monza","845776","200","10"
"845797","Acces general","845781","50","120"
"845799","Cina Trattoria Monza","845781","200","30"
"846052","Categoria I","845570","70",
"846081","Acces","846071","50","148"
"846136","Categ.IV","846118","40",
"846142","Categ. III","846118","50",
"846145","Categoria II","846118","50","0"
"846150","Categoria I","846118","60","0"
"846214","Categoria III","846191","50",
"846219","Categoria II","846191","60",
"846224","Categoria I","846191","70",
"846247","Categ III","846208","40",
"846248","Categ II","846208","50",
"846253","Categ I","846208","60",
"846281","Categoria IV","846252","40",
"846282","Categoria III","846252","50",
"846288","Categoria II","846252","60",
"846292","Categoria I","846252","70",
"846357","Acces sambata 18.04.26","846354","35",
"846408","Acces sambata 25.04.26","846401","35",
