"order_item_id","wp_order_id"
"293918","778579"
"293919","778579"
"293920","778581"
"293921","778581"
"293922","778583"
"293923","778583"
"293924","778589"
"293925","778589"
"293927","778593"
"293926","778593"
"293928","778598"
"293929","778598"
"293930","778603"
"293931","778603"
"293932","778609"
"293933","778609"
"293934","778611"
"293935","778611"
"293936","778614"
"293937","778614"
"293938","778617"
"293939","778617"
"293941","778620"
"293940","778620"
"293942","778622"
"293943","778622"
"293945","778625"
"293944","778625"
"293946","778628"
"293947","778628"
"293948","778630"
"293949","778630"
"293950","778633"
"293951","778633"
"293952","778636"
"293953","778636"
"293954","778639"
"293955","778639"
"293956","778642"
"293957","778642"
"293958","778646"
"293959","778646"
"293960","778649"
"293961","778649"
"293962","778658"
"293963","778658"
"293964","778661"
"293965","778661"
"293966","778664"
"293967","778664"
"293968","778669"
"293969","778669"
"293971","778672"
"293970","778672"
"293972","778675"
"293973","778675"
"293974","778678"
"293975","778678"
"293976","778682"
"293977","778682"
"293978","778685"
"293979","778685"
"293980","778688"
"293981","778688"
"293982","778691"
"293983","778691"
"293985","778694"
"293984","778694"
"293986","778697"
"293987","778697"
"293988","778701"
"293989","778701"
"293990","778703"
"293991","778703"
"293992","778705"
"293993","778705"
"293994","778708"
"293995","778708"
"293996","778711"
"293997","778711"
"293998","778714"
"293999","778714"
"294000","778716"
"294001","778718"
"294002","778718"
"294003","778720"
"294004","778720"
"294005","778722"
"294006","778722"
"294007","778729"
"294008","778729"
"294010","778732"
"294009","778732"
"294011","778735"
"294012","778737"
"294013","778737"
"294015","778741"
"294014","778741"
"294016","778744"
"294017","778744"
"294018","778747"
"294019","778747"
"294020","778754"
"294021","778754"
"294022","778757"
"294023","778757"
"294024","778763"
"294025","778763"
"294026","778767"
"294027","778767"
"294028","778770"
"294029","778770"
"294030","778773"
"294031","778773"
"294033","778776"
"294032","778776"
"294034","778779"
"294035","778779"
"294036","778782"
"294037","778782"
"294038","778785"
"294039","778785"
"294040","778789"
"294041","778789"
"294042","778795"
"294043","778795"
"294044","778798"
"294045","778798"
"294046","778801"
"294047","778801"
"294048","778804"
"294049","778804"
"294050","778811"
"294051","778811"
"294054","778814"
"294052","778814"
"294053","778814"
"294055","778816"
"294056","778816"
"294057","778819"
"294058","778819"
"294059","778822"
"294060","778822"
"294061","778825"
"294062","778825"
"294063","778827"
"294064","778827"
"294065","778830"
"294066","778830"
"294067","778833"
"294068","778833"
"294069","778836"
"294070","778836"
"294071","778839"
"294072","778839"
"294073","778842"
"294074","778842"
"294075","778846"
"294076","778846"
"294077","778849"
"294078","778849"
"294079","778853"
"294080","778853"
"294116","778857"
"294115","778857"
"294084","778860"
"294083","778860"
"294085","778865"
"294086","778865"
"294087","778867"
"294088","778867"
"294089","778871"
"294090","778871"
"294091","778874"
"294092","778874"
"294093","778878"
"294094","778878"
"294095","778881"
"294096","778881"
"294097","778887"
"294098","778887"
"294099","778890"
"294100","778890"
"294102","778895"
"294101","778895"
"294103","778898"
"294104","778898"
"294105","778901"
"294106","778901"
"294107","778904"
"294108","778904"
"294109","778907"
"294110","778907"
"294111","778915"
"294112","778915"
"294117","778922"
"294118","778922"
"294119","778926"
"294120","778926"
"294122","778931"
"294121","778931"
"294123","778935"
"294124","778935"
"294125","778938"
"294126","778938"
"294127","778941"
"294128","778941"
"294129","778947"
"294130","778947"
"294132","778951"
"294131","778951"
"294133","778954"
"294134","778954"
"294135","778956"
"294136","778956"
"294137","778959"
"294138","778959"
"294139","778962"
"294140","778962"
"294141","778962"
"294142","778968"
"294143","778968"
"294144","778971"
"294145","778971"
"294146","778974"
"294147","778974"
"294148","778976"
"294149","778976"
"294150","778979"
"294151","778979"
"294152","778982"
"294153","778982"
"294154","778987"
"294155","778987"
"294156","778990"
"294157","778990"
"294158","779001"
"294159","779001"
"294161","779004"
"294160","779004"
"294162","779007"
"294163","779007"
"294164","779010"
"294165","779010"
