"wp_product_id","fee_amount","min_quantity","max_quantity"
"444",,,
"828","6%",,
"834",,,
"937",,,
"939",,,
"941",,,
"943",,,
"944",,,"5"
"945",,,
"946",,,
"947",,,
"949",,,
"1086","-9",,
"1087",,,
"1109",,,
"1110",,,
"1154","6%",,
"1180",,,
"1218",,"1","10"
"1283",,,
"1284","6%",,
"1285",,,
"1291",,,"8"
"1300",,,
"1370",,,
"1374",,,
"1375",,,
"1379",,,
"1381",,,
"1396",,,"8"
"1397",,,"8"
"1398",,,"8"
"1399",,,"8"
"1401",,,"8"
"1403","2,5",,"8"
"1492",,,
"1493",,,
"1494",,,
"1525",,,
"1529",,,
"1710",,,
"1711",,,
"1988",,,
"1989",,,
"1990",,,
"1999",,,
"2000",,,
"2057",,,
"2189",,,
"2190",,,
"2201",,,
"2202","2,5",,
"2448",,,
"2449",,,
"2527",,"0","0"
"2532",,,
"2533",,,
"2546",,,
"2547",,,
"2580",,,
"2582","6%",,
"2594",,,
"2828",,,
"2829",,,
"2930",,,
"2933","6%",,
"3302",,,
"3396",,,
"3398",,,
"3400",,,
"3401",,,
"3471",,,
"3472",,,
"3627",,,
"3628",,,
"3629",,,
"3652","6%",,
"3653","2",,
"3672",,,
"3674",,,
"3716",,,
"3717",,,
"3727",,,
"3785",,,
"3786",,,
"3788",,,
"3808",,,
"3817",,,
"3900",,,
"4002",,,
"4080",,,
"4091",,,
"4651","2,5",,
"4654","2,5",,
"4663",,,
"4672",,,
"4678","2,5",,
"4683",,,
"4712",,,
"4713",,,
"4716",,,
"4717",,,
"4985",,,
"4990",,,
"5004",,,
"5130",,,
"5131",,,
"5195",,,
"5196",,,
"5234","6%",,
"5266",,,
"5278",,,
"5279",,,
"5281",,,
"5394",,,
"5404",,,
"5405",,,
"5412",,,
"5413",,,
"5416",,,
"5460",,,
"5462",,,"15"
"5463",,,
"5464",,,
"5465",,,
"5466",,,
"5711",,,
"5713",,,
"5715","2,5",,
"5827",,,
"5975",,,
"6034",,,
"6035",,,
"6088",,,
"6093",,,
"6140","6%",,
"6386","2,5",,
"6390",,,
"6414",,,
"6446",,,
"6531",,,
"6538",,,
"6571",,,
"6625",,,
"6737",,,
"6738",,,
"6825",,,
"6889","6%",,
"7236",,,
"7237",,,
"7239","5%",,
"7240",,,
"7241",,,
"7371",,,
"7415",,,
"7418",,,
"7419",,,
"7482",,,
"7486",,,
"7487",,,
"7647",,,
"7648","6%",,
"7649",,,
"7650","6%",,
"7651","2,5",,
"7652","6%",,
"7653","6%",,
"7654","6%",,
"7655","6%",,
"7717",,,
"7718",,,
"7719",,,
"7720",,,
"7807",,,
"7809",,,
"7810",,,
"7811",,,
"7874",,,
"7875",,,
"7876",,,
"7877",,,
"7880",,,
"7881",,,
"7882",,,
"7885",,,
"7886",,,
"8107",,,
"8120",,,
"9011",,,
"9070",,,
"9071",,,
"9545",,,
"9546",,,
"9881",,,
"10053",,,
"10115","6%",,
"10123","2,5",,
"10125",,,
"10168",,,
"10169",,,
"10170",,,
"10171",,,
"10345",,,
"10349",,,
"10350",,,
"10447",,,
"10453",,,
"10481","2,5",,
"10482",,,
"10494",,,
"10495",,,
"10499",,,
"10500","5%",,
"10537",,,
"10538",,,
"10680",,,
"10715","2,5",,
"10719",,,
"10725",,,
"10879",,,
"10886",,,
"10887",,,
"10930",,,
"10931",,,
"11020",,,
"11021",,,
"11022","5%",,
"11023","6%",,
"11145",,,
"11149",,,
"11150",,,
"11156",,,
"11157",,,
"11158",,,
"11690",,,
"11691",,,
"12064",,,
"12065",,,
"12066",,,
"12214",,,
"12215",,,
"12439",,,
"12440",,,
"12441",,,
"12442",,,
"12443",,,
"12710",,,
"12743",,,
"12744",,,
"12750",,,
"12754",,,
"12755",,,
"12953",,,
"13293",,,
"13299",,,
"13321",,,
"13322",,,
"13327",,,
"13328","6%",,
"13349",,,
"13350",,,
"13352",,,
"13353",,,
"13367","2,5",,
"13368","2,5",,
"13443",,,
"13576",,,
"13578",,,
"14222",,,
"14223",,,
"14224",,,
"14226",,,
"14869",,,
"14948",,,
"14949",,,
"14956","6%",,
"14957","5%",,
"14978",,,
"14979","6%",,
"14985",,,
"15114","6%",,
"15125",,,
"15126",,,
"15127","6%",,
"15128","6%",,
"15129",,,
"15133","6%",,
"15134","6%",,
"15332",,,
"15333",,,
"15334",,,
"15335",,,
"15336",,,
"15337",,,
"15344",,,
"15345",,,
"15346",,,
"15347",,,
"15510",,,
"15515",,,
"15540",,,
"15541",,,
"16134",,,
"16217",,,
"16223",,,
"16224",,,
"16547",,,
"16548",,,
"16549","2,5",,
"16779",,,
"16781",,,
"16782",,,
"16834",,,
"16835","6%",,
"16840",,,
"16841",,,
"16842",,,
"17063",,,
"17084","6%",,
"17112",,,
"17116",,,
"17155",,,
"17167","6%",,
"17168","6%",,
"17170",,,
"17171",,,
"17173",,,
"17659",,,
"17715",,,
"17716",,,
"17725",,,
"17726",,,
"17746",,,
"17747",,,
"17748",,,
"17763",,,
"17764",,,
"17765",,,
"17770",,,
"17846",,,
"17847",,,
"17848",,,
"17850",,,
"17852","6%",,
"17920","2",,
"17958",,,
"17959",,,
"17964",,,
"17965",,,
"18443",,,
"18447",,,
"18448",,,
"18774",,,
"18775",,,
"18778",,,
"18779",,,
"18820",,,
"18912",,,
"18914",,,
"18915",,,
"18960",,,
"19090",,,
"19092",,,
"19094",,,
"19157",,,
"19158","2,5",,
"19198",,,
"19419",,,
"19424",,,
"19687",,,
"19688",,,
"19774",,,
"19967","5%",,
"19968","5%",,
"19978",,,
"19997",,,
"19998",,,
"20007",,,
"20013",,,
"20014",,,
"20018",,,
"20122",,,
"20170","2,5",,
"20177",,,
"20378",,,
"20379",,,
"20380",,,
"20404",,,
"20405",,,
"20406",,,
"20407",,,
"20419",,,
"20420",,,
"20421",,,
"20422",,,
"20423",,,
"20429",,,
"20430",,,
"20488",,,
"20489","2,5",,
"20516",,,
"20681",,,
"20682",,,
"20790","6%",,
"20791","6%",,
"20919",,,
"20920",,,
"20921",,,
"20943","6%",,
"20944","6%",,
"20945","6%",,
"21011",,,
"21012",,,
"21876",,,
"21879",,,
"21880","5%",,
"21992",,,
"21993","5%",,
"21994",,,
"22003",,,
"22004",,,
"22010",,,
"22061",,,
"22062",,,
"22063",,,
"22064",,,
"22221",,,
"22222",,,
"22223",,,
"22235",,,
"22236",,,
"22483","2,5",,
"22484",,,
"22545",,,
"22670",,,
"22673",,,
"22742",,,
"22743",,,
"22744",,,
"22773","6%",,
"22774",,,
"22775","5%",,
"22805",,,
"22806",,,
"22807",,,
"22808",,,
"22825",,,
"22826",,,
"22876",,,
"22877",,,
"22897",,,
"22898",,,
"22959",,,
"22960",,,
"22961",,,
"23049",,,
"23050",,,
"23051",,,
"23207",,,
"23209",,,
"23210",,,
"23211",,,
"23326",,,
"23628",,,
"23650",,,
"23651",,,
"23652",,,
"23653",,,
"23654",,,
"23685",,,
"23686",,,
"23690",,,
"24047",,,
"24048","6%",,
"24068",,,
"24069",,,
"24070",,,
"24158",,,
"24159",,,
"24161",,,
"24162",,,
"24167",,,
"24172",,,
"24274",,,
"24281",,,
"24282",,,
"24387",,,
"24490","6%",,
"24491","6%",,
"24492","6%",,
"24493","6%",,
"24494","6%",,
"24495","2,5",,
"24496","6%",,
"24497","5%",,
"24498",,,
"24641","5%",,
"24889",,,
"24890",,,
"24891",,,
"24894",,,
"24898","6%",,
"25092",,,
"25093",,,
"25094",,,
"25095",,,
"25120",,,
"25126",,,
"25127",,,
"25230",,,
"25231",,,
"25232",,,
"25233",,,
"25234",,,
"25235",,,
"25428",,,
"25450",,,
"25488",,,
"25489",,,
"25490",,,
"26367",,,
"26369",,,
"26488",,,
"26489",,,
"26632",,,
"26696","5%",,
"26697","2,5",,
"26698",,,
"26806",,,
