"wp_event_id","event_date_time","event_end_date_time","data_eveniment_start","data_eveniment_end","expirare_eveniment"
"186","2019-11-22 19:00","2019-11-22 23:00",NULL,NULL,"2019-11-22 23:00:00"
"189","2019-11-21 19:00","2019-11-21 23:00",NULL,NULL,"2019-11-21 23:00:00"
"792","2021-05-19 17:30","2021-05-19 21:30",NULL,NULL,NULL
"801","2017-04-01 19:30","2017-04-01 23:45",NULL,NULL,"2017-04-01 00:00:00"
"825","2018-02-04 19:00","2018-02-04 23:30",NULL,NULL,"2018-02-04 00:00:00"
"833","2018-03-09 19:00","2018-03-09 23:30",NULL,NULL,"2018-03-09 00:00:00"
"863","2018-03-11 19:00","2018-03-11 23:30",NULL,NULL,"2018-03-11 00:00:00"
"1046","2017-11-16 19:00","2017-11-16 23:30",NULL,NULL,
"1050","2017-11-03 19:00","2017-11-04 23:00","20171103","20171104","2017-11-04 23:00:00"
"1053","2017-10-31 19:00","2017-10-31 23:30",NULL,NULL,"2017-07-31 00:00:00"
"1056","2017-10-24 21:00","2017-10-24 23:30",NULL,NULL,"2017-10-24 00:00:00"
"1059","2017-10-13 18:00","2017-10-15 02:00",,,"2017-10-15 23:00:00"
"1075","2017-12-23 19:30","2017-12-23 23:55",NULL,NULL,"2017-12-23 00:00:00"
"1229","2017-12-27 21:00","2017-12-27 23:55",NULL,NULL,"2017-12-27 00:00:00"
"1279","2018-02-04 19:30","2018-02-04 23:30",NULL,NULL,"2018-02-04 00:00:00"
"1299","2018-02-13 19:00","2018-02-13 22:00",NULL,NULL,"2018-02-13 00:00:00"
"1373","2017-01-26 21:00","2018-01-26 23:45",NULL,NULL,"2018-01-26 23:00:00"
"1426","2018-05-07 19:00","2018-05-07 23:30",NULL,NULL,"2018-05-07 00:00:00"
"1471","2018-03-31 19:00","2018-03-31 23:50",NULL,NULL,"2018-03-31 00:00:00"
"1519","2018-02-10 20:00","2018-02-10 23:00",NULL,NULL,"2018-02-10 00:00:00"
"1701","2018-03-16 19:30","2018-03-16 23:50",NULL,NULL,"2018-03-16 00:00:00"
"1983","2018-02-18 19:00","2018-02-18 23:00",NULL,NULL,"2018-02-18 00:00:00"
"1998","2018-02-24 19:00","2018-02-24 23:00",NULL,NULL,"2018-02-24 00:00:00"
"2044","2018-05-25 18:00","2018-05-27 23:30","20180525","20180527","2018-05-27 00:00:00"
"2185","2018-03-10 19:00","2018-03-10 23:45",NULL,NULL,"2018-03-10 00:00:00"
"2438","2018-02-17 20:00","2018-02-17 23:00",NULL,NULL,"2018-02-17 00:00:00"
"2526","2018-02-21 19:00","2018-02-21 23:00",NULL,NULL,"2018-02-21 00:00:00"
"2545","2018-02-23 19:00","2018-02-23 23:00",NULL,NULL,"2018-02-23 00:00:00"
"2571","2018-03-01 20:00","2018-03-01 23:45",NULL,NULL,"2018-03-01 00:00:00"
"2821","2018-04-21 20:00","2018-04-21 23:00",NULL,NULL,"2018-04-21 23:00:00"
"2928","2018-09-03 20:00","2018-09-03 23:00",NULL,NULL,"2018-09-03 00:00:00"
"3297","2018-04-20 20:00","2018-04-20 23:00",NULL,NULL,"2018-04-20 00:00:00"
"3463","2018-07-13 12:00","2018-07-15 23:45","20180713","20180715","2018-07-15 00:00:00"
"3624","2018-03-21 21:00","2018-03-21 23:30",NULL,NULL,"2018-03-21 00:00:00"
"3640","2018-07-03 21:00","2018-07-03 23:00",NULL,NULL,"2018-07-03 00:00:00"
"3649","2018-03-15 19:00","2018-03-15 23:45",NULL,NULL,"2018-03-15 00:00:00"
"3658","2018-03-09 20:00","2018-03-09 23:45",NULL,NULL,"2018-03-09 00:00:00"
"3669","2018-06-15 16:00","2018-06-17 23:00","20180615","20180617","2018-06-17 00:00:00"
"3711","2018-07-13 14:00","2018-07-15 22:00","20180713","20180715","2018-07-15 00:00:00"
"3804","2018-03-17 21:00","2018-03-17 23:30",NULL,NULL,"2018-03-17 00:00:00"
"3809","2018-03-24 21:00","2018-03-24 23:30",NULL,NULL,"2018-03-24 00:00:00"
"3896","2018-03-30 21:00","2018-03-30 23:30",NULL,NULL,"2018-03-30 00:00:00"
"3999","2018-03-16 22:00","2018-03-17 05:00",NULL,NULL,"2018-03-16 00:00:00"
"4646","2023-12-15 17:00","2023-12-15 21:00",NULL,NULL,"2023-12-15 21:00:00"
"4649","2024-10-05 18:30","2024-10-05 20:00",NULL,NULL,"2024-10-05 20:00:00"
"4662","2018-03-25 20:00","2018-03-25 22:00",NULL,NULL,"2018-03-25 00:00:00"
"4677","2018-04-01 20:00","2018-04-01 22:00",NULL,NULL,"2018-04-01 00:00:00"
"4682","2018-04-15 20:00","2018-04-15 22:00",NULL,NULL,"2018-04-15 00:00:00"
"4706","2018-04-28 20:00","2018-04-28 23:00",NULL,NULL,"2018-04-28 00:00:00"
"4709","2018-04-27 20:00","2018-04-27 23:00",NULL,NULL,"2018-04-27 00:00:00"
"4989","2021-05-27 19:30","2021-05-27 21:30",NULL,NULL,NULL
"5003","2018-04-21 21:00","2018-04-21 23:30",NULL,NULL,"2018-04-21 00:00:00"
"5129","2018-07-27 19:00","2018-07-28 23:30","20180727","20180728","2018-07-28 00:00:00"
"5194","2018-04-19 19:00","2018-04-19 23:00",NULL,NULL,"2018-04-19 00:00:00"
"5277","2018-04-20 19:00","2018-04-20 23:00",NULL,NULL,"2018-04-20 00:00:00"
"5387","2018-08-02 12:15","2018-08-05 23:45","20180802","20180805","2018-08-05 00:00:00"
"5402","2018-06-29 11:59","2018-07-01 22:45","20180629","20180701","2018-07-01 00:00:00"
"5411","2018-05-26 20:00","2018-05-26 23:30",NULL,NULL,"2018-05-26 00:00:00"
"5456","2018-08-16 20:00","2018-08-16 23:24",NULL,NULL,"2018-08-16 00:00:00"
"5709","2018-06-09 20:00","2018-06-09 23:55",NULL,NULL,"2018-06-09 00:00:00"
"5823","2018-07-13 13:06","2018-07-14 23:55","20180713","20180714","2018-07-14 00:00:00"
"5972","2018-05-23 19:00","2018-05-23 23:50",NULL,NULL,"2018-05-23 00:00:00"
"6031","2018-06-08 21:30","2018-06-08 23:45",NULL,NULL,"2018-06-08 00:00:00"
"6085","2018-05-13 20:00","2018-05-13 23:45",NULL,NULL,"2018-05-13 00:00:00"
"6377","2018-06-29 13:07","2018-07-15 23:55","20180629","20180629","2018-07-15 00:00:00"
"6411","2018-06-08 19:00","2018-06-08 23:45",NULL,NULL,"2018-06-08 00:00:00"
"6537","2018-05-26 22:00","2018-05-27 05:00",NULL,NULL,"2018-05-26 00:00:00"
"6616","2018-12-06 20:00","2018-12-06 23:55",NULL,NULL,"2018-12-06 00:00:00"
"6736","2018-06-17 19:00","2018-06-17 23:55",NULL,NULL,"2018-06-17 00:00:00"
"6823","2018-06-15 15:48","2018-06-17 23:55","20180615","20180617","2018-06-17 00:00:00"
"7232","2018-06-20 20:57","2018-06-20 23:57",NULL,NULL,"2018-06-20 00:00:00"
"7238","2018-08-04 20:00","2018-08-04 23:55",NULL,NULL,"2018-08-04 00:00:00"
"7367","2018-07-07 19:30","2018-07-07 23:46",NULL,NULL,"2018-07-07 00:00:00"
"7413","2018-08-17 19:14","2018-08-19 23:55","20180817","20180819","2018-08-19 00:00:00"
"7471","2018-07-06 19:00","2018-07-07 23:55","20180706","20180707","2018-07-07 00:00:00"
"7711","2018-08-10 13:39","2018-08-12 23:55","20180810","20180812","2018-08-12 00:00:00"
"7779","2018-08-03 18:00","2018-08-05 23:55","20180803","20180805","2018-08-05 00:00:00"
"7845","2018-10-26 20:00","2018-10-26 23:55",NULL,NULL,"2018-10-26 23:00:00"
"7878","2018-10-25 20:00","2018-10-25 23:55",NULL,NULL,"2018-10-25 23:00:00"
"9540","2018-08-10 14:20","2018-08-12 23:55","20180810","20180812","2018-08-12 00:00:00"
"10116","2018-09-13 20:00","2018-09-13 23:55",NULL,NULL,"2018-09-13 00:00:00"
"10156","2018-08-10 16:00","2018-08-12 23:45","20180810","20180812","2018-08-12 00:00:00"
"10446","2018-09-08 19:30","2018-09-08 23:46",NULL,NULL,"2018-09-08 00:00:00"
"10478","2018-08-24 19:00","2018-08-24 23:55",NULL,NULL,"2018-08-24 00:00:00"
"10493","2018-08-25 19:00","2018-08-25 23:55",NULL,NULL,"2018-08-25 00:00:00"
"10498","2018-08-31 19:00","2018-08-31 23:55",NULL,NULL,"2018-08-31 00:00:00"
"10678","2018-09-12 19:00","2018-09-12 23:55","20180912","20180915","2018-09-15 00:00:00"
"10714","2024-02-04 19:00","2024-02-04 22:00",NULL,NULL,
"10876","2018-10-27 20:00","2018-10-27 23:55",NULL,NULL,"2018-10-27 00:00:00"
"10883","2018-09-27 20:00","2018-09-27 23:55",NULL,NULL,"2018-10-27 00:00:00"
"10927","2018-08-29 20:00","2018-08-29 23:00",NULL,NULL,"2018-08-29 00:00:00"
"11014","2018-09-19 20:00","2018-09-19 23:00",NULL,NULL,"2018-09-19 00:00:00"
"11017","2018-09-15 20:00","2018-09-15 23:00",NULL,NULL,"2018-09-15 00:00:00"
"11141","2019-01-19 20:00","2019-01-19 23:00",NULL,NULL,"2019-01-19 00:00:00"
"11151","2018-10-26 20:00","2018-10-26 23:55",NULL,NULL,"2018-10-26 00:00:00"
"11687","2018-12-14 20:00","2018-12-14 23:00",NULL,NULL,"2018-12-14 00:00:00"
"12055","2018-09-28 19:00","2018-09-29 23:55","20180928","20180929","2018-09-29 00:00:00"
"12211","2018-11-03 19:30","2018-11-03 23:30",NULL,NULL,"2018-11-03 00:00:00"
"12433","2018-11-25 20:00","2018-11-25 23:55",NULL,NULL,"2018-11-25 00:00:00"
"12692","2018-11-02 20:00","2018-11-02 23:00",NULL,NULL,"2018-11-02 23:00:00"
"12740","2018-11-29 20:00","2018-11-29 23:00",NULL,NULL,"2018-10-29 00:00:00"
"12748","2018-11-26 20:00","2018-11-26 23:00",NULL,NULL,"2018-11-26 00:00:00"
"13290","2018-11-02 20:00","2018-11-02 23:55",NULL,NULL,"2018-11-02 00:00:00"
"13320","2018-10-03 20:00","2018-10-03 23:55",NULL,NULL,"2018-10-03 00:00:00"
"13326","2018-10-04 20:00","2018-10-04 23:55",NULL,NULL,"2018-10-04 00:00:00"
"13331","2018-10-05 20:00","2018-10-05 23:55",NULL,NULL,"2018-10-05 00:00:00"
"13343","2018-10-06 20:00","2018-10-06 23:50",NULL,NULL,"2018-10-06 00:00:00"
"13351","2018-10-07 20:00","2018-10-07 23:50",NULL,NULL,"2018-10-07 00:00:00"
"13357","2018-10-12 20:00","2018-10-12 23:55",NULL,NULL,"2018-10-12 00:00:00"
