"wp_event_id","event_date_time","event_end_date_time","data_eveniment_start","data_eveniment_end","expirare_eveniment"
"857926","2026-05-15 20:00","2026-05-15 22:00",,,"2026-05-15 22:00:00"
"858055","2026-05-02 10:00","2026-05-03 01:00",,,"2026-05-03 01:00:00"
"858108","2026-05-08 20:00","2026-05-08 22:00",,,"2026-05-08 22:00:00"
"858232","2026-04-24 19:00","2026-04-24 21:00",,,"2026-04-24 21:00:00"
"858545","2026-04-18 12:00","2026-04-18 13:00",,,"2026-04-18 13:00:00"
"859067","2026-07-10 17:00","2026-07-12 23:45","20260710","20260712","2026-07-12 23:00:00"
"859936","2026-04-25 20:00","2026-04-25 23:00",,,"2026-04-25 23:00:00"
"860067","2026-05-01 20:00","2026-05-01 22:00",,,"2026-05-14 22:00:00"
"860326","2026-04-25 20:00","2026-04-25 22:00",,,"2026-04-25 22:00:00"
"860386","2026-05-24 19:00","2026-05-24 21:45",,,"2026-05-24 22:00:00"
