"wp_ticket_id","created_at","post_status","wp_event_id","wp_product_id","ticket_code","wc_order_item_id","checkin_data","seat_label","seat_id","chart_id"
"799650","2026-01-26 16:46:07","publish","792886","792905","4B69818AB","304011","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143055;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector A, R4, loc 8","tc_seat_2_25","792906"
"799651","2026-01-26 16:46:07","publish","792886","792905","7FB44BD4C","304011","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143045;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector A, R4, loc 7","tc_seat_2_26","792906"
"799692","2026-01-26 17:22:22","publish","792886","792905","070940231","304031","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777142587;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector B, R4, loc 8","tc_seat_1_32","792906"
"799699","2026-01-26 17:26:37","publish","792149","792159","ECE283185","304033","a:1:{i:0;a:3:{s:12:""date_checked"";i:1779648574;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792150;}}","Rand 15, loc 14","tc_seat_2_16","792168"
"799700","2026-01-26 17:26:37","publish","792149","792159","0AE90F2B2","304033","a:1:{i:0;a:3:{s:12:""date_checked"";i:1779648570;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792150;}}","Rand 15, loc 13","tc_seat_2_15","792168"
"799738","2026-01-26 17:42:30","publish","792886","792905","415A5ABA9","304051","a:2:{i:0;a:3:{s:12:""date_checked"";i:1777142429;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}i:1;a:3:{s:12:""date_checked"";i:1777142434;s:6:""status"";s:4:""Fail"";s:10:""api_key_id"";i:792887;}}","sector A, R2, loc 8","tc_seat_2_9","792906"
"799739","2026-01-26 17:42:30","publish","792886","792905","9EB71F317","304051","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777142440;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector A, R2, loc 7","tc_seat_2_10","792906"
"799818","2026-01-26 18:21:55","publish","792149","792164","D086F725E","304067","a:1:{i:0;a:3:{s:12:""date_checked"";i:1779648242;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792150;}}","Rand 5, loc 12","tc_seat_1_52","792168"
"799819","2026-01-26 18:21:55","publish","792149","792164","1A93EDEDE","304067","a:1:{i:0;a:3:{s:12:""date_checked"";i:1779648248;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792150;}}","Rand 5, loc 13","tc_seat_1_53","792168"
"799873","2026-01-26 18:51:51","publish","792886","792903","88F3B71C1","304079","a:3:{i:0;a:3:{s:12:""date_checked"";i:1777142823;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}i:1;a:3:{s:12:""date_checked"";i:1777142824;s:6:""status"";s:4:""Fail"";s:10:""api_key_id"";i:792887;}i:2;a:3:{s:12:""date_checked"";i:1777142856;s:6:""status"";s:4:""Fail"";s:10:""api_key_id"";i:792887;}}","sector A, R10, loc 8","tc_seat_4_10","792906"
"799874","2026-01-26 18:51:51","publish","792886","792903","0764A28D4","304079","a:4:{i:0;a:3:{s:12:""date_checked"";i:1777142814;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}i:1;a:3:{s:12:""date_checked"";i:1777142830;s:6:""status"";s:4:""Fail"";s:10:""api_key_id"";i:792887;}i:2;a:3:{s:12:""date_checked"";i:1777142842;s:6:""status"";s:4:""Fail"";s:10:""api_key_id"";i:792887;}i:3;a:3:{s:12:""date_checked"";i:1777142854;s:6:""status"";s:4:""Fail"";s:10:""api_key_id"";i:792887;}}","sector A, R10, loc 7","tc_seat_4_11","792906"
"799875","2026-01-26 18:51:51","publish","792886","792903","824D4F19F","304079","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777142846;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector A, R10, loc 6","tc_seat_4_12","792906"
"799876","2026-01-26 18:51:51","publish","792886","792903","947E4CAB3","304079","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777142890;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector A, R10, loc 5","tc_seat_4_13","792906"
"799877","2026-01-26 18:51:51","publish","792886","792903","1A155084A","304079","a:2:{i:0;a:3:{s:12:""date_checked"";i:1777142878;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}i:1;a:3:{s:12:""date_checked"";i:1777142885;s:6:""status"";s:4:""Fail"";s:10:""api_key_id"";i:792887;}}","sector A, R10, loc 4","tc_seat_4_14","792906"
"799879","2026-01-26 18:54:19","publish","792886","792905","BFC50EE9E","304081",,"sector B, R2, loc 8","tc_seat_1_16","792906"
"799880","2026-01-26 18:54:19","publish","792886","792905","7FD69741F","304081",,"sector B, R2, loc 7","tc_seat_1_15","792906"
"799881","2026-01-26 18:54:19","publish","792886","792905","1D1A0B4B4","304081",,"sector B, R2, loc 6","tc_seat_1_14","792906"
"799882","2026-01-26 18:54:19","publish","792886","792905","B7E8CD30F","304081",,"sector B, R2, loc 5","tc_seat_1_13","792906"
"800030","2026-01-26 20:24:30","publish","792886","792905","0199E8C2D","304147","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143219;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector B, R2, loc 5","tc_seat_1_13","792906"
"800031","2026-01-26 20:24:30","publish","792886","792905","D6D94CC4F","304147","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143197;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector B, R2, loc 6","tc_seat_1_14","792906"
"800032","2026-01-26 20:24:30","publish","792886","792905","761BCE30D","304147","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143210;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector B, R2, loc 7","tc_seat_1_15","792906"
"800033","2026-01-26 20:24:30","publish","792886","792905","600F62FC1","304147","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143201;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector B, R2, loc 8","tc_seat_1_16","792906"
"800131","2026-01-26 21:12:21","publish","792886","792904","C60094D84","304181",,"sector A, R5, loc 8","tc_seat_2_33","792906"
"800132","2026-01-26 21:12:21","publish","792886","792904","E5624C6A9","304181",,"sector A, R5, loc 7","tc_seat_2_34","792906"
"800182","2026-01-26 22:24:54","publish","792149","792159","5A8462034","304213","a:1:{i:0;a:3:{s:12:""date_checked"";i:1779648828;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792150;}}","Rand 15, loc 11","tc_seat_2_13","792168"
"800183","2026-01-26 22:24:54","publish","792149","792159","C73267D16","304213","a:1:{i:0;a:3:{s:12:""date_checked"";i:1779648825;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792150;}}","Rand 15, loc 12","tc_seat_2_14","792168"
"800185","2026-01-26 22:27:05","publish","792886","792904","2DD4EA8A6","304215","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143520;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector B, R5, loc 8","tc_seat_1_40","792906"
"800186","2026-01-26 22:27:05","publish","792886","792904","F91FBB7CF","304215","a:1:{i:0;a:3:{s:12:""date_checked"";i:1777143527;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:792887;}}","sector B, R5, loc 7","tc_seat_1_39","792906"
