"wp_event_id","event_date_time","event_end_date_time","data_eveniment_start","data_eveniment_end","expirare_eveniment"
"849420","2026-09-20 11:00","2026-09-20 11:45",,,"2026-09-20 11:45:00"
"849432","2026-05-03 11:00","2026-05-03 11:45",,,"2026-05-03 11:45:00"
"849445","2026-05-17 11:00","2026-05-17 11:45",,,"2026-05-17 11:45:00"
"849585","2026-04-15 19:00","2026-04-15 21:00",,,"2026-04-15 21:00:00"
"849592","2026-04-16 19:00","2026-04-16 21:00",,,"2026-04-16 21:00:00"
"849606","2026-04-17 18:00","2026-04-17 20:00",,,"2026-04-17 20:00:00"
"849613","2026-04-18 19:00","2026-04-18 21:00",,,"2026-04-18 21:00:00"
"849937","2026-04-04 18:30","2026-04-04 20:00:00",,,"2026-04-04 20:00:00"
"849960","2026-04-04 18:30","2026-04-04 20:00:00",,,"2026-04-04 20:00:00"
"849988","2026-04-24 20:30","2026-04-24 22:00",,,"2026-04-24 22:00:00"
"849999","2026-04-19 18:00","2026-04-19 19:15",,,"2026-04-19 19:15:00"
"850044","2026-04-26 10:00","2026-04-26 10:45",,,"2026-04-26 10:45:00"
"850062","2026-04-26 20:00","2026-04-26 21:15",,,"2026-04-26 21:15:00"
"850084","2026-05-03 20:00","2026-05-03 21:15",,,"2026-05-03 21:15:00"
"850120","2026-04-09 20:00","2026-04-09 21:30",,,"2026-04-09 21:30:00"
"850154","2026-06-07 12:00","2026-06-20 13:00","20260620","20260620","2026-06-20 13:00:00"
"850243","2026-04-02 19:30","2026-04-02 20:45:00",,,"2026-04-02 20:45:00"
"850754","2026-04-18 10:00","2026-04-18 11:00",,,"2026-04-18 11:00:00"
"850791","2026-04-23 20:00","2026-04-23 22:00",,,"2026-04-23 22:00:00"
"851008","2026-04-23 18:30","2026-04-23 19:30",,,"2026-04-23 19:30:00"
"851450","2026-04-29 20:00","2026-04-29 22:00",,,"2026-04-29 22:00:00"
"851505","2026-06-06 20:00","2026-06-06 23:00",,,"2026-06-06 23:00:00"
"851842","2026-05-23 10:00","2026-05-23 12:30","20260523","20260523","2026-05-23 12:30:00"
"852926","2026-09-25 20:00","2026-09-25 23:30",,,"2026-09-25 23:30:00"
"852967","2026-09-26 20:00","2026-09-26 23:30",,,"2026-09-26 23:30:00"
"853015","2026-04-30 20:30","2026-04-30 22:30",,,"2026-04-30 22:30:00"
"853055","2026-05-09 19:00","2026-05-09 22:00",,,"2026-05-09 22:00:00"
"853074","2026-05-29 12:00","2026-05-31 20:00","20260529","20260531","2026-05-31 20:00:00"
"853234","2026-04-18 17:00","2026-04-18 20:30",,,"2026-04-18 20:30:00"
"853381","2026-04-05 19:00","2026-04-05 22:00:00",,,"2026-04-05 22:00:00"
"853551","2026-04-19 18:00","2026-04-19 19:15",,,"2026-04-19 19:15:00"
"853571","2026-05-03 18:00","2026-05-03 19:15",,,"2026-05-03 19:15:00"
"854125","2026-04-25 11:00","2026-04-25 12:00",,,"2026-04-25 12:00:00"
"854201","2026-05-14 20:00","2026-05-14 22:00",,,"2026-05-14 22:00:00"
"854242","2026-05-29 20:00","2026-05-29 22:00",,,"2026-05-29 22:00:00"
"854250","2026-05-30 20:00","2026-05-30 22:00",,,"2026-05-30 22:00:00"
"854402","2026-04-07 20:00","2026-04-07 22:00:00",,,"2026-04-07 22:00:00"
"854574","2026-04-05 11:00","2026-04-05 11:45:00",,,"2026-04-05 11:45:00"
"854644","2026-04-18 21:00","2026-04-18 23:59",,,"2026-04-18 23:59:00"
"854778","2026-05-10 15:00","2026-05-10 20:00",,,"2026-05-10 20:00:00"
"855139","2026-04-25 19:30","2026-04-25 22:00",,,"2026-04-25 22:00:00"
"855186","2026-04-26 16:30","2026-04-26 20:30",,,"2026-04-26 20:30:00"
"855277","2026-04-22 17:00","2026-04-22 18:00",,,"2026-04-22 18:00:00"
"855292","2026-06-27 19:00","2026-06-27 21:00",,,"2026-06-27 21:00:00"
"855730","2026-06-26 18:30","2026-06-26 19:45",,,"2026-06-26 20:00:00"
"855953","2026-05-08 19:00","2026-05-08 22:00",,,"2026-05-08 22:00:00"
"855959",,,,,
"856387","2026-05-30 20:00","2026-05-30 23:00",,,"2026-05-30 23:00:00"
"856427","2026-04-19 10:00","2026-04-19 11:00",,,"2026-04-19 11:00:00"
"856551","2026-05-30 10:00","2026-05-30 10:45",,,"2026-05-30 10:45:00"
"856571","2026-05-30 11:30","2026-05-30 12:15",,,"2026-05-30 12:15:00"
"856605","2026-05-24 20:00","2026-05-24 21:15",,,"2026-05-24 21:15:00"
"856617","2026-05-29 18:30","2026-05-29 20:00",,,"2026-05-29 20:00:00"
"856775","2026-04-17 19:00","2026-04-17 22:00",,,"2026-04-17 22:00:00"
"856794","2026-06-27 12:00","2026-06-28 22:00","20260627","20260628","2026-06-28 22:00:00"
"856874","2026-11-17 20:00","2026-11-17 23:00",,,"2026-11-17 23:00:00"
"856879","2026-11-18 20:00","2026-11-18 22:00",,,"2026-11-18 22:00:00"
"857286","2026-04-10 11:00","2026-04-10 11:45",,,"2026-04-10 11:45:00"
"857491","2026-05-09 10:00","2026-05-09 11:00",,,"2026-05-09 11:00:00"
"857542","2026-04-26 12:00","2026-04-26 12:55",,,"2026-04-26 12:55:00"
"857587","2026-05-09 12:00","2026-05-09 12:55",,,"2026-05-09 12:55:00"
