"wp_product_id","description"
"81990","*la acces se prezinta carnet elev-student-cupon pensie"
"329969","reducere primele bilete"
"433809","reducere primele bilete"
"456932","reducere primele bilete"
"460845","biletul NU asigura loc la masa"
"472423","*la acces se prezinta carnet elev-student-cupon pensie"
"473113","(scaun în fața scenei)"
"476292","reducere primele bilete"
"478824","reducere primele bilete"
"478825","reducere pana pe 25 octombrie 2024"
"484808","reducere pana pe 23 octombrie 2024"
"495685","*la acces se prezinta carnet elev-student"
"502137","50 bilete. Se prezintă actul doveditor la acces"
"514614","reducere pana pe 25 octombrie 2024"
"514645","reducere pana pe 24 octombrie 2024"
"515287","reducere primele bilete"
"515309","reducere primele bilete"
"515315","reducere primele bilete"
"515316","reducere pana pe 24 octombrie 2024"
"515318","reducere pana pe 01 noiembrie 2024"
"515319","reducere primele bilete"
"515489","reducere pana pe 18 octombrie 2024"
"517850","reducere pana pe 20 octombrie 2024"
"520538","reducere primele bilete"
"520546","reducere primele bilete"
"522491","reducere pana pe 06 noiembrie 2024"
"522813","reducere primele bilete"
"525650","reducere primele bilete"
"525651","reducere pana pe 23 octombrie 2024"
"526356","stoc 1 bucata"
"527714","reducere pt primele bilete"
"527747","*la acces se prezinta carnet elev/student/cuponul pensie"
"527793","reducere pana pe 24 octombrie 2024"
"528125","reducere pana pe 7 noiembrie 2024"
"528130","reducere pana pe 5 decembrie 2024"
"528135","reducere pana pe 06 noiembrie 2024"
"528171","reducere pana pe 14 noiembrie 2024"
"528192","reducere pana pe 18 octombrie 2024"
"528731","reducere pana la data data de 17 octombrie 2024"
"528974","reducere pana pe 12 decembrie 2024"
"529459","reducere primele bilete"
"529505","reducere pana pe 7 noiembrie 2024"
"529632","reducere pana pe 17 octombrie 2024"
"529704","reducere primele bilete"
"529974","reducere primele bilete"
"529988","reducere primele bilete"
"529990","reducere pana pe 24 noiembrie 2024"
"530158","*la acces se prezinta carnet elev/student/cuponul pensie"
"530164","*la acces se prezinta carnet elev/student/cupon pensie"
"530574","reducere pana pe 13 decembrie 2024"
"530732","reducere pana pe 7 noiembrie 2024"
"531212","reducere primele bilete"
"531215","reducere pana pe 11 decembrie 2024"
"531272","reducere pana pe 31 octombrie 2024"
"531284","reducere primele bilete"
"531525","reducere pana pe 8 noiembrie 2024"
"532705","reducere primele bilete"
"532711","reducere pana pe 14 noiembrie 2024"
"532850","reducere pana pe 01 noiembrie 2024"
"532871","reducere pana pe 15 noiembrie 2024"
"533002","adauga in cos 10 bucati"
"533467","reducere primele bilete"
"533747","reducere primele bilete"
"533755","reducere pana pe 8 noiembrie 2024"
"533964","reducere pana pe 30 octombrie 2024"
"534072","reducere pana pe 26 octombrie 2024"
"534172","*la acces se prezinta carnet elev-student-cupon pensie"
"534297","reducere pana pe 22 octombrie 2024"
"534990","adauga in cos 10 bucati"
"535279","reducere pana pe 01 noiembrie 2024"
"535304","reducere primele bilete"
"535305","reducere pana pe 14 noiembrie 2024"
"535820","reducere pana pe 30 noiembrie 2024"
"535915","reducere primele bilete"
"536010","reducere pana pe 17 octombrie 2024"
"536568","reducere pana pe 7 noiembrie 2024"
"536592","reducere pana pe 23 octombrie 2024"
"536817","reducere pana pe 21 octombrie 2024"
"537157","reducere primele bilete"
"537533","reducere pana pe 15 noiembrie 2024"
"537606","reducere primele bilete"
"537609","reducere pana pe 21 noiembrie 2024"
"537690","reducere pana pe 13 noiembrie 2024"
"538586","For our students’ guests: parents, grandparents, siblings, neighbors, friends./Pentru părinții, familia și invitații elevilor noștri"
"538715","reducere pana pe 3 noiembrie 2024"
"538716","reducere pana pe 3 noiembrie 2024"
"538717","reducere pana pe 3 noiembrie 2024"
"539995","reducere pana pe 4 noiembrie 2024"
"539996","reducere pana pe 4 noiembrie 2024"
"540036","reducere pana pe 31 octombrie"
"540116","reducere pana pe 1 noiembrie"
"540122","reducere pana pe 7 noiembrie"
"540352","reducere pentru primele bilete"
"540355","reducere pana pe 17 noiembrie 2024"
"540356","reducere pana pe 17 noiembrie 2024"
