"wp_event_id","name","wp_slug","post_status","created_at","organizer_wp_user_id","starts_at","ends_at","location","image_url","ticket_terms","description","duration_type","organizer_email"
"843640","Radu Gheorghe & Eugen Cristea -Moșii de primăvară- la The Pub Universitatii","radu-gheorghe-eugen-cristea-thepub-universitatii","publish","2026-03-20 13:12:58","0","2026-04-21 20:00","2026-04-21 22:00","The Pub Universității/ bd. Regina Elisabeta 9, București",,,,"single_day",
"844073","Pinocchio - by Qfeel @ Campina","pinocchio-qfeel-campina-844073","publish","2026-03-17 09:58:43","0","2026-05-09 11:00","2026-05-09 11:55","Casa Tineretului, Campina",,,,"single_day",
"844288","1 Mai Muncitoresc cu Sukar Nation@The Pub Universității","1mai-muncitoresc-sukar-nation-pubuniversitatii-844288","publish","2026-03-17 15:21:26","0","2026-05-01 21:00","2026-05-01 23:00:00","The PUB Universitatii, Bucuresti",,,,"single_day",
"844327","Concert Emeric Imre @Hotel Clasic, Sebeș","emeric-imre-sebes-844327","publish","2026-03-17 16:49:14","0","2026-03-26 19:00","2026-03-26 21:00","Hotel Clasic, Sebeș",,,,"single_day",
"844356","Jazz 4 You Awards 2026 @The Pub Universității","jazz-4-you-awards-2026-the-pub-universitatii-844356","publish","2026-03-17 17:39:15","0","2026-04-04 20:00","2026-04-04 22:00","The Pub Universitatii/Bd. Regina Elisabeta 9, Sect.3, Bucuresti",,,,"single_day",
"844434","Fragmente celebre din teatrul românesc și internațional - spectacol Dream&Act-grupa intermediari","fragmente-celebre-teatrul-romanesc-si-international-dreamact-844434","publish","2026-03-17 18:59:10","0","2026-03-31 19:30","2026-03-31 21:30","Teatrul Apropo, Bucuresti",,,,"single_day",
"844451","Povestea Scufiței Roșii - teatru interactiv pentru copii @ Restaurant Hanu’ lui Manuc","povestea-scufitei-rosii-hanu-lui-manuc-844451","publish","2026-03-17 19:13:06","0","2026-03-28 11:00","2026-03-28 11:45","Hanu’ lui Manuc, București",,,,"single_day",
"844938","Suspecți la Automachiaj","suspecti-la-automachiaj-844938","publish","2026-03-18 15:56:33","0","2026-04-18 16:00","2026-04-18 20:00","Naive, Bucuresti/ bd. I.C. Bratianu 36",,,,"single_day",
"844986","Jet Mineral – MINT RELEASE (Live In B52) With Static Reverie","jet-mineral-b52-844986","publish","2026-03-18 17:18:04","0","2026-04-23 20:00","2026-04-23 22:00","B52 The Club, Bucuresti",,,,"single_day",
"845005","Festivalul Național de Folk „Vama de la Munte” ediția a VII-a","https-www-ambilet-ro-bilete-festivalul-national-de-folk-vama-de-la-munte-ed-vii-2026","publish","2026-03-18 17:32:09","0","2026-08-01 16:30","2026-08-02 23:00","Comuna Vama Buzăului, județul Brașov",,,,"single_day",
"845336","Zaiafet pe Lună Festival V","zaiafet-pe-luna-festival-v-845336","publish","2026-03-19 10:16:23","0","2026-06-25 12:00","2026-06-28 22:00","satul Luna de Jos nr 16A, comuna Dăbâca, jud. Cluj",,,,"single_day",
"845390","GOTH Division <Spring Edition> 🌼  @ Hardward PUB","goth-division-spring-hardwardpub-845390","publish","2026-03-19 10:38:26","0","2026-04-03 22:00","2026-04-04 04:00","Hardward Pub, Cluj Napoca",,,,"single_day",
"845570","Premieră: Rapunzel – Teatru pentru copii 🌸🎭by Qfeel@ Sala Luceafărul","rapunzel-teatru-copii-qfeel-salaluceafarul-845570","publish","2026-03-19 14:45:54","0","2026-04-19 10:00","2026-04-19 11:15","Sala Luceafarul, Bucuresti/str.Ion Ghica nr.3, sector 3",,,,"single_day",
"845712","Suspecți la Party – Diamonds After Dark","suspecti-la-party-diamonds-after-dark-845712","publish","2026-03-19 17:17:02","0","2026-04-03 20:00","2026-04-03 23:00","Naive, etaj 4, Bucuresti",,,,"single_day",
"845776","Gypsy Jazz Lăutăresc | Django Sound Quartet @ Trattoria Monza","django-sound-quartet-trattoria-monza-845776","publish","2026-03-19 19:00:05","0","2026-03-28 20:00","2026-03-28 22:00","Trattoria Monza, Bucuresti",,,,"single_day",
"845781","IMPROSHOW | Backstage Boys @Trattoria Monza","improshow-backstage-boys-trattoria-monza-845781","publish","2026-03-19 19:01:51","0","2026-03-29 19:00","2026-03-29 21:00","Trattoria Monza, Bucuresti",,,,"single_day",
"846071","Dizident & Ossyrium live @ The Shamrock Pub, Ploiesti","dizident-ossyrium-the-shamrock-pub-ploiesti-846071","publish","2026-03-20 09:23:06","0","2026-04-24 20:00","2026-04-24 22:00","The Shamrock Pub, Ploiești",,,,"single_day",
"846118","Rapunzel – by Qfeel @ Pitesti","rapunzel-by-qfeel-pitesti-846118","publish","2026-03-20 10:33:01","0","2026-05-09 11:00","2026-05-09 11:55","Casa de Cultura a Sindicatelor, Pitesti",,,,"single_day",
