"wp_order_id","device_type","source_type","utm_source","utm_medium","utm_content","referrer","landing_page","session_count","session_pages","ip_address","user_agent"
"843986","Desktop","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/","1","4","86.120.128.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0"
"843988","Desktop","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/","https://www.ambilet.ro/","2","5","2a02:2f0c:5801:7700:949:e2e2:6e77:c4ee","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
"843991","Mobile","referral","l.instagram.com","referral","/","https://l.instagram.com/","https://www.ambilet.ro/bilete/doomnezeu-urbana-club-842822/","1","2","193.231.31.136","Mozilla/5.0 (Linux; Android 15; SM-A546B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.141 Mobile Safari/537.36 Instagram 420.0.0.55.74 Android (35/15; 480dpi; 1080x2340; samsung; SM-A546B; a54x; s5e8835; en_US; 903616175; IABMV/1)"
"843993","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/doomnezeu/","3","2","2a02:2f0e:5506:dd00:c090:fcf0:c5bb:9a20","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
"843995","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/","1","31","109.166.131.90","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/128.0.6613.98 Mobile/15E148 Safari/604.1"
"843998","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/","1","35","109.166.131.90","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/128.0.6613.98 Mobile/15E148 Safari/604.1"
"844001","Mobile","referral","l.facebook.com","referral","/","https://l.facebook.com/","https://www.ambilet.ro/?fbclid=IwY2xjawQlubxleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR4NTRsMkLHGX4wzrlbvMRMoPSLmOLmenn0dZYvvtcUNzeIHvMZ3fngHnyS12g_aem_wCE7TiiedEbA5EzzRDdeHA","1","4","5.14.139.130","Mozilla/5.0 (Linux; Android 15; SM-G996B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.104 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/549.0.0.61.62;IABMV/1;]"
"844006","Mobile","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/","https://www.ambilet.ro/bilete/crossroads-moto-rock-festival-bacau-2026/","1","3","2a02:2f07:470c:f900:dcb:dd80:f517:f781","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
"844008","Mobile","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/cauta/termen/Doomnezeu/","https://www.ambilet.ro/bilete/doomnezeu-rockstadt-842860/","1","5","212.93.144.56","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
"844010","Mobile","utm","fb","paid","120240005092810637","http://m.facebook.com/","https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-barlad-822053/?fbclid=IwZXh0bgNhZW0BMABhZGlkAastpfQ8q31zcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7MZJ8Vb9tADqla1JtYo0kc_2GuBevE5CufXqi-oxMToMvkQap0W6Pc5KQ1aQ_aem_oKS4L-Ix62dP6pWObRHSSA&utm_medium=paid&utm_source=fb&utm_id=120240005092790637&utm_content=120240005092810637&utm_term=120240005092800637&utm_campaign=120240005092790637","5","3","86.126.133.189","Mozilla/5.0 (Linux; Android 14; SM-A528B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.141 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/552.1.0.45.68;IABMV/1;]"
"844012","Mobile","utm","fb","paid","120240833536970345","http://m.facebook.com/","https://www.ambilet.ro/qfeelbrasov/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasuZrAL4FlzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeAfeVDx_wsoxj-Pe8G6LZj5ZQuZwkJbZxfZ2ypeefKo_TymD2cN5TY51aKFA_aem_ViMfBfvWtNWiWpNpGa05Xw&utm_medium=paid&utm_source=fb&utm_id=120240833536990345&utm_content=120240833536970345&utm_term=120240833537050345&utm_campaign=120240833536990345","1","4","2a02:2f04:c01:e300:10ff:91e2:942d:cf71","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Safari/604.1 [FBAN/FBIOS;FBAV/552.0.0.44.82;FBBV/905581709;FBDV/iPhone16,2;FBMD/iPhone;FBSN/iOS;FBSV/26.3;FBSS/3;FBID/phone;FBLC/ro_RO;FBOP/5;FBRV/909909271;IABMV/1]"
"844016","Desktop","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/bilete/doomnezeu-control-club-842852/","https://www.ambilet.ro/bilete/doomnezeu-control-club-842852/","1","2","2a02:2f04:190:a400:b850:8426:537f:4dd8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
"844019","Mobile","referral","l.facebook.com","referral","/","https://l.facebook.com/","https://www.ambilet.ro/bilete/rock-the-camp-2026/","1","5","82.77.154.150","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
"844022","Desktop","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/","https://www.ambilet.ro/","1","4","2a02:2f0d:2:501:b037:685b:4e1:afd6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
"844027","Desktop","referral","l.facebook.com","referral","/","https://l.facebook.com/","https://www.ambilet.ro/bilete/atelierul-electricitatii-statice-profu-zapacit-oradea-842924/?fbclid=IwY2xjawQl0RdleHRuA2FlbQIxMABicmlkETByNzBGN3c1MER0SUxSdHdLc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHjSu8_PB38eFMkR-40j3l44yoCE8JzezRB4LGhZMA21wVfGLEsgBdUjqgaUf_aem_mpk7gWsuL9SWKszeNLCazw","1","3","82.77.58.92","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
