"order_item_id","wp_order_id"
"325588","843986"
"325591","843988"
"325593","843991"
"325594","843993"
"325595","843995"
"325597","843998"
"325599","844001"
"325601","844006"
"325603","844008"
"325604","844010"
"325606","844012"
"325608","844016"
"325609","844019"
"325613","844022"
"325615","844028"
"325616","844027"
"325619","844033"
"325621","844037"
"325623","844039"
"325625","844042"
"325627","844046"
"325629","844054"
"325631","844058"
"325633","844061"
"325635","844064"
"325637","844067"
"325639","844070"
"325641","844076"
"325643","844080"
"325645","844084"
"325646","844087"
"325648","844091"
"325650","844095"
"325652","844099"
"325654","844101"
"325656","844105"
"325658","844107"
"325660","844114"
"325661","844116"
"325663","844121"
"325664","844123"
"325665","844125"
"325666","844127"
"325668","844129"
"325670","844133"
"325671","844136"
"325673","844138"
"325674","844140"
"325675","844143"
"325676","844145"
"325678","844147"
"325679","844150"
"325681","844153"
"325682","844156"
"325686","844166"
"325688","844169"
"325690","844171"
"325692","844174"
"325694","844177"
"325695","844180"
"325696","844182"
"325698","844185"
"325700","844188"
"325702","844191"
"325704","844193"
"325705","844195"
"325707","844197"
"325708","844199"
"325710","844201"
"325711","844203"
"325713","844206"
"325714","844208"
"325715","844210"
"325716","844212"
"325717","844214"
"325719","844216"
"325721","844219"
"325723","844221"
"325724","844223"
"325726","844226"
"325728","844228"
"325730","844230"
"325732","844234"
"325734","844237"
"325735","844239"
"325737","844242"
"325738","844244"
"325740","844247"
"325741","844250"
"325743","844253"
"325744","844255"
"325745","844257"
"325746","844259"
"325748","844262"
"325750","844264"
"325752","844267"
"325754","844269"
"325756","844272"
"325758","844277"
"325759","844280"
"325761","844283"
"325765","844294"
"325766","844290"
"325768","844304"
"325770","844306"
"325772","844308"
"325774","844321"
"325776","844324"
"325778","844329"
"325779","844332"
"325781","844335"
"325782","844353"
"325784","844360"
"325786","844365"
"325788","844370"
"325789","844382"
"325791","844384"
"325793","844389"
"325795","844393"
"325796","844396"
"325798","844399"
"325800","844402"
"325802","844404"
"325804","844406"
"325805","844408"
"325807","844411"
"325809","844413"
"325810","844416"
"325811","844419"
"325813","844424"
"325815","844427"
"325816","844429"
"325818","844440"
"325820","844452"
"325822","844460"
"325824","844466"
"325826","844481"
"325828","844483"
"325830","844485"
"325831","844485"
"325832","844488"
"325834","844491"
"325836","844494"
"325838","844497"
"325840","844500"
"325843","844503"
"325844","844510"
"325846","844512"
"325848","844515"
"325849","844518"
"325851","844520"
"325853","844523"
"325855","844526"
"325857","844529"
"325859","844532"
"325861","844535"
"325863","844538"
"325865","844543"
"325867","844546"
"325869","844549"
"325871","844551"
"325873","844554"
"325877","844560"
"325879","844563"
"325881","844565"
"325883","844570"
"325885","844574"
"325886","844576"
"325888","844578"
"325890","844581"
"325893","844585"
"325895","844597"
"325899","844601"
"325901","844604"
"325903","844606"
"325905","844611"
"325907","844613"
"325908","844615"
"325910","844617"
"325912","844620"
"325916","844626"
"325918","844622"
"325920","844631"
"325922","844633"
"325924","844640"
"325926","844645"
"325928","844652"
"325930","844654"
"325932","844656"
"325934","844659"
"325935","844661"
"325937","844663"
"325938","844665"
"325939","844665"
"325941","844679"
"325942","844681"
"325944","844683"
"325946","844685"
"325948","844687"
"325949","844696"
"325951","844698"
"325952","844700"
"325954","844703"
"325955","844705"
"325957","844557"
"325959","844710"
"325960","844712"
"325962","844715"
"325964","844720"
"325966","844723"
"325968","844728"
"325970","844732"
