"wp_ticket_id","created_at","post_status","wp_event_id","wp_product_id","ticket_code","wc_order_item_id","checkin_data","seat_label"
"843987","2026-03-17 00:25:34","trash","842852","842991","454F983C6","325588",,
"843990","2026-03-17 00:28:04","publish","840449","840458","D9EF20EEF","325591",,
"843992","2026-03-17 00:58:03","publish","842822","842983","31565B04F","325593",,
"843994","2026-03-17 00:59:44","publish","842822","842983","900BE8E4F","325594",,
"843996","2026-03-17 02:29:03","publish","739632","828090","7E948DDAA","325595",,
"843997","2026-03-17 02:29:03","publish","739632","828090","46DAC9163","325595",,
"843999","2026-03-17 02:33:19","publish","779342","793605","05F9CBCA1","325597",,
"844000","2026-03-17 02:33:19","publish","779342","793605","1CC089CC8","325597",,
"844002","2026-03-17 06:44:42","publish","840164","840175","08B969BAF","325599",,"M5, loc 1"
"844003","2026-03-17 06:44:42","publish","840164","840175","6EE666775","325599",,"M5, loc 6"
"844004","2026-03-17 06:44:42","publish","840164","840175","D47B40EFC","325599",,"M5, loc 2"
"844005","2026-03-17 06:44:42","publish","840164","840175","33EC9C5E2","325599",,"M5, loc 7"
"844007","2026-03-17 07:15:14","publish","839502","839520","39DC6835F","325601",,
"844009","2026-03-17 07:21:40","publish","842860","843066","98844A30A","325603",,
"844011","2026-03-17 07:41:26","publish","822053","822099","278C6C5E3","325604",,"rand F, loc 5"
"844013","2026-03-17 08:07:35","publish","822848","822878","0C207ABBF","325606","a:1:{i:0;a:3:{s:12:""date_checked"";i:1774187369;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:822849;}}","rand A, loc 11"
"844014","2026-03-17 08:07:35","publish","822848","822878","682C7C9C8","325606","a:1:{i:0;a:3:{s:12:""date_checked"";i:1774187362;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:822849;}}","rand A, loc 12"
