"wp_product_id","name","wp_event_id","price","stock_qty","commission_rate","commission_on_top"
"64541","Acces in 25.02.24","354589","60","0","6%","1"
"86877","05.03.26 Suport Artist","225465","50",NULL,"6%","1"
"319816","Acces in 24.01.24","354589","60","0","6%","1"
"354592","Acces General-25.06.2023","354589","50",NULL,"2,5","1"
"455791","Acces in 23.02.24 acces 19:00","354589","60","0","6%","1"
"462631","Acces in 14.02.24 ora 21:30","354589","70","48","6%","1"
"465590","20.04.24 Acces","354589","65","48","6%","1"
"465839","17.11.24 Acces","441134","55","0","6%","1"
"469496","20.10.24 Acces","530033","70","0","6%","1"
"472423","20.10.24 Acces elev/student/pensionar","530033","60","0","6%","1"
"482982","24.01.25 Acces","573413","65","0","6%","1"
"488632","Acces in 24.11.24","530033","60","0","6%","1"
"495682","13.02.26 Bilet ora 18:30","530048","65","80","6%","1"
"495685","10.10.25 Acces elev/student ora 18:30","530048","50","70","6%","1"
"529511","24.02.25 Acces","213195","65","0","6%","1"
"573258","01.03.25 Acces elev/student","593507","50","0","6%","1"
"573265","31.01.25 Acces","441134","65","0","6%","1"
"573266","31.01.25 Acces elev/student/pensionar","441134","55","0","6%","1"
"573284","31.01.25 Acces","530033","60","0","6%","1"
"573285","31.01.25 Acces elev/student/pensionar","530033","55","0","6%","1"
"573362","24.01.25 Acces ora 17:00","573330","60","0","6%","1"
"573426","24.01.25 Acces ora 19:30","573413","60","0","6%","1"
"573434","24.01.25 Acces elev/student/pensionar ora 19:30","573413","55","0","6%","1"
"576007","30.01.26 Bilet ora 18:30","576003","65","0","6%","1"
"581307","23.01.26 Acces","530033","65","0","6%","1"
"581334","11.10.25 Acces ora 18:30","576003","60","0","6%","1"
"581777","14.02.25 Acces ora 18:00","354589","65","48","6%","1"
"581778","14.02.25 Acces ora 20:00","354589","70","0","6%","1"
"586140","18.10.25 Acces ora 20:30","441134","60","56","6%","1"
"588858","09.02.25 Acces","530033","65","0","6%","1"
"593575","04.10.25 Acces ora 18:30","573330","60","0","6%","1"
"593576","01.03.25 Acces","593507","60","0","6%","1"
"593581","14.02.26 Acces VIP","593507","85",NULL,"6%","1"
"593673","14.02.26 Acces","593507","70",NULL,"6%","1"
"598919","08.03.25 Acces","213195","65","0","6%","1"
"601011","04.04.25 Acces ora 20:00","576003","65","0","6%","1"
"614563","28.09.25 Acces","530033","60","0","6%","1"
"624623","Categoria II","782603","50",NULL,"6%","1"
"639728","Canapea 10 persoane -Abonament","717259","200","0","5%","1"
"673607","23.11.25 Acces ora 17:00","724278","65","0","6%","1"
"673608","23.11.25 Acces elev/student ora 17:00","724278","50","0","6%","1"
"681296","29.03.26 Acces","682152","45","100","2,5","1"
"682166","Acces sambata 12.07.25","682161","45","0","2,5","1"
"682175","Acces duminica 28.09.25","682161","45","92","2,5","1"
"683591","Acces sambata 14.03.26","683317","45","100","2,5","1"
"683725","Acces sambata 26.07.25","683720","45","0","2,5","1"
"683789","Acces duminica 17.05.26","683780","45","100","2,5","1"
"683800","Acces sambata 30.08.25","683797","45","0","2,5","1"
"683846","Acces duminica 19.04.26","683835","35","100","2,5","1"
"685898","Acces duminica 18.01.25","685895","45","47","2,5","1"
"686564","Suport artist 27.11.25","686557","40","0","2,5","1"
"692242","Acces sambata 17.01.2026","692237","45",NULL,"2,5","1"
"692341","Acces sambata 04.10.25","692338","45","0","2,5","1"
"692359","Acces sambata 11.10.25","692356","45","0","2,5","1"
"692383","Acces duminica 26.10.25","692237","45",NULL,"2,5","1"
"692413","Acces marti 06.01.26","692404","45",NULL,"2,5","1"
"694579","Acces sambata 30.08.25","694576","45","0","2,5","1"
"695249","Acces duminica 31 august","695230","45","100","2,5","1"
"695688","25.10.25 Acces ora 19:30","724278","65","0","6%","1"
"695689","25.10.25 Acces elev/student ora 19:30","724278","50","100","6%","1"
"698178","Acces sambata 07.03.26","692338","45",NULL,"2,5","1"
"698924","Abonament Earlybird","698920","120",NULL,"6%","1"
"700203","Blind Pass -Abonament","700195","300",NULL,,"1"
"700255","Early Wave - 500 LTD","700245","425","0","4,5%","1"
"701624","Acces sambata 10.01.26","701621","45",NULL,"2,5","1"
"701655","Acces duminica 14.09.25","701647","45",NULL,"2,5","1"
"701698","Acces sambata 28.03.26","701691","45",NULL,"2,5","1"
"703757","Acces sambata 28 februarie","695230","45","91","2,5","1"
"703781","Acces duminica 07.06.26","703775","45","100","2,5","1"
"703805","Acces sambata 27.09.25","683780","45","96","2,5","1"
"708608","11.01.26 Bilet ora 18:00","573330","65","74","6%","1"
"708609","16.11.25 Bilet ora 18:00","573330","60","0","6%","1"
"708613","22.11.25 Bilet ora 18:30","573330","60","0","6%","1"
"708814","15.11.25  Acces ora 18:30","441134","60","63","6%","1"
"708846","Bilet pt 25 oct. ora 20:30","573413","60","67","6%","1"
"708852","17.01.26 Bilet ora 20:30","573413","65","0","6%","1"
"711588","07.03.26 Acces","780648","65","65","6%","1"
"713556","05.10.25 Acces","713553","60","0","6%","1"
"714510","Acces duminica 18 ianuarie","714502","45","98","2,5","1"
"714695","Acces duminica 19.10.25","682161","45","0","2,5","1"
"714721","Acces sambata 31.01.26","714716","45","92","2,5","1"
"714730","Acces sambata 14.03.26","714727","45","100","2,5","1"
"714751","Acces duminica 09.11.25","714748","45","0","2,5","1"
"714760","Acces duminica 16.11.25","683797","45","0","2,5","1"
"714790","Acces duminica 17.01.25","714787","45","100","2,5","1"
"715654","Acces duminica 08.03.26","701647","45",NULL,"2,5","1"
"715762","Acces duminica 01.02.26","715759","45",NULL,"2,5","1"
"715812","Acces sambata 14.03.26","715809","45",NULL,"2,5","1"
"717293","Abonament Earlybird - ZONA B","717259","249","0","5%","1"
"717296","Abonament Earlybird - ZONA A","717259","299","0","5%","1"
"717297","Abonament Presale - ZONA B","717259","299","20","5%","1"
"717298","Abonament Presale - ZONA A","717259","349","2","5%","1"
"717302","Abonament Acces - ZONA B","717259","349",NULL,"5%","1"
"717303","Abonament Acces - ZONA A","717259","399",NULL,"5%","1"
"717663","21.11.25 Acces","717650","50","0","6%","1"
"725130","13.12.25 Earlybird","725121","59","0","6%","1"
"725131","13.12.25 Presale","725121","69","0","6%","1"
"725132","13.12.25 Acces","725121","80","0","6%","1"
"725194","13.02.26 Bilet ora 20:30","725185","65","80","6%","1"
"725195","02.11.25 Acces elev/student","725185","50","70","6%","1"
