"wp_event_id","event_date_time","event_end_date_time","data_eveniment_start","data_eveniment_end","expirare_eveniment"
"758530","2026-04-17 19:20","2026-04-17 23:00",,,"2026-04-17 22:00:00"
"758537","2026-04-19 19:30","2026-04-19 23:00",,,"2026-04-19 22:15:00"
"783573","2026-05-24 12:00","2026-05-24 13:00",,,"2026-05-24 13:00:00"
"785205","2026-04-19 12:00","2026-04-19 13:00",,,"2026-04-19 13:00:00"
"800982","2026-07-03 16:00","2026-07-04 23:00","20260703","20260704","2026-07-04 23:00:00"
"821363","2026-04-18 19:00","2026-04-18 23:45",,,"2026-04-18 23:45:00"
"839482","2026-04-30 19:30","2026-04-30 21:30",,,"2026-04-30 21:30:00"
"839502","2026-07-17 09:00","2026-07-19 11:00","20260717","20260719","2026-07-19 11:00:00"
"841426","2026-04-16 20:00","2026-04-16 23:00",,,"2026-04-16 23:00:00"
"843522","2026-04-19 19:00","2026-04-19 22:00",,,"2026-04-19 22:00:00"
"845570","2026-04-19 10:00","2026-04-19 11:15",,,"2026-04-19 11:15:00"
"846118","2026-05-09 11:00","2026-05-09 11:55",,,"2026-05-09 11:55:00"
"846191","2026-05-17 12:00","2026-05-17 13:00",,,"2026-05-17 13:00:00"
"846208","2026-06-06 11:00","2026-06-06 11:55",,,"2026-06-06 11:55:00"
"846252","2026-06-14 10:00","2026-06-14 11:00",,,"2026-06-14 11:00:00"
"846819","2026-05-13 20:00","2026-05-13 22:00",,,"2026-05-13 22:00:00"
"848282","2026-04-18 11:00","2026-04-18 11:55",,,"2026-04-18 11:55:00"
"848662","2026-05-09 18:00","2026-05-09 19:00:00",,,"2026-05-09 19:00:00"
"848703","2026-05-09 18:00","2026-05-09 19:00:00",,,"2026-05-09 19:00:00"
"848709","2026-05-16 10:00","2026-05-16 11:00:00",,,"2026-05-16 11:00:00"
"848716","2026-05-16 12:00","2026-05-16 13:00:00",,,"2026-05-16 13:00:00"
"848802","2026-05-21 18:00","2026-05-21 19:00:00",,,"2026-05-21 19:00:00"
"849585","2026-04-15 19:00","2026-04-15 21:00",,,"2026-04-15 21:00:00"
"849988","2026-04-24 20:30","2026-04-24 22:00",,,"2026-04-24 22:00:00"
"850120","2026-04-09 20:00","2026-04-09 21:30:00",,,"2026-04-09 21:30:00"
"854125","2026-04-25 11:00","2026-04-25 12:00",,,"2026-04-25 12:00:00"
"856617","2026-05-29 18:30","2026-05-29 20:00",,,"2026-05-29 20:00:00"
"856775","2026-04-17 19:00","2026-04-17 22:00",,,"2026-04-17 22:00:00"
"857286","2026-04-10 11:00","2026-04-10 11:45:00",,,"2026-04-10 11:45:00"
