"wp_event_id","name","wp_slug","post_status","created_at","organizer_wp_user_id","starts_at","ends_at","location","image_url","ticket_terms","description","duration_type","organizer_email"
"857926","Genune / Mauna Sol / Gerrar | Machines Venue","genune-mauna-sol-gerrar-machines-cluj-857926","publish","2026-04-09 09:27:33","0","2026-05-15 20:00","2026-05-15 22:00","Machines Venue/str. Republicii nr 110, Cluj Napoca",,,,"single_day",
"858055","BAREFOOT","barefoot-timis-858055","publish","2026-04-09 13:01:24","0","2026-05-02 10:00","2026-05-03 01:00","Das Haus, Charlottenburg, Timiș",,,,"single_day",
"858108","ANTRACT: Băieți buni vs. Fete rele în Oldies Pub","antract-oldies-pub-858108","publish","2026-04-09 13:44:37","0","2026-05-08 20:00","2026-05-08 22:00","Oldies Pub/ str.Nicolae Balcescu 13, Sibiu",,,,"single_day",
"858232","Stand up comedy cu Marius Gheorghiu si Cristi Voicu la Rustic Pub","stand-up-comedy-marius-gheorghiu-cristi-voicu-rustic-pub-858232","publish","2026-04-09 17:56:21","0","2026-04-24 19:00","2026-04-24 21:00","Rustic Pub, Gradistea",,,,"single_day",
"858545","MateMagica @ Biblioteca Gheorghe Șincai Oradea","matemagica-biblioteca-gheorghe-sincai-oradea-858545","publish","2026-04-10 11:03:38","0","2026-04-18 12:00","2026-04-18 13:00","Amfiteatru, Biblioteca Județeană Gheorghe Șincai ,Oradea",,,,"single_day",
"859067","Folk pe Deal - festival 2026","folk-pe-deal-festival-2026","publish","2026-04-11 20:50:53","0","2026-07-10 17:00","2026-07-12 23:45","Dealul Galațiului, Făgăraș, BV",,,,"single_day",
"859936","Concert Adrian Ilie & Friends @ Porto Arte","adrian-ilie-friends-porto-arte-859936","publish","2026-04-14 12:21:07","0","2026-04-25 20:00","2026-04-25 23:00","Porto Arte, Timisoara",,,,"single_day",
"860067","FUNKorporation @Szimpla","funkorporation-szimpla-860067","publish","2026-04-14 12:44:36","0","2026-05-01 20:00","2026-05-01 22:00","Szimpla Sepsiszentgyörgy",,,,"single_day",
"860326","Bistrita: Concert Dinu Olarasu","bistrita-dinu-olarasu-860326","publish","2026-04-14 17:01:54","0","2026-04-25 20:00","2026-04-25 22:00","Pub Corso Cafe, Bistrita/Piata Mica nr.17, Bistrita",,,,"single_day",
"860386","Bistrita: Concert Mircea Vintila","bistrita-concer-mircea-vintila-860386","publish","2026-04-14 17:33:04","0","2026-05-24 19:00","2026-05-24 21:45","Pub Corso Cafe, Bistrita/Piata Mica nr.17, Bistrita",,,,"single_day",
