"wp_order_id","device_type","source_type","utm_source","utm_medium","utm_content","referrer","landing_page","session_count","session_pages","ip_address","user_agent"
"857897","Desktop","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/bilete/concert-aephanemer-quantic/","1","14","2a02:2f0d:270c:f600:8070:a4d4:3b75:5331","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
"857900","Desktop","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/","3","3","2a02:2f07:7208:9d00:1dbd:fac0:83f3:4a47","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 OPR/128.0.0.0"
"857902","Mobile","utm","fb","paid","120242127387690637","http://m.facebook.com/","https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-targoviste-855292/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasvlBvTpU1zcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR55XWohi2z0rRrg9liZRl_NziiUBZWetOMRhxC1XnWMymhvK2lxmzo_iV50Zg_aem_VU8XVTlt9aNyB_BPYZckhg&utm_medium=paid&utm_source=fb&utm_id=120242127387680637&utm_content=120242127387690637&utm_term=120242127387700637&utm_campaign=120242127387680637","1","3","2a02:2f0d:d11b:de00:8dec:3908:bafe:4c6f","Mozilla/5.0 (Linux; Android 12; SM-A315G Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.174 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/555.0.0.49.59;IABMV/1;]"
"857905","Mobile","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/bilete/wacken-warm-up-party-one-stage-one-party/","https://www.ambilet.ro/bilete/wacken-warm-up-party-one-stage-one-party/","1","2","2a02:26f7:dcc4:4bc0:0:d000:0:8","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1"
"857907","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/bilete/doomnezeu-rockstadt-842860/","1","2","86.125.20.122","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/414.0.890628820 Mobile/15E148 Safari/604.1"
"857909","Mobile","utm","fb","paid","120242128239590637","http://m.facebook.com/","https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-targoviste-855292/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasvplxcnx1zcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe-u8ams94Yv9bXomDf25lI4w-hsSJUHJuplPTZpEczgQhzqc7xNyEZRNbRMU_aem_LUTNpDhcHvIe5ruuvtaRjQ&utm_medium=paid&utm_source=fb&utm_id=120242128239610637&utm_content=120242128239590637&utm_term=120242128239510637&utm_campaign=120242128239610637","1","7","2a02:2f0d:da12:cd00:5412:b03:827a:53f6","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D8133 Safari/604.1 [FBAN/FBIOS;FBAV/555.0.0.36.63;FBBV/923840166;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/26.3.1;FBSS/2;FBID/phone;FBLC/ro_RO;FBOP/5;FBRV/932156957;IABMV/1]"
"857912","Desktop","referral","rockstadt.ro","referral","/","https://rockstadt.ro/","https://www.ambilet.ro/bilete/doomnezeu-rockstadt-842860/","1","4","2a02:2f0e:400a:3a00:7080:b1d8:a8c:c3d0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
"857914","Mobile","utm","fb","paid","120242207142010637","http://m.facebook.com/","https://www.ambilet.ro/bilete/trio-tangata-jazz-tango-bucuresti-832785/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasvppDhI_1zcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5rXCkvoxAoqi0ljAVRWsVOd0we3xAbMksszjxn_Ti6dhS1HfVwHzXXY1jKNA_aem_7Q_Hz-vLkJFo-mPNEythOg&utm_medium=paid&utm_source=fb&utm_id=120242206496620637&utm_content=120242207142010637&utm_term=120242206496630637&utm_campaign=120242206496620637","2","3","78.97.134.31","Mozilla/5.0 (Linux; Android 12; SM-A325F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.174 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/555.0.0.49.59;IABMV/1;]"
"857917","Desktop","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/bilete/gothic-taine-grimegod-brasov-856387/","https://www.ambilet.ro/bilete/gothic-taine-grimegod-brasov-856387/","1","2","84.232.140.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
"857919","Desktop","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/bilete/gothic-taine-grimegod-brasov-856387/","https://www.ambilet.ro/bilete/gothic-taine-grimegod-brasov-856387/","1","6","84.232.140.211","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
