"wp_order_id","device_type","source_type","utm_source","utm_medium","utm_content","referrer","landing_page","session_count","session_pages","ip_address","user_agent"
"848666","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/","1","15","2a02:2f0d:270a:700:9102:cbf8:1d26:636e","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36"
"851807","Mobile","utm","fb","paid","120241230304700345","http://m.facebook.com/","https://www.ambilet.ro/bilete/scufita-rosie-qfeel-constanta-777374/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasuwxZ8YBlzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR49f3IuXoX5Guw7aDQ1p6qF5pUi-AenYP9ymky9FrnnZtVvq2TkAQhohOLwQg_aem_8zzdWi26vnQegShaEsqoAw&utm_medium=paid&utm_source=fb&utm_id=120241230099370345&utm_content=120241230304700345&utm_term=120241230099440345&utm_campaign=120241230099370345","1","7","82.79.52.47","Mozilla/5.0 (Linux; Android 16; SM-S721B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.148 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/553.0.0.56.58;IABMV/1;]"
"852726","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/bilete/rapunzel-qfeel-constanta-846252/","2","13","188.26.12.39","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
"852880","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/bilete/rapunzel-qfeel-constanta-846252/","1","10","2a02:2f0d:a0a:7a00:b5eb:7ada:da2d:d491","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
"853948","Mobile","typein","(direct)",NULL,NULL,"https://www.ambilet.ro/","https://www.ambilet.ro/","1","4","2a02:a58:81ab:8500:1c75:834f:56f3:c621","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1"
"855604","Mobile","utm","fb","paid","120240597659670345","https://www.ambilet.ro/qfeel/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasuSQPmE4lzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR4Zf2f55uEAVT9-SiGfJbLvsdK8Q62qOlV3egUZ7teRWkbr2Vmf4-by_nF-2Q_aem_SIntRHjpyPE_2U7OkJ47JA&utm_medium=paid&utm_source=fb&utm_id=120240597579150345&utm_content=120240597659670345&utm_term=120240597579240345&utm_campaign=120240597579150345","https://www.ambilet.ro/qfeel/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasuSQPmE4lzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR4Zf2f55uEAVT9-SiGfJbLvsdK8Q62qOlV3egUZ7teRWkbr2Vmf4-by_nF-2Q_aem_SIntRHjpyPE_2U7OkJ47JA&utm_medium=paid&utm_source=fb&utm_id=120240597579150345&utm_content=120240597659670345&utm_term=120240597579240345&utm_campaign=120240597579150345","7","15","2a02:2f00:5307:ba00:9de7:7280:18cb:ea76","Mozilla/5.0 (Linux; Android 16; SM-S921B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.168 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/554.0.0.57.70;IABMV/1;]"
"855663","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/qfeel/","1","16","81.196.228.106","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
"855819","Mobile","referral","m.facebook.com","referral","/","http://m.facebook.com/","https://www.ambilet.ro/trupa-qfeel/","19","12","81.196.219.114","Mozilla/5.0 (Linux; Android 16; SM-A256B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.168 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/554.0.0.57.70;IABMV/1;]"
"856072","Mobile","typein","(direct)",NULL,NULL,NULL,"https://www.ambilet.ro/qfeelconstanta/","1","4","2a02:2f0d:608:eb00:a5e4:9fc9:d9d1:d8a","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36"
"856254","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/qfeel/","2","4","109.166.134.24","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1"
