"wp_event_id","event_date_time","event_end_date_time","data_eveniment_start","data_eveniment_end","expirare_eveniment"
"785182","2026-04-26 10:00","2026-04-26 11:00:00",,,"2026-04-26 11:00:00"
"785197","2026-05-17 10:00","2026-05-17 11:00:00",,,"2026-05-17 11:00:00"
"785205","2026-04-19 12:00","2026-04-19 13:00:00",,,"2026-04-19 13:00:00"
"792149","2026-05-24 19:00","2026-05-24 21:00:00",,,"2026-05-24 21:00:00"
"792886","2026-04-25 19:00","2026-04-25 21:00:00",,,"2026-04-25 21:00:00"
"799586","2026-04-26 19:00","2026-04-26 21:00:00",,,"2026-04-26 21:00:00"
"808702","2026-04-25 16:00","2026-04-25 18:00:00",,,"2026-04-25 18:00:00"
"822053","2026-05-22 19:00","2026-05-22 21:00:00",,,"2026-05-22 21:00:00"
"822248","2026-05-23 19:00","2026-05-23 21:00:00",,,"2026-05-23 21:00:00"
"822982","2026-04-21 20:00","2026-04-21 22:00:00",,,"2026-04-21 22:00:00"
"826940","2026-04-29 19:00","2026-04-29 21:00:00",,,"2026-04-29 21:00:00"
"826946","2026-04-30 19:00","2026-04-30 21:00:00",,,"2026-04-30 21:00:00"
"827580","2026-04-25 19:00","2026-04-25 21:00:00",,,"2026-04-25 21:00:00"
"827586","2026-04-26 19:00","2026-04-26 21:00:00",,,"2026-04-26 21:00:00"
"827968","2026-04-24 19:00","2026-04-24 21:00:00",,,"2026-04-24 21:00:00"
"832785","2026-04-19 19:00","2026-04-19 20:00:00",,,"2026-04-19 20:00:00"
"840164","2026-04-18 20:00","2026-04-18 22:00:00",,,"2026-04-18 22:00:00"
"844073","2026-05-09 11:00","2026-05-09 11:55:00",,,"2026-05-09 11:55:00"
"845570","2026-04-19 10:00","2026-04-19 11:15:00",,,"2026-04-19 11:15:00"
"846118","2026-05-09 11:00","2026-05-09 11:55:00",,,"2026-05-09 11:55:00"
"846191","2026-05-17 12:00","2026-05-17 13:00:00",,,"2026-05-17 13:00:00"
"846354","2026-04-18 11:00","2026-04-18 11:45:00",,,"2026-04-18 11:45:00"
"846401","2026-04-25 11:00","2026-04-25 11:45:00",,,"2026-04-25 11:45:00"
"846439","2026-05-01 11:00","2026-05-01 11:45:00",,,"2026-05-01 11:45:00"
"846452","2026-05-16 11:00","2026-05-16 11:45:00",,,"2026-05-16 11:45:00"
"846505","2026-05-02 11:00","2026-05-02 11:45:00",,,"2026-05-02 11:45:00"
"846534","2026-05-23 11:00","2026-05-23 11:45:00",,,"2026-05-23 11:45:00"
"846547","2026-06-01 11:00","2026-06-01 11:45",,,"2026-06-01 11:45:00"
"846563","2026-05-09 11:00","2026-05-09 11:45:00",,,"2026-05-09 11:45:00"
"848282","2026-04-18 11:00","2026-04-18 11:55:00",,,"2026-04-18 11:55:00"
"848520","2026-06-06 19:00","2026-06-06 20:00",,,"2026-06-06 20:00:00"
"848620","2026-04-18 18:00","2026-04-18 19:00:00",,,"2026-04-18 19:00:00"
"848703","2026-05-09 18:00","2026-05-09 19:00:00",,,"2026-05-09 19:00:00"
"848709","2026-05-16 10:00","2026-05-16 11:00:00",,,"2026-05-16 11:00:00"
"848716","2026-05-16 12:00","2026-05-16 13:00:00",,,"2026-05-16 13:00:00"
"848802","2026-05-21 18:00","2026-05-21 19:00:00",,,"2026-05-21 19:00:00"
"849613","2026-04-18 19:00","2026-04-18 21:00:00",,,"2026-04-18 21:00:00"
"854125","2026-04-25 11:00","2026-04-25 12:00",,,"2026-04-25 12:00:00"
"855277","2026-04-22 17:00","2026-04-22 18:00:00",,,"2026-04-22 18:00:00"
"855292","2026-06-27 19:00","2026-06-27 21:00",,,"2026-06-27 21:00:00"
"857491","2026-05-09 10:00","2026-05-09 11:00:00",,,"2026-05-09 11:00:00"
"857587","2026-05-09 12:00","2026-05-09 12:55:00",,,"2026-05-09 12:55:00"
"858545","2026-04-18 12:00","2026-04-18 13:00:00",,,"2026-04-18 13:00:00"
"859936","2026-04-25 20:00","2026-04-25 23:00:00",,,"2026-04-25 23:00:00"
