"wp_event_id","name","wp_slug","post_status","created_at","organizer_wp_user_id","starts_at","ends_at","location","image_url","ticket_terms","description","duration_type","organizer_email"
"785182","Scufița Roșie – teatru Qfeel @ Sala Luceafărul","scufita-rosie-qfeel-sala-luceafarul-785182","publish","2026-01-11 18:48:18","0","2026-04-26 10:00","2026-04-26 11:00:00","Sala Luceafarul, Bucuresti",,,,"single_day",
"785197","Cei 3 purceluși by Qfeel @Sala Lucefărul","cei3purcelusi-byqfeel-sala-lucefarul-785197","publish","2026-01-11 18:56:47","0","2026-05-17 10:00","2026-05-17 11:00:00","Sala Luceafarul, Bucuresti",,,,"single_day",
"785205","Rapunzel – Teatru interactiv pentru copii ??by Qfeel@ Sala Luceafărul","rapunzel-teatru-copii-qfeel-sala-luceafarul-785205","publish","2026-01-11 19:03:24","0","2026-04-19 12:00","2026-04-19 13:00:00","Sala Luceafarul, Bucuresti",,,,"single_day",
"792149","When Violin Meets Guitar METAVIVALDI @Iasi","when-violin-meets-guitar-metavivaldi-iasi-792149","publish","2026-01-19 21:53:10","0","2026-05-24 19:00","2026-05-24 21:00:00","Casa de Cultura a Studentilor Iasi",,,,"single_day",
"792886","When Violin Meets Guitar METAVIVALDI @Galati","when-violin-meets-guitar-metavivaldi-galati-792886","publish","2026-01-20 16:33:21","0","2026-04-25 19:00","2026-04-25 21:00:00","Sala AULA MAGNA - Universitatea Internationala Danubius",,,,"single_day",
"799586","When Violin Meets Guitar METAVIVALDI @Călărași","when-violin-meets-guitar-metavivaldi-calarasi-799586","publish","2026-01-26 16:40:56","0","2026-04-26 19:00","2026-04-26 21:00:00","Sala Barbu Știrbei - Centrul Judetean de Cultura si Creatie Calarasi",,,,"single_day",
"808702","When Violin Meets Guitar METAVIVALDI ora 16:00 @Galati","when-violin-meets-guitar-metavivaldi-ora-16-galati-808702","publish","2026-02-03 17:33:53","0","2026-04-25 16:00","2026-04-25 18:00:00","Sala AULA MAGNA - Universitatea Internationala Danubius",,,,"single_day",
"822053","When Violin Meets Guitar METAVIVALDI @Barlad","when-violin-meets-guitar-metavivaldi-barlad-822053","publish","2026-02-18 13:04:10","0","2026-05-22 19:00","2026-05-22 21:00:00","Teatrul ""Victor Ion Popa"", Barlad",,,,"single_day",
"822248","When Violin Meets Guitar METAVIVALDI @Focsani","when-violin-meets-guitar-metavivaldi-focsani-822248","publish","2026-02-18 18:13:33","0","2026-05-23 19:00","2026-05-23 21:00:00","Teatrul Municipal ""Maior Gheorghe Pastia"", Focsani",,,,"single_day",
"822982","Concert Phoenix - ""Tamara"" @Filarmonica ""Banatul"" Timisoara","phoenix-filarmonica-banatul-timisoara-822982","publish","2026-02-19 12:35:37","0","2026-04-21 20:00","2026-04-21 22:00:00","Sala Capitol - Filarmonica ""Banatul"", Timisoara",,,,"single_day",
