"wp_order_id","device_type","source_type","utm_source","utm_medium","utm_content","referrer","landing_page","session_count","session_pages","ip_address","user_agent"
"799649","Desktop","referral","bing.com","referral","/","https://www.bing.com/","https://www.ambilet.ro/","1","5","136.255.105.171","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
"799691","Mobile","utm","fb","paid","120239041934860637","https://l.facebook.com/","https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-galati-792886/?fbclid=IwY2xjawPkZRdleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7SHet4uTOLyotYHHMWciycRQGh010JGahUjuX5NvSngkJbp9OZCJte-gB51g_aem_FfegfUQXsiOT8F7yyXJPNw&utm_medium=paid&utm_source=fb&utm_id=120238823097380637&utm_content=120239041934860637&utm_term=120238823097370637&utm_campaign=120238823097380637","1","3","86.124.44.227","Mozilla/5.0 (Linux; Android 15; ABR-NX1 Build/HONORABR-N31; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/144.0.7559.82 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/544.0.0.42.272;IABMV/1;]"
"799698","Desktop","utm","fb","paid","120239045286820637",NULL,"https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-iasi-792149/?fbclid=IwQ0xDSwPkZU1leHRuA2FlbQEwAGFkaWQBqyzGgUpazXNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHpBwRXpQpi8H3Ri8Hn9iO_nKq-THa9cgXU5VZrLjzhxUTcSkldbFKOUVxvs2_aem_2cAacd96gJ4_-RAOv7-hyQ&utm_medium=paid&utm_source=fb&utm_id=120238802380140637&utm_content=120239045286820637&utm_term=120238802380150637&utm_campaign=120238802380140637&sfnsn=wa","1","8","82.77.237.109","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/123.0.6312.118 Safari/534.24 XiaoMi/MiuiBrowser/14.22.1-gn"
"799737","Mobile","typein","(direct)",NULL,NULL,NULL,"https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-galati-792886/","1","3","86.120.239.102","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"
"799817","Mobile","utm","fb","paid","120239045286820637",NULL,"https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-iasi-792149/?fbclid=Iwb21leAPkcypjbGNrA-Ryn2V4dG4DYWVtAjExAHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHrxT-oSotGb8-6AIXbgnP1_o_a7iN1hKppHB82ha7-lmB9_eGVkvd7erEeBy_aem_UaRaIUB9wAh732reTT4gug&utm_medium=paid&utm_source=fb&utm_id=120238802380140637&utm_content=120239045286820637&utm_term=120238802380150637&utm_campaign=120238802380140637","1","4","95.76.232.235","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
"799872","Mobile","referral","l.facebook.com","referral","/","https://l.facebook.com/","https://www.ambilet.ro/metavivaldi/?fbclid=IwY2xjawPkdyNleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7INWOcC3GAMbHJe3f1rh0_c7x_kG5qhCfTzUUCNvoIGeIfPFBLMq5CX1jZHw_aem_GH8Uz4bgLYSGMiBuYJT52A","2","6","109.166.129.218","Mozilla/5.0 (Linux; Android 15; 23053RN02Y Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.143 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/543.0.0.55.73;IABMV/1;]"
"799878","Desktop","utm","fb","paid","120239041934900637",NULL,"https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-galati-792886/?utm_medium=paid&utm_source=fb&utm_id=120238823097380637&utm_content=120239041934900637&utm_term=120238823097370637&utm_campaign=120238823097380637&fbclid=IwY2xjawPkXP1leHRuA2FlbQEwAGFkaWQBqyzGTW8OPXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR43ycMUUgR4odftRUaJCOqzRyiGoR548EjMphwxlBmDQkHAHUkYf0Mx1U967Q_aem_G2rHTwzqsZf5r5YJp0P2Cw","2","3","5.13.147.61","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
"800029","Desktop","utm","fb","paid","120239041934900637",NULL,"https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-galati-792886/?utm_medium=paid&utm_source=fb&utm_id=120238823097380637&utm_content=120239041934900637&utm_term=120238823097370637&utm_campaign=120238823097380637&fbclid=IwY2xjawPkXP1leHRuA2FlbQEwAGFkaWQBqyzGTW8OPXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR43ycMUUgR4odftRUaJCOqzRyiGoR548EjMphwxlBmDQkHAHUkYf0Mx1U967Q_aem_G2rHTwzqsZf5r5YJp0P2Cw","1","4","89.136.0.61","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
"800130","Mobile","utm","fb","paid","120239041934860637","http://m.facebook.com/","https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-galati-792886/?fbclid=IwZXh0bgNhZW0BMABhZGlkAassxk1mqc1zcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7ZxUGEcubGNG-XSURdySgZF5CZ8GP1nvLB-SKP0nKCH2qkirUppiKt3kFNcQ_aem_cgXfNWQI4zb2f-pITSjYlg&utm_medium=paid&utm_source=fb&utm_id=120238823097380637&utm_content=120239041934860637&utm_term=120238823097370637&utm_campaign=120238823097380637","2","3","86.124.200.31","Mozilla/5.0 (Linux; Android 14; SM-A546B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/144.0.7559.82 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/544.0.0.42.272;IABMV/1;]"
"800181","Mobile","utm","fb","paid","120239045791460637","http://m.facebook.com/","https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-iasi-792149/?fbclid=IwZXh0bgNhZW0BMABhZGlkAassxrfCwG1zcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeRc1KZsYQm8DxZVwuOJORztT2gk2cZTITgDfxFp-XmNPirqOuKB7s9J17fTI_aem_lDqsCxTgZdT_XlLinWL0lA&utm_medium=paid&utm_source=fb&utm_id=120238802380140637&utm_content=120239045791460637&utm_term=120238802380150637&utm_campaign=120238802380140637","1","3","82.77.237.21","Mozilla/5.0 (iPhone; CPU iPhone OS 26_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23C55 Safari/604.1 [FBAN/FBIOS;FBAV/545.0.0.28.64;FBBV/865364471;FBDV/iPhone13,1;FBMD/iPhone;FBSN/iOS;FBSV/26.2;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/870031736;IABMV/1]"
