"wp_product_id","name","wp_event_id","price","stock_qty","sold_count"
"785551","Categ.III","785182","40",,"0"
"785569","Categ.II","785182","50",,"0"
"785571","Categ.I","785182","60",,"0"
"785609","Categoria I","857587","60",,"0"
"785647","Categoria III","785197","40",,"0"
"785648","Categoria II","785197","50",,"0"
"785649","Categoria I","785197","60",,"0"
"785887","Categ.III","785205","50",,"0"
"785899","Categ.II","785205","60",,"0"
"785900","Categ.I","785205","70",,"0"
"792159","Categoria III","792149","90",,"0"
"792164","Categoria II","792149","110",,"0"
"792167","Categoria I","792149","130",,"0"
"792903","Categoria III","792886","90",,"0"
"792904","Categoria II","792886","110",,"0"
"792905","Categoria I","792886","130",,"0"
"799602","Categoria III","799586","90",,"0"
"799603","Categoria II","799586","110",,"0"
"799605","Categoria I","799586","130",,"0"
"808733","Categ.III","808702","90",,"0"
"808738","Categ.II","808702","110",,"0"
"808739","Categ.I","808702","130",,"0"
"822095","Categoria III","822053","80",,"0"
"822099","Categoria II","822053","100",,"0"
"822109","Categoria I","822053","120",,"0"
"822262","Categ.III","822248","90",,"0"
"822263","Categ.II","822248","110",,"0"
"822272","Categ.I","822248","130",,"0"
"823002","Categoria III","822982","100",,"0"
"823009","Categoria II","822982","135",,"0"
"823010","Categoria I","822982","150",,"0"
"826952","03.04.26 Presale","826940","120","0","0"
"826955","03.04.26 Acces fara loc","826940","120","0","0"
"826956","04.04.26 Presale","826946","120","0","0"
"826964","04.04.26 Acces fara loc","826946","120","0","0"
"827599","25.04.26 Presale","827580","120","343","0"
"827600","25.04.26 Acces fara loc","827580","120","0","0"
"827601","26.04.26 Presale","827586","120","245","0"
"827604","26.04.26 Acces fara loc","827586","120","0","0"
"827976","Categ.III","827968","90",,"0"
"827982","Categ.II","827968","110",,"0"
"827983","Categ.I","827968","130",,"0"
"832792","Categoria III","832785","50",,"0"
"832795","Categoria II","832785","60",,"0"
"832800","Categoria I","832785","75",,"0"
"840175","18.04.26 Acces","840164","55",,"0"
"840189","Acces la masa ____ loc ___","840164","0","0","0"
"844079","Categoria III","844073","40",,"0"
"844083","Categoria II","844073","50",,"0"
"844090","Categoria I","844073","60",,"0"
"845575","Cat I","845570","60","0","0"
"845577","Categoria III","845570","50",,"0"
"845584","Categoria II","845570","60",,"0"
"846052","Categoria I","845570","70",,"0"
"846136","Categ.IV","846118","40",,"0"
"846142","Categ. III","846118","50",,"0"
"846145","Categoria II","846118","50","0","0"
"846150","Categoria I","846118","60","0","0"
"846214","Categoria III","846191","50",,"0"
"846219","Categoria II","846191","60",,"0"
"846224","Categoria I","846191","70",,"0"
"846357","Acces sambata 18.04.26","846354","45",,"0"
"846408","Acces sambata 25.04.26","846401","45",,"0"
"846457","Acces vineri 01.05.26","846439","45",,"0"
"846466","Acces sambata 16.05.26","846452","45",,"0"
"846532","Acces sambata 02.05.26","846505","45",,"0"
"846546","Acces sambata 23.05.26","846534","45",,"0"
"846557","Acces luni 01.06.26","846547","35",,"0"
"846567","Acces sambata 09.05.26","846563","45",,"0"
"848295","Categoria IV","848282","30",,"0"
"848296","Categoria III","848282","40",,"0"
"848297","Categoria II","848282","50",,"0"
"848299","Categoria I","848282","60",,"0"
"848536","Categoria II","848520","50",,"0"
"848547","Categoria I","848520","80",,"7"
"848586","Categ. II","846118","60",,"0"
"848587","Categ.I","846118","70",,"0"
"848632","Categ. III","848620","50",,"0"
"848633","Categ. II","848620","60",,"0"
"848637","Categ. I","848620","70",,"0"
"848706","Categ.III","848703","40",,"0"
"848707","Categ.II","848703","50",,"0"
"848708","Categ.I","848703","60",,"0"
"848727","Categoria III","848709","50",,"0"
"848732","Categoria II","848709","60",,"0"
"848736","Categoria I","848709","70",,"0"
"848741","Categ.III","848716","50",,"0"
"848744","Categ.II","848716","60",,"0"
"848748","Categ.I","848716","70",,"0"
"848808","Categoria IV","848802","40",,"0"
"848811","Categoria III","848802","50",,"0"
"848812","Categoria II","848802","60",,"0"
"848814","Categoria I","848802","70",,"0"
"849657","18.04.26 Acces","849613","70","35","0"
"854129","Categ.III","854125","50",,"0"
"854130","Categ.II","854125","60",,"0"
"854131","Categ.I","854125","70",,"0"
"854176","29.04.26 Acces","826940","120","324","0"
"854694","30.04.26 Acces","826946","120",,"0"
"855280","22.04.26 Acces","855277","40",,"0"
"855304","Categ.I","855292","130",,"0"
"855306","Categ.II","855292","110",,"0"
"855310","Categ.III","855292","90",,"0"
"857505","Categoria III","857491","50",,"0"
"857518","Categoria II","857491","60",,"0"
"857522","Categoria I","857491","70",,"0"
"857593","Cat.III","857587","50",,"0"
"857601","Cat.II","857587","60",,"0"
"857614","Cat.I","857587","70",,"0"
"858549","18.04.26 Acces","858545","25",,"0"
"859946","25.04.26 Acces","859936","50",,"0"
"860058","Acces la masa ____ loc ___","859936","0","0","0"
"861246","18.04.26 Bilet","858545","15",,"0"
"864952","Acces sambata 11.07.26","846547","35","16","0"
