"wp_product_id","name","wp_event_id","price","stock_qty","sold_count"
"811129","Categoria III","811107","40",,"9"
"811130","Categoria II","811107","50",,"52"
"811131","Categoria I","811107","60",,"49"
"811161","Acces duminica 15.02.26","811154","45","46","4"
"811191","Acces sambata 28.02.26","811183","45",,"4"
"811229","Acces sambata 14.02.26","811221","45",,"0"
"811278","Acces sambata 21.02.26","811268","45",,"0"
"812144","Bilet fără LOC","786824","180","0","16"
"812204","Earlybird - Taxă de participare - FEMEIE","812194","119","31","29"
"812217","Earlybird - Taxă de participare - BARBAT","812194","119","49","11"
"812275","21.02.26 Acces","812254","40",,"7"
"814277","28.02.26 Acces","814226","90",,"11"
"814363","15.02.26 Acces","814345","40","50","0"
"814369","15.02.26 Oferta grup","814345","35","50","0"
"814527","27.02.26 Acces","814496","50",,"2"
"814672","15.02.26 Acces","814669","60","0","3"
"814724","28.02.26 Acces ora 11:30","772981","35","0","7"
"814732","28.02.26 Oferta Grup ora 11:30","772981","30","0","0"
"815423","Acces Copii sambata 28.02.26 ora 11","815396","60","20","3"
"815424","Acces Adulti sambata 28.02.26 ora 11","815396","35","24","3"
"815425","Acces Copii sambata 28.02.26 ora 16:30","815401","60","22","1"
"815426","Acces Adulti sambata 28.02.26 ora 16:30","815401","35","25","2"
"815430","Acces Copii duminica 01.03.26 ora 11","815418","60","22","1"
"815436","Acces Adulti duminica 01.03.26 ora 11","815418","35","25","2"
"817325","20.02.26 Acces","817310","70","100","0"
"817900","07.03.26 Acces","817884","60",,"60"
"819480","Bilet Fara LOC","788545","80","20","0"
"820588","Acces duminica 22.02.26","714716","45","100","0"
"820648","21.02.26 Acces","820642","25",,"60"
"821114","28.02.26 Categoria I","821104","60","42","18"
"821115","28.02.26 Categoria II","821104","50","17","3"
"821630","Bilet Donatie acces","821619","35",,"14"
"821641","Bilet Donatie presale","821619","28",,"11"
"822115","20.02.26 Acces ora 20:00","810607","60","28","0"
"822181","06.03.26 Presale","822171","40",,"15"
"823438","21.02.26 Bilet Fara LOC","789010","90","2","28"
"824136","06.03.26 Acces","824116","25",,"10"
"825852","28.02.26 Acces","825843","25",,"52"
"826009","01.03.26 Acces","828910","40","100","0"
"826015","01.03.26 Oferta Grup","828910","35","50","0"
"827180","Acces in 05.03.26","827175","50","35","65"
"827213","27.02.26 Last minute","744984","90","80","2"
"829253","Acces duminica 01.03.26","829231","45",,"0"
"829504","07.03.26 Acces","829491","25",,"56"
"829685","06.03.26 Acces General","829677","80","97","3"
"829691","06.03.26 Acces VIP","829677","100","98","2"
"830410","Acces Copii sambata 07.03.26 ora 11","830379","60","13","10"
"830414","Acces Adulti sambata 07.03.26 ora 11","830379","35","21","6"
"830417","Acces Adulti sambata 07.03.26 ora 16:30","830400","35","27","0"
"830418","Acces Copii sambata 07.03.26 ora 16:30","830400","60","23","0"
"831522","05.03.26 Acces","831512","75",,"8"
"831677","Acces general","831612","69","120","0"
"831683","Front Row","831612","89","30","0"
"831685","Cina Trattoria Monza","831612","200","10","0"
"831738","Acces general","831692","69","120","0"
"831745","Front Row","831692","89","30","0"
"831746","Cina Trattoria Monza","831692","200","10","0"
"834841","07.03.26 Acces","738874","60","226","24"
"849423","Acces duminica 20.09.26","849420","45","50","0"
"849441","Acces duminica 03.05.26","849432","45","50","0"
"849454","Acces duminica 17.05.26","849445","45","50","0"
"849609","15.04.26 Acces","849585","70","95","5"
"849944","04.04.26 Bilet ora 18:30","849937","65","60","0"
"849968","04.04.26 Bilet ora 18:30","849960","65","60","0"
"849991","04.04.26 Bilet ora 20:30","849988","65","60","0"
"850005","19.04.26 Bilet ora 18:00","849999","65","60","0"
"850016","24.04.26 Bilet ora 20:30","849988","70","60","0"
"850060","26.04.26 Acces","850044","40","60","0"
"850061","26.04.26 Oferta grup","850044","35","60","0"
"850076","26.04.26 Bilet ora 20:00","850062","65","60","0"
"850087","03.05.26 Bilet ora 20:00","850084","65","60","0"
"850160","07.06.26 Acces ora 12:00","850154","40","90","0"
"850164","07.06.26 Acces Grup ora 12:00","850154","35","90","0"
"850165","20.06.26 Acces ora 12:00","850154","40","90","0"
"850169","20.06.26 Acces Grup ora 12:00","850154","35","90","0"
"850248","02.04.26 Acces","850243","55","0","0"
"850759","18.04.26 Acces ora 10","850754","35","58","2"
"850796","23.04.26 Acces VIP","850791","159","48","2"
"850800","23.04.26 Normal Acces (cu loc la masă)","850791","129","50","0"
"850801","23.04.26 Normal Acces (fara loc la masă)","850791","99","96","4"
"851015","Categoria V","851008","40","58","20"
"851019","Categoria IV","851008","60","104","0"
"851020","Categoria III","851008","70","104","0"
"851025","Categoria II","851008","80","100","0"
"851030","Categoria I","851008","90","115","41"
"851456","29.04.26 Presale","851450","40","197","3"
"851463","29.04.26 Acces","851450","50","200","0"
"851513","06.06.26 Super Early Bird","851505","60","546","54"
"851542","06.06.26 Early Bird","851505","75","500","0"
"851553","06.06.26 Presale","851505","80","500","0"
"851554","06.06.26 Acces","851505","90","500","0"
