"wp_order_id","device_type","source_type","utm_source","utm_medium","utm_content","referrer","landing_page","session_count","session_pages","ip_address","user_agent"
"849175","Desktop","referral","urbanbluesfest.ro","referral","/","https://urbanbluesfest.ro/","https://www.ambilet.ro/bilete/urban-blues-fest-7-edition/","1","8","2a02:2f0f:b10c:3200:b07f:b493:5ff9:bd0b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0"
"849177","Mobile","referral","m.facebook.com","referral","/","http://m.facebook.com/","https://www.ambilet.ro/bilete/cantec-soptit-bistrita-826921/","2","3","81.196.70.209","Mozilla/5.0 (Linux; Android 16; SM-F956B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.148 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/553.0.0.56.58;IABMV/1;]"
"849180","Mobile","referral","l.instagram.com","referral","/","https://l.instagram.com/","https://www.ambilet.ro/bilete/dean-klooge-extemporal-machines-cluj/?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnXe1oa_gOuuhb-J-co_sJDrthAIJ7WZ7wbsOlHLMfQ66bnPcnaDVW6mLuCX0_aem_qSLUX1IAdTEc6YE5Wrt4BA","1","3","86.123.8.182","Mozilla/5.0 (Linux; Android 13; SM-A515F Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.162 Mobile Safari/537.36 Instagram 420.0.0.55.74 Android (33/13; 420dpi; 1080x2400; samsung; SM-A515F; a51; exynos9611; ro_RO; 903616175; IABMV/1)"
"849182","Mobile","referral","salaluceafarul.ro","referral","/","https://salaluceafarul.ro/","https://www.ambilet.ro/bilete/pinocchio-qfeel-sala-luceafarul-837065/","1","3","213.233.104.199","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
"849185","Mobile","utm","fb","paid","120239045791450637","http://m.facebook.com/","https://www.ambilet.ro/bilete/when-violin-meets-guitar-metavivaldi-iasi-792149/?fbclid=IwZXh0bgNhZW0BMABhZGlkAassxsaRL_1zcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5QtWn4JNZcwiiMC5nzZSUSLeUudY-C5_xW_u77eOboRdbd5q1nIkt4yTxHNA_aem_LEijxsd19R1eFHFl3bn64g&utm_medium=paid&utm_source=fb&utm_id=120238802380140637&utm_content=120239045791450637&utm_term=120238802380150637&utm_campaign=120238802380140637","1","21","2a02:2f0e:5705:a900:ac47:aacd:3768:f98f","Mozilla/5.0 (Linux; Android 12; BLK-LX9 Build/HUAWEIBLK-LX9; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/537.0.0.47.77;]"
"849189","Mobile","referral","salaluceafarul.ro","referral","/","https://salaluceafarul.ro/","https://www.ambilet.ro/bilete/pinocchio-qfeel-sala-luceafarul-837065/","1","4","2a02:2f05:d406:a100:210f:8375:a133:c7fe","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1"
"849192","Mobile","referral","lm.facebook.com","referral","/","https://lm.facebook.com/","https://www.ambilet.ro/bilete/cantec-soptit-gura-humorului-821856/?fbclid=IwY2xjawQvBGRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5r3tPtUGo07cQRdIH2qWRvixgGulpEdBINy5300WsNCC3lKHmz473f6aFPeQ_aem_haPgqEE2OTjPvv7akXncZg","2","3","213.157.186.97","Mozilla/5.0 (Linux; Android 13; SM-G781B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.148 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/553.0.0.56.58;IABMV/1;]"
"849194","Mobile","organic","google","organic",NULL,"https://www.google.com/","https://www.ambilet.ro/","2","4","37.251.223.219","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
"849197","Mobile","utm","fb","paid","120241632954210345","http://m.facebook.com/","https://www.ambilet.ro/qfeel/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasvIwGVkclzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEe_CDOESh0OhSnv57SjPJyMcjmquROPBz5zMOWC3k2b_BV9xyTi4B4excIlJU_aem_fsED4CxXktrSbmBRRthEGg&utm_medium=paid&utm_source=fb&utm_id=120239202811670345&utm_content=120241632954210345&utm_term=120239202811650345&utm_campaign=120239202811670345","1","4","81.196.217.224","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D8133 Safari/604.1 [FBAN/FBIOS;FBAV/553.0.0.43.84;FBBV/911230482;FBDV/iPhone14,2;FBMD/iPhone;FBSN/iOS;FBSV/26.3.1;FBSS/3;FBID/phone;FBLC/ro_RO;FBOP/5;FBRV/916620680;IABMV/1]"
"849202","Mobile","referral","lm.facebook.com","referral","/","https://lm.facebook.com/","https://www.ambilet.ro/?fbclid=IwY2xjawQvCL5leHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR6dJstk4Yg5BetO1M8bmezzpjJh3D0sumv04_sxwbifoomqYICPx0wJM88x3g_aem_cI-D2188O2gLECKbIA4bBw","1","8","128.127.121.25","Mozilla/5.0 (Linux; Android 10; JNY-LX1 Build/HUAWEIJNY-L21; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/542.0.0.46.151;]"
