"order_item_id","wp_order_id"
"328085","849175"
"328087","849177"
"328089","849180"
"328091","849182"
"328093","849185"
"328095","849189"
"328097","849192"
"328099","849194"
"328101","849197"
"328103","849202"
"328105","849205"
"328107","849208"
"328109","849211"
"328111","849214"
"328113","849216"
"328115","849221"
"328117","849223"
"328119","849228"
"328121","849230"
"328123","849236"
"328125","849241"
"328127","849247"
"328129","849249"
"328131","849252"
"328133","849254"
"328135","849257"
"328137","849259"
"328139","849264"
"328141","849272"
"328143","849275"
"328145","849279"
"328147","849282"
"328149","849285"
"328151","849294"
"328153","849297"
"328155","849303"
"328157","849308"
"328159","849310"
"328161","849313"
"328163","849316"
"328165","849319"
"328167","849322"
"328169","849325"
"328171","849328"
"328173","849330"
"328174","849332"
"328176","849334"
"328178","849337"
"328180","849342"
"328182","849347"
"328184","849351"
"328188","849356"
"328190","849359"
"328192","849361"
"328193","849353"
"328197","849371"
"328201","849378"
"328203","849381"
"328205","849365"
"328209","849395"
"328213","849403"
"328215","849389"
"328217","849411"
"328219","849414"
"328221","849417"
"328223","849425"
"328225","849437"
"328227","849442"
"328229","849449"
"328231","849462"
"328233","849465"
"328238","849471"
"328240","849478"
"328244","849485"
"328246","849487"
"328248","849490"
"328250","849492"
"328252","849494"
"328254","849496"
"328256","849499"
"328258","849503"
"328260","849506"
"328262","849510"
"328264","849512"
"328265","849558"
"328267","849561"
"328269","849568"
"328271","849570"
"328273","849575"
"328275","849579"
"328277","849582"
"328279","849589"
"328281","849596"
"328283","849599"
"328285","849603"
"328287","849607"
"328289","849615"
"328291","849619"
"328293","849629"
"328295","849644"
"328297","849647"
"328299","849658"
"328301","849672"
"328303","849674"
"328305","849677"
"328309","849682"
"328311","849680"
"328313","849688"
"328315","849691"
"328317","849695"
"328319","849697"
"328322","849701"
"328324","849703"
"328326","849705"
"328328","849709"
"328330","849712"
"328332","849715"
"328334","849717"
"328336","849720"
"328338","849722"
"328340","849724"
"328342","849727"
"328344","849729"
"328346","849699"
"328347","849732"
"328349","849735"
"328351","849737"
"328352","849740"
"328353","849742"
"328355","849745"
"328359","849753"
"328361","849750"
"328363","849758"
"328365","849761"
"328367","849765"
"328369","849770"
"328371","849773"
"328373","849776"
"328375","849779"
"328377","849782"
"328379","849785"
"328381","849787"
"328383","849790"
"328385","849792"
"328387","849795"
"328389","849800"
"328391","849802"
"328393","849804"
"328395","849808"
"328397","849810"
"328399","849816"
"328401","849820"
"328403","849824"
"328405","849827"
"328407","849832"
"328409","849835"
"328411","849839"
"328413","849841"
"328415","849847"
"328417","849852"
"328419","849857"
"328421","849860"
"328423","849863"
"328425","849866"
"328427","849869"
"328429","849872"
"328431","849875"
"328433","849878"
"328435","849881"
"328439","849884"
"328441","849887"
"328442","849889"
"328444","849892"
"328446","849895"
"328448","849897"
"328449","849900"
"328451","849903"
"328453","849906"
"328455","849909"
"328457","849913"
"328458","849916"
"328460","849918"
"328462","849920"
"328464","849923"
"328466","849926"
"328470","849931"
"328472","849934"
"328473","849939"
"328475","849941"
"328477","849945"
"328479","849949"
"328481","849952"
"328483","849963"
"328485","849980"
"328487","849986"
"328489","849996"
"328491","850002"
"328492","850002"
"328494","850006"
"328496","850017"
"328498","850026"
"328500","850032"
"328502","850040"
"328504","850047"
"328506","850051"
"328508","850054"
"328510","850057"
"328511","850069"
"328513","850072"
"328515","850077"
"328517","850091"
"328519","850094"
"328521","850097"
"328523","850100"
"328525","850103"
"328527","850105"
"328531","850109"
"328533","850111"
"328535","850113"
"328537","850116"
"328539","850123"
"328541","850125"
"328543","850130"
"328545","850140"
"328547","850149"
"328549","850152"
"328551","850157"
"328553","850166"
"328555","850176"
"328557","850183"
"328559","850186"
"328561","850189"
"328563","850201"
"328565","850203"
"328567","850211"
"328569","850213"
"328571","850221"
"328573","850230"
"328575","850246"
"328577","850253"
"328579","850260"
"328581","850267"
"328583","850271"
"328585","850274"
"328587","850278"
"328589","850280"
"328591","850282"
"328593","850285"
"328595","850287"
"328597","850289"
"328598","850291"
"328600","850293"
"328602","850297"
"328604","850300"
"328606","850302"
"328608","849482"
"328610","850308"
"328612","850310"
"328614","850313"
"328615","850315"
"328617","850317"
"328619","850322"
"328621","850325"
"328623","850332"
"328625","850335"
"328627","850339"
"328629","850342"
"328631","850344"
"328633","850346"
"328635","850349"
"328637","850353"
"328639","850355"
"328641","850361"
"328643","850372"
"328645","850379"
"328647","850381"
"328649","850384"
"328651","850387"
"328653","850390"
"328655","850395"
"328657","850399"
"328659","850404"
"328661","850409"
"328663","850412"
"328665","850417"
"328667","850420"
"328669","850423"
"328671","850426"
"328673","850429"
"328675","850431"
"328680","850444"
"328682","850439"
"328683","850455"
"328685","850461"
"328687","850465"
"328689","850468"
"328691","850474"
