"wp_product_id","name","wp_event_id","price","stock_qty","sold_count"
"681296","29.03.26 Acces","682152","45","95","5"
"700742","Acces la masa ____ loc ___","700146","0","30","0"
"756353","Abonament Categoria ”Regular Sale”","756306","125","0","4"
"756354","Abonament Categoria ”Before the revolution”","756306","150","1000","0"
"756388","Bilet Standard - ziua 2 sambata","756306","70","500","0"
"756396","Bilet Standard - ziua 3 duminica","756306","70","500","0"
"758543","19.04.26 Earlybird","758537","79","34","16"
"758563","09.05.26 Earlybird","758553","79","38","12"
"758580","22.05.26 Earlybird","758572","79","22","28"
"758593","23.05.26 Earlybird","758589","79","0","50"
"763810","21.03.26 Acces ora 19:00","763777","85","0","0"
"771669","Abonament Blind Tickets","771658","130","0","5"
"774840","26.04.26 Bilet ora 18:00","774828","65","59","1"
"776283","ABONAMENT EARLY BIRD","776088","210","0","13"
"776287","ABONAMENT PRE SALE","776088","260","0","5"
"776298","ABONAMENT REGULAR","776088","320","1000","0"
"776428","ABONAMENT FAMILY 2+1","776088","800","100","0"
"776831","ABONAMENT FAMILY 2+2","776088","1000","100","0"
"776837","ABONAMENT 8 MARTIE","776088","200","0","1"
"777349","Categoria I","777342","60",,"8"
"777363","Categ.I","777356","60",,"2"
"781385","26.03.26 Acces ora 19:00","764030","70","0","0"
"785604","Categoria III","785192","40","0","0"
"785606","Categoria II","785192","50","0","0"
"785609","Categoria I","857587","60",,"18"
"792903","Categoria III","792886","90",,"64"
"792904","Categoria II","792886","110",,"80"
"792905","Categoria I","792886","130",,"64"
"796069","08.05.26 Earlybird","796048","79","32","18"
"797169","01.02.26 Acces","772981","35","0","7"
"797595","27.03.26 Acces fara loc","797579","70","88","112"
"799602","Categoria III","799586","90",,"72"
"799603","Categoria II","799586","110",,"104"
"799605","Categoria I","799586","130",,"35"
"799772","Acces duminica 21.06.26","799767","45",,"0"
"800475","Presale Bilet Vineri 27 martie 2026– ZONA B","717259","160","0","30"
"800495","Presale Sâmbătă 28 martie 2026 – ZONA B","717259","180","16","14"
"800505","Presale Bilet Duminică 29 martie 2026– ZONA B","717259","160","17","13"
"800909","Abonament Presale","734449","350","296","4"
"801050","Abonament Earlybird","800982","175","0","11"
"807356","02.04.26 Presale","807335","85","896","4"
"807361","02.04.26 Acces","807335","100","499","1"
"807774","02.04.26 Earlybird","807335","65","0","22"
"807792","Acces sambata 21.03.26","807790","45","0","0"
"808733","Categ.III","808702","90",,"64"
"808738","Categ.II","808702","110",,"80"
"808739","Categ.I","808702","130",,"64"
"811827","28.03.26 Bilet ora 18:30","573330","65","57","3"
"811899","27.03.26 Acces ora 19:00","763777","85","0","0"
"812379","Suport Artist","812368","40",,"0"
"817763","03.04.26 Acces fara loc","817750","70","143","57"
"817803","Bilet Donatie","817784","180","60","40"
"820888","Acces elev/student","820879","40","0","50"
"820901","Acces","820879","50","204","46"
"821170","19.04.26 Presale","821163","100","75","25"
"821377","18.04.26 Presale 1","821363","100","0","100"
"821884","28.03.26 Acces","821863","120","277","23"
"822596","22.05.26 Presale","822546","40","47","3"
"822629","30.05.26 Presale","822600","40","49","1"
"824272","28.03.26 Acces","824222","50",,"0"
"826647","Early Abonament General Acces Pass","826630","90","0","35"
"826830","22.05.26 Presale fara loc","826818","65","189","11"
"826950","01.04.26 Presale","826921","120","144","76"
"826952","03.04.26 Presale","826940","120","0","18"
"826955","03.04.26 Acces fara loc","826940","120","0","0"
"826956","04.04.26 Presale","826946","120","0","8"
"827393","23.04.26 Earlybird","827377","49","7","13"
"827599","25.04.26 Presale","827580","120","363","12"
"827920","27.03.26 Acces","827910","100","96","4"
"827924","29.03.26 Acces","827914","100","74","6"
"827938","28.03.26 Acces","827918","100","75","5"
"827976","Categ.III","827968","90",,"61"
"827982","Categ.II","827968","110",,"79"
"827983","Categ.I","827968","130",,"64"
"828094","21.03.26 Acces grup","739632","35","0","0"
"828095","28.03.26 Acces","739632","40","0","0"
"828096","28.03.26 Acces grup","739632","35","0","0"
"828097","04.04.26 Acces","739632","40","46","4"
"828189","Acces General 1 zi - 05.06.26","826630","100","1699","1"
"828202","Acces General 1 zi - 07.06.26","826630","100","1699","1"
"828203","Earlybird VIP Acces Abonament 3 zile","826630","225","0","8"
"828370","Categoria B","828363","80","44","6"
"828377","Categoria A","828363","90","161","9"
"828382","Categoria V.I.P.","828363","100","0","15"
"829021","Sambata 11 Iulie - Presale - Adult","829013","109","298","2"
"832286","Acces duminica 19.04.26","832272","45","50","0"
"832792","Categoria III","832785","50",,"4"
"832795","Categoria II","832785","60",,"42"
"832800","Categoria I","832785","75",,"53"
"833007","Categoria 2","833004","35","0","0"
"833014","Categoria 1","833004","50","0","0"
"833130","Acces sambata 04.04.26","833120","45","98","2"
"833146","Acces duminica 05.04.26","833064","45","100","0"
"833371","Abonament 8 MARTIE","756306","80","0","4"
"834100","26.04.26 Presale","834009","49","142","8"
"834807","16.04.26 Earlybird","834794","45","0","35"
"835185","INVITATIE Abonament zona B","717259","0","0","41"
"835343","29.03.26 Acces","530033","65","52","8"
"835379","27.03.26 Acces","835368","60","12","20"
"835934","10.05.26 Acces ora 12:00","835902","40","90","0"
"835935","10.05.26 Acces Grup ora 12:00","835902","35","90","0"
"837439","Earlybird","837422","950","29","1"
"837453","Phase 1","837422","1050","23","2"
"837899","Donatie I","837893","65","8","22"
"838448","02.04.26 Acces","838428","49",,"75"
"839225","Abonament Earlybird","839214","50",,"117"
"839226","Abonament Elev/Student","839214","0",,"230"
"839227","Abonament Normal","839214","120",,"11"
"839496","30.04.26 Acces","839482","79","79","21"
"839520","Abonament Earlybird","839502","99","32","68"
"839698","Taxă de participare - FEMEIE","839648","119","37","13"
"839703","Taxă de participare - BARBAT","839648","119","48","2"
"839858","Donatie II","837893","80","65","5"
"842912","17.04.26 Presale","842802","60","45","5"
"842917","18.04.26 Earlybird","842807","60","45","5"
"842985","19.04.26 Earlybird","842822","60","29","21"
"842992","21.04.26 Earlybird","842852","65","0","50"
"843074","23.04.26 Earlybird","842871","65","28","22"
"843086","25.04.26 Earlybird","842899","65","20","30"
"843257","03.04.26 Acces","843236","75","90","10"
"843534","Acces general","843522","69","120","0"
"843539","Front Row","843522","89","30","0"
"843540","Cina Trattoria Monza","843522","200","10","0"
"843564","Acces general","843543","65","120","0"
"843565","Front Row","843543","85","30","0"
"843566","Cina Trattoria Monza","843543","200","10","0"
"843654","21.04.26 Presale","843640","49","146","4"
"843679","02.04.26 Presale","843674","50","24","61"
"843694","02.04.26 Acces","843674","80","20","4"
"844298","01.05.26 Earlybird","844288","45","15","15"
"844439","Acces in 31.03.26","844434","50","47","53"
"844459","04.04.26 Presale","844356","79","29","31"
"844465","Acces sambata 28.03.26","844451","45","93","7"
"844941","Taxă de participare","844938","450","0","0"
"844994","Presale","844986","30","149","1"
"844998","Bilet promotie","844986","20","24","6"
"845025","Abonament Presale","845005","140","46","4"
"845397","03.04.26 bilet promotie","845390","15","0","50"
"845410","03.04.26 acces","845390","30","126","4"
"845727","Earlybird - Taxă de participare - FEMEIE","845712","119","58","0"
"845786","Acces general","845776","50","0","0"
"845787","Front Row","845776","75","0","0"
"845788","Cina Trattoria Monza","845776","200","0","0"
"848440","28.03.26 Last Minute","821863","99","214","36"
"848441","27.03.26 Last Minute","821856","99","89","11"
"848453","26.03.26 Last Minute","821853","99","288","12"
"848502","14.05.26 Presale","848495","60","61","9"
"848587","Categ.I","846118","70",,"19"
"848838","Acces duminica 29.03.26","848832","45",,"0"
"849290","Taxă grup minim 3 prieteni","839648","89.25","0","6"
"849302","Taxă grup minim 5 prieteni","839648","59.5","0","0"
"849423","Acces duminica 20.09.26","849420","45","50","0"
"849441","Acces duminica 03.05.26","849432","45","50","0"
"849454","Acces duminica 17.05.26","849445","45","50","0"
"849498","Acces rand ____ loc ___","834916","0","0","45"
"849609","15.04.26 Acces","849585","70","100","0"
"849944","04.04.26 Bilet ora 18:30","849937","65","60","0"
"849968","04.04.26 Bilet ora 18:30","849960","65","60","0"
"849991","04.04.26 Bilet ora 20:30","849988","65","60","0"
"850005","19.04.26 Bilet ora 18:00","849999","65","60","0"
"850016","24.04.26 Bilet ora 20:30","849988","65","60","0"
"850060","26.04.26 Acces","850044","40","60","0"
"850061","26.04.26 Oferta grup","850044","35","60","0"
"850076","26.04.26 Bilet ora 20:00","850062","65","60","0"
"850087","03.05.26 Bilet ora 20:00","850084","65","60","0"
"850160","07.06.26 Acces ora 12:00","850154","40","90","0"
