"wp_ticket_id","created_at","post_status","wp_event_id","wp_product_id","ticket_code","wc_order_item_id","checkin_data"
"736341","2025-11-01 00:11:28","publish","724877","724884","EEAE7B0E8","274284",
"736342","2025-11-01 00:11:28","publish","724877","724884","698AFE73D","274284",
"736344","2025-11-01 00:20:02","publish","705688","705694","9F1E53A16","274286","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762027176;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:705689;}}"
"736351","2025-11-01 01:18:16","publish","719378","719394","FE7E5F7D9","274291","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762040783;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:719379;}}"
"736353","2025-11-01 01:44:14","publish","605313","701024","18676396D","274293","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762029828;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:605314;}}"
"736355","2025-11-01 02:14:37","publish","725157","725169","71C9F4755","274295","a:1:{i:0;a:3:{s:12:""date_checked"";i:1761963643;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:725158;}}"
"736357","2025-11-01 02:40:24","publish","730775","730793","EAFE8E576","274297",
"736359","2025-11-01 06:19:18","publish","734001","734020","467B6EE37","274298","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762598446;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:734002;}}"
"736360","2025-11-01 06:19:19","publish","734001","734020","B0D276E78","274298","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762598453;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:734002;}}"
"736365","2025-11-01 07:59:48","publish","733493","733497","A4998A2E9","274302","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762027522;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:733494;}}"
"736371","2025-11-01 08:15:39","publish","734001","734020","A80E41559","274304","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762599311;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:734002;}}"
"736372","2025-11-01 08:15:39","publish","734001","734020","FF7BA4546","274304","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762599303;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:734002;}}"
"736420","2025-11-01 09:35:13","publish","704687","704707","5D820CE36","274306","a:1:{i:0;a:3:{s:12:""date_checked"";i:1763064435;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:188495;}}"
"736428","2025-11-01 09:37:45","publish","605313","701024","7A7412900","274312","a:1:{i:0;a:3:{s:12:""date_checked"";i:1762020969;s:6:""status"";s:4:""Pass"";s:10:""api_key_id"";i:605314;}}"
