"wp_event_id","name"
"41209","Dusty Ride @ Trocadero Blues Nights"
"54773","Moise si Magica @ Quantic (*"
"66824","Astral Night: Frig -lansare album / Irfan / Mindcage Escape (*"
"67329","Nightlosers si 20 secole Vulpe (*"
"82525","W.A.S.P. 40th Anniversary World Tour 2022/2023"
"133146","Kempes la Buzau"
"133941","Lasa-ma sa am grija de tine (Teatru Infinit)"
"136464","Lasa-ma sa am grija de tine (teatru) @Cinema Europa"
"142909","When Violin Meets Guitar -de la Baroc la Rock"
"160558","Gala Folk - Om Bun"
"163885","Statia 13 dupa piese, schite si poezii (teatru)"
"164928","Marcian Petrescu BluesHarp BAND Cvintet Edition"
"175354","Sasha'h Bike Shop Festival 2022"
"183706","22.09.23 White Mahala @The PUB Universitatii"
"193887","Lectia de engleza - la Teatrul Vasilache"
"209740","Scufita Rosie si Lectia de Geografie - adaptare dupa Fratii Grimm"
"264821","Festivalul Celtic Transilvania editia a VII-a 2023"
"275800","Nu-nteleg ce se intampla de Mihai Ignat (Teatru Infinit) ANULAT"
"281123","Sasha'h Bike Festival 2023"
"285519","Lectia de engleza @ I-auzi una"
"288950","05.05.23 Dirty Shirt @Club Flex Arad"
"291915","Molly Bloom (Teatru Infinit)"
"293010","Trupa CALEnDAR • concert Aniversar 11 ani"
"298970","Achord - ""Then and Now"""
"306935","Black Sun Empire si britanicul Audio @Arena dnb (+16) att.tick"
"307142","Romanian Comic Book@The PUB Universitatii"
"312881","Seara cantecelor de munte la CLUJ - trupa CALEnDAR live"
"321743","Seara cantecelor de munte • trupa CALEnDAR @Bucuresti"
"321784","Seara cantecelor de munte • trupa CALEnDAR @Timisoara"
"321793","Maximum Rock Festival 2023"
"332159","Infected Rain • Breathelast"
"343096","Seara de poezie si cantec - Lucian STEFAN (CnD) live @ Brasov 18.05.23"
"356714","Barockfest 2023"
"358170","Seara cântecelor de munte la BRASOV - CALEnDAR live"
"361399","Seara cantecelor de munte la CLUJ - CALEnDAR live"
"361860","Seara Cantecelor de munte la București • CALEnDAR live"
"361870","Seara Cantecelor de munte la Timisoara"
"380536","Laura & The Blue Workers featuring Paul Negoita @ Trocadero Blues Nights"
"423971","Axis @ Trocadero Blues Nights"
"426323","ALL STARS BAND AT THE CROSSROADS Instrumental @ La Mama MTR"
"426394","ALL STARS BAND AT THE CROSSROADS Instrumental @ Cult Music Club Craiova"
"432867","Seara cantecelor de munte la SIBIU - trupa CALEnDAR live"
"433000","KEMPES @Roman"
"433044","KEMPES @Valhalla"
"434509","Seara cantecelor de munte la Piatra Neamt - trupa CALEnDAR live"
"435115","Strabunii nostri au facut o tara - Lucian STEFAN- live Brasov"
"435118","Strabunii nostri au facut o tara – Lucian STEFAN @ Bucuresti"
"440672","Seara cântecelor de iarnă la Cluj - trupa CALEnDAR live"
"441789","Seara cantecelor de iarna la BRASOV - CALEnDAR live SOLD OUT"
"444497","DixiT la Trocadero Blues Nights"
"445233","06.01.24 White Mahala @The Pub Universitatii"
"445769","PACIFICA & Toni Seicarescu"
"445847","De la Zavaidoc la… Nicusor - Concert Nicu Nicusor"
"445927","RocKalendarul Vechi - Un Revelion al Artistilor si nu numai!"
"446400","40 de ani de rock cu Timpuri Noi și Dan Iliescu!❤"
"446418","B-TON & Coven CLASH"
"447683","Dragos Moldovan @ The Pub Universitatii ANULAT"
"447879","Black River Blues Band @ Trocadero Blues Nights"
"447938","FiRMA Full Electric @ Love Bar, Sibiu"
"449803","Join us pe timp de pace pentru ""Ultima Noapte de Romante"" -Firma"
"450226","FiRMA Full Electric @ Soho Music Hall"
"450237","George Sarluceanu si invitatii sai @ Trocadero Blues Nights"
"450270","Ride On Band @ The Pub Universitatii"
"450341","Firma @ Club Legend - Sold Out!"
"450382","Firma @ Valhalla"
"450413","Up To Eleven - Tribut Nirvana - MTV Unplugged in New York"
"450490","TIPTIL @ The Pub Universitatii 08.02.2024"
"450497","Folk + Umor = Love"
"450934","Firma @The Stone"
"455924","Concert FiRMA | Noapte de Romante"
"457535","Taiga Dream si Jahmolxes @ Bucuresti"
"459408","Trei femei | Turneu electoral - premiera"
"460350","MAHALA RAI BANDA - super concert de martisor"
"460787","Seara cântecelor de munte la Cluj - trupa CALEnDAR"
"461492","Dirty Shirt @Versus Pub"
"463091","JIMI EL LACO & FRIENDS and FEEDBACK TO STING ( Sting tribute )"
"463273","Iris - Cuvinte de iubire @The Pub"
"463368","FiRMA @ La Liman"
"463405","FiRMA @Doors Club"
"463921","Axis @ Trocadero Blues Nights"
"463926","An Theos - FolkHore Tour 2024 @ The Stone"
"463972","An Theos - FolkHore Tour 2024 @ Rocknrolla"
"464511","Bonfire @ M2 Event venue"
"464591","An Theos - FolkHore Tour 2024 @Bucuresti"
