"wp_event_id","active_products"
"186","a:3:{i:0;s:5:""37730"";i:1;s:5:""37731"";i:2;s:5:""37729"";}"
"189","a:3:{i:0;s:5:""37727"";i:1;s:5:""37728"";i:2;s:5:""37726"";}"
"792",NULL
"801",
"825",
"833",
"863",
"1046",
"1050",
"1053",
"1056",
"1059",
"1075",
"1229",
"1279","a:3:{i:0;s:4:""1370"";i:1;s:4:""1283"";i:2;s:4:""1285"";}"
"1299","a:5:{i:0;s:4:""1399"";i:1;s:4:""1397"";i:2;s:4:""1396"";i:3;s:4:""1398"";i:4;s:4:""1401"";}"
"1373","a:2:{i:0;s:4:""1379"";i:1;s:4:""1381"";}"
"1426",
"1471","a:4:{i:0;s:4:""1492"";i:1;s:4:""1493"";i:2;s:4:""1494"";i:3;s:4:""4985"";}"
"1519","a:1:{i:0;s:4:""1529"";}"
"1701","a:2:{i:0;s:4:""1711"";i:1;s:4:""1710"";}"
"1983","a:3:{i:0;s:4:""1990"";i:1;s:4:""1989"";i:2;s:4:""1988"";}"
"1998","a:2:{i:0;s:4:""2000"";i:1;s:4:""1999"";}"
"2044","a:5:{i:0;s:4:""3401"";i:1;s:4:""3398"";i:2;s:4:""3396"";i:3;s:4:""2057"";i:4;s:4:""3400"";}"
"2185","a:1:{i:0;s:4:""2201"";}"
"2438","a:2:{i:0;s:4:""2448"";i:1;s:4:""2449"";}"
"2526","a:2:{i:0;s:4:""2533"";i:1;s:4:""2532"";}"
"2545","a:1:{i:0;s:4:""2546"";}"
"2571","a:1:{i:0;s:4:""2580"";}"
"2821","a:2:{i:0;s:4:""2829"";i:1;s:4:""2828"";}"
"2928",
"3297",
"3463","a:2:{i:0;s:4:""3471"";i:1;s:4:""3472"";}"
"3624","a:3:{i:0;s:4:""3629"";i:1;s:4:""3627"";i:2;s:4:""3628"";}"
"3640","a:4:{i:0;s:4:""3785"";i:1;s:4:""3786"";i:2;s:4:""9011"";i:3;s:4:""3788"";}"
"3649",
"3658",
"3669","a:4:{i:0;s:4:""3674"";i:1;s:5:""18774"";i:2;s:5:""18775"";i:3;s:4:""3672"";}"
"3711","a:3:{i:0;s:4:""3717"";i:1;s:5:""10053"";i:2;s:4:""3716"";}"
"3804",
"3809","a:2:{i:0;s:4:""4091"";i:1;s:4:""3817"";}"
"3896","a:1:{i:0;s:4:""3900"";}"
"3999","a:1:{i:0;s:4:""4002"";}"
"4646",
"4649",
"4662",
"4677",
"4682","a:1:{i:0;s:4:""4683"";}"
"4706","a:2:{i:0;s:4:""4713"";i:1;s:4:""4712"";}"
"4709",
"4989",NULL
"5003",
"5129","a:2:{i:0;s:4:""6446"";i:1;s:4:""5130"";}"
"5194","a:3:{i:0;s:4:""5266"";i:1;s:4:""5196"";i:2;s:4:""5195"";}"
"5277","a:4:{i:0;s:4:""5279"";i:1;s:4:""5281"";i:2;s:4:""5278"";i:3;s:6:""536576"";}"
"5387","a:1:{i:0;s:4:""5394"";}"
"5402","a:2:{i:0;s:4:""5404"";i:1;s:4:""5405"";}"
"5411","a:3:{i:0;s:4:""5416"";i:1;s:4:""5413"";i:2;s:4:""5412"";}"
"5456","a:8:{i:0;s:4:""5460"";i:1;s:4:""5466"";i:2;s:5:""10538"";i:3;s:4:""5465"";i:4;s:5:""10537"";i:5;s:4:""5464"";i:6;s:4:""5463"";i:7;s:4:""5462"";}"
"5709","a:2:{i:0;s:4:""5713"";i:1;s:4:""5711"";}"
"5823","a:2:{i:0;s:4:""5827"";i:1;s:4:""6531"";}"
"5972","a:1:{i:0;s:4:""5975"";}"
"6031","a:2:{i:0;s:4:""6035"";i:1;s:4:""6034"";}"
"6085","a:1:{i:0;s:4:""6088"";}"
"6377","a:3:{i:0;s:4:""7649"";i:1;s:4:""7647"";i:2;s:5:""29612"";}"
"6411","a:1:{i:0;s:4:""6414"";}"
"6537","a:1:{i:0;s:4:""6538"";}"
"6616","a:4:{i:0;s:5:""17155"";i:1;s:5:""17116"";i:2;s:4:""6625"";i:3;s:5:""14869"";}"
"6736","a:2:{i:0;s:4:""6738"";i:1;s:4:""6737"";}"
"6823","a:1:{i:0;s:4:""6825"";}"
"7232","a:4:{i:0;s:4:""7237"";i:1;s:4:""7236"";i:2;s:4:""8120"";i:3;s:4:""8107"";}"
"7238","a:2:{i:0;s:4:""7240"";i:1;s:4:""7241"";}"
"7367","a:1:{i:0;s:4:""7371"";}"
"7413","a:3:{i:0;s:4:""7418"";i:1;s:4:""7415"";i:2;s:4:""7419"";}"
"7471","a:3:{i:0;s:4:""7487"";i:1;s:4:""7486"";i:2;s:4:""7482"";}"
"7711",
"7779","a:4:{i:0;s:4:""7811"";i:1;s:4:""7810"";i:2;s:4:""7807"";i:3;s:4:""7809"";}"
"7845","a:4:{i:0;s:4:""7875"";i:1;s:4:""7874"";i:2;s:4:""7877"";i:3;s:4:""7876"";}"
"7878","a:5:{i:0;s:4:""7881"";i:1;s:4:""7885"";i:2;s:4:""7882"";i:3;s:4:""7886"";i:4;s:4:""7880"";}"
"9540","a:3:{i:0;s:4:""9545"";i:1;s:4:""9881"";i:2;s:4:""9546"";}"
"10116",
"10156",
"10446","a:2:{i:0;s:5:""10447"";i:1;s:5:""10453"";}"
"10478","a:1:{i:0;s:5:""10482"";}"
"10493","a:1:{i:0;s:5:""10494"";}"
