"wp_product_id","stock_status","stock_qty"
"444","instock","94"
"828","outofstock","0"
"834","outofstock","0"
"937","outofstock","0"
"939","outofstock","0"
"941","outofstock","0"
"943","outofstock","0.000000"
"944","outofstock","0"
"945","outofstock","0"
"946","instock","249"
"947","outofstock","0"
"949","outofstock","0"
"1086","instock",
"1087","outofstock",
"1109","instock","94"
"1110","instock","80"
"1154","outofstock","0"
"1180","instock",
"1218","instock",
"1283","outofstock","0"
"1284","outofstock","0"
"1285","outofstock","0"
"1291","outofstock","0"
"1300","instock",
"1370","outofstock","0.000000"
"1374","instock",
"1375","instock",
"1379","outofstock","0"
"1381","outofstock","0"
"1396","outofstock","0"
"1397","outofstock","0"
"1398","outofstock","0"
"1399","outofstock","0"
"1401","outofstock","0"
"1403","outofstock","0"
"1492","outofstock","0"
"1493","outofstock",
"1494","outofstock","0"
"1525","instock",
"1529","outofstock","0"
"1710","outofstock","0"
"1711","outofstock","0"
"1988","outofstock",
"1989","outofstock",
"1990","outofstock","0"
"1999","instock",
"2000","instock",
"2057","instock","67"
"2189","instock",
"2190","instock",
"2201","outofstock","0"
"2202","outofstock","0"
"2448","outofstock","0"
"2449","outofstock","0"
"2527","instock","16"
"2532","outofstock","0"
"2533","outofstock","0"
"2546","instock",
"2547","instock",
"2580","outofstock","0"
"2582","outofstock","0"
"2594","outofstock","0"
"2828","instock",
"2829","instock",
"2930","instock",
"2933","outofstock","0"
"3302","outofstock",
"3396","instock",
"3398","instock","955"
"3400","instock","972"
"3401","instock","976"
"3471","outofstock","0"
"3472","outofstock","0"
"3627","outofstock","0"
"3628","outofstock","0"
"3629","outofstock","0"
"3652","outofstock",
"3653","outofstock","0"
"3672","instock","28"
"3674","instock","1996"
"3716","outofstock",
"3717","outofstock",
"3727","outofstock",
"3785","outofstock",
"3786","outofstock",
"3788","outofstock",
"3808","instock",
"3817","instock",
"3900","outofstock","0"
"4002","instock",
"4080","instock",
"4091","instock",
"4651","outofstock","0"
"4654","outofstock","0"
"4663","instock",
"4672","instock",
"4678","outofstock","0"
"4683","outofstock","0"
"4712","instock",
"4713","instock",
"4716","instock",
"4717","instock",
"4985","instock",
"4990","instock",
"5004","instock",
"5130","outofstock",
"5131","instock",
"5195","outofstock",
"5196","outofstock",
"5234","outofstock","0"
"5266","outofstock",
"5278","outofstock",
"5279","outofstock",
"5281","outofstock",
"5394","outofstock",
"5404","instock",
"5405","instock",
"5412","instock",
"5413","outofstock",
"5416","outofstock",
"5460","instock",
"5462","outofstock","0"
"5463","outofstock",
"5464","instock","173"
"5465","instock","20"
"5466","outofstock",
"5711","instock","96"
"5713","instock",
"5715","outofstock","0"
"5827","outofstock","0"
"5975","instock","197"
"6034","outofstock","0"
"6035","outofstock","0"
"6088","instock",
"6093","instock",
"6140","outofstock","0"
"6386","outofstock","0"
"6390","outofstock","0"
"6414","instock",
"6446","instock",
"6531","instock",
"6538","instock",
"6571","outofstock",
"6625","outofstock",
"6737","outofstock","0"
"6738","outofstock","0"
"6825","outofstock","0"
"6889","outofstock","0"
"7236","outofstock","0"
"7237","outofstock","0"
"7239","outofstock","0"
"7240","outofstock","0"
"7241","outofstock","0"
"7371","outofstock","0"
"7415","instock",
"7418","instock",
"7419","instock",
"7482","instock",
"7486","instock",
"7487","instock",
"7647","outofstock","0"
"7648","outofstock","0"
