"wp_product_id","name","wp_event_id","price","stock_qty","commission_rate","commission_on_top"
"100237","Normal Ticket","100235","63",NULL,NULL,NULL
"102927","Invitatie","100235","0","10",NULL,NULL
"10125","Early Bird (primele 200)","10116","50","174",NULL,NULL
"134273","30 lei Bilet Acces","101505","0","30",,"no"
"234742","Acces in data de 11 noiembrie","101505","30",NULL,,"no"
"10168","Bilet o zi -12 august","10156","50",NULL,NULL,NULL
"10169","Bilet o zi -11 august","10156","50",NULL,NULL,NULL
"10170","Bilet o zi -10 august","10156","50",NULL,NULL,NULL
"10171","Regular- Abonament","10156","90",NULL,NULL,NULL
"101509","Acces in 01.08.20","102246","40",NULL,NULL,NULL
"102445","Acces","102442","25",NULL,NULL,NULL
"103002","Presale","103000","70",NULL,NULL,NULL
"103008","Acces","103000","89",NULL,NULL,NULL
"103598","Presale","103594","70",NULL,NULL,NULL
"103611","Normal Ticket","103594","89",NULL,NULL,NULL
"105130","Acces","103594","89","0.000000",NULL,NULL
"104137","Presale","104134","70",NULL,NULL,NULL
"104142","Normal Ticket","104134","89",NULL,"4","yes"
"104356","Early Bird","104354","79",NULL,"4","yes"
"104357","Presale","104354","99",NULL,"4","yes"
"104358","Normal Ticket","104354","110",NULL,NULL,NULL
"10447","Normal Ticket","10446","20","0",NULL,NULL
"10453","Presale","10446","15","0",NULL,NULL
"104556","Presale","104541","35",NULL,NULL,NULL
"104561","Normal Ticket","104541","40",NULL,NULL,NULL
"104547","Presale","104544","70",NULL,NULL,NULL
"104555","Normal Ticket","104544","89",NULL,NULL,NULL
"104669","26.09.20 Presale Rasnov BV","104667","50","0",NULL,NULL
"10482","Presale 24.08.18","10478","35","0",NULL,NULL
"104826","Early Bird","104824","60","1","3,5","yes"
"104828","Presale","104824","70",NULL,"3,5","yes"
"137254","Normal Ticket","104824","80",NULL,"3,5","yes"
"146461","Invitatie (o persoana)","104824","0",NULL,,"no"
"10494","25.08.18 Presale","10493","35","0",NULL,NULL
"10499","Presale (pana la 30 august)","10498","35",NULL,NULL,NULL
"105001","Acces","104998","25",NULL,NULL,NULL
"105011","Acces","105008","25","12.000000",NULL,NULL
"106710","Bilet","105008","25","11.000000",NULL,NULL
"105656","Early bird","105642","59","0.000000","6","yes"
"105667","Presale","105642","79",NULL,"6","yes"
"105668","Normal Ticket","105642","100",NULL,"6","yes"
"106072","Acces","105642","0",NULL,"6","yes"
"495695","18.05.24-Acces","105933","50","50","6","yes"
"495697","18.05.24-Acces elev/student","105933","40","50","2,5","yes"
"10680","12-15.09.18 Bilet cu loc pentru 12 septembrie","10678","50","0",NULL,NULL
"10719","12-15.09.18 Bilet cu loc pentru 14 septembrie","10678","75","0",NULL,NULL
"10725","12-15.09.18 Bilet cu loc pentru 15 septembrie","10678","50","0",NULL,NULL
"23652","04.02.24 -acces","10714","55",NULL,,"no"
"107894","Normal acces","107891","30",NULL,NULL,NULL
"108042","Presale","108035","70",NULL,NULL,NULL
"108055","Acces","108035","89",NULL,NULL,NULL
"108040","Presale","108038","70",NULL,NULL,NULL
"108056","Acces","108038","90",NULL,NULL,NULL
"108230","Normal Ticket","108228","29",NULL,"1,8","yes"
"112509","Presale","108228","19",NULL,"1,8","yes"
"112514","Invitatie (o persoana)","108228","0",NULL,,"no"
"108432","Masa 4 locuri (100 lei/persoana)","108430","100",NULL,"2","yes"
"108543","Masa 3 locuri (100 lei/persoana)","108430","100",NULL,"2","yes"
"108544","Masa 2 locuri (100 lei/persoana)","108430","100",NULL,"2","yes"
"108545","Doneaza chiar dacă nu poți ajunge la concert!","108430","100",NULL,"2","yes"
"108699","02.10.20 Bilet o zi","108697","30","0",NULL,NULL
"108700","02-03.10.20 Abonament 2 zile","108697","50","0",NULL,NULL
"108708","03.10.20 Bilet o zi","108697","30","0",NULL,NULL
"108735","Invitatie (o persoana) acces ziua 03 octombrie","108697","0","200",NULL,NULL
"10345","Acces in ziua concertului","10876","50",NULL,NULL,NULL
"10349","Normal Ticket","10876","40","0",NULL,NULL
"10350","Presale 27.10.18","10876","49","0",NULL,NULL
"10879","Presale (primele 100)","10876","35",NULL,NULL,NULL
"10886","Normal Ticket","10883","25",NULL,NULL,NULL
"10887","Presale","10883","20",NULL,NULL,NULL
"10930","Acces in ziua concertului","10927","35",NULL,NULL,NULL
"10931","Presale (pana la 28 august)","10927","25",NULL,NULL,NULL
"11020","Acces in ziua concertului","11017","50",NULL,NULL,NULL
"11021","Presale (pana la 14 septembrie)","11017","35",NULL,NULL,NULL
"110542","Acces general","110536","10","0.000000","1,5","yes"
"11145","Acces general in ziua concertului","11141","135",NULL,NULL,NULL
"11149","Presale 2","11141","109",NULL,NULL,NULL
"11150","Presale 1 (numar limitat de bilete)","11141","89","4",NULL,NULL
"11156","Acces general in ziua concertului","11151","40",NULL,NULL,NULL
"11157","Presale 2 (pana pe 25 octombrie)","11151","35",NULL,NULL,NULL
"11158","Presale 1 (primele 50)","11151","29",NULL,NULL,NULL
"104829","Categoria I","111703","80",NULL,,"no"
"126406","Categoria II","111703","60",NULL,,"no"
"112342","Acces general","112333","10","0","1,5","yes"
"11690","14.12.18 Normal ticket","11687","35","0",NULL,NULL
"11691","14.12.18 Presale (primele 50)","11687","29","0",NULL,NULL
"119257","Abonament presale","119255","290",NULL,"6","yes"
"185915","Abonament presale","119255","450",NULL,"5","yes"
"185933","Pachet de grup 5","119255","1995",NULL,"5","yes"
"185939","Pachet de grup 10","119255","3600",NULL,"5","yes"
"186322","Pachet de grup 7","119255","2793",NULL,"5","yes"
"219213","Bilet pt ziua de 22 iulie","119255","230",NULL,"5","yes"
"219217","Bilet pt ziua de 23 iulie","119255","230",NULL,"5","yes"
"219222","Bilet pt ziua de 24 iulie","119255","230",NULL,"5","yes"
"12064","Abonament Normal","12055","50",NULL,NULL,NULL
"12065","Abonament Presale","12055","45",NULL,NULL,NULL
"12066","Abonament Early Bird (primele 30)","12055","40","19",NULL,NULL
"12214","Normal Ticket","12211","35",NULL,NULL,NULL
"12215","Presale (primele 50)","12211","25","7",NULL,NULL
"124317","Acces (pentru ora 20:00)","124314","40",NULL,"5","yes"
"124511","Acces (pentru ora 18:00)","124314","40",NULL,"5","yes"
"12439","Acces Ticket (pret in ziua concertului)","12433","60",NULL,NULL,NULL
"12440","Normal Ticket","12433","50",NULL,NULL,NULL
"12441","Meet & Greet","12433","89","13",NULL,NULL
"12442","Ticket grup - pentru 5 persoane","12433","200",NULL,NULL,NULL
"12443","Presale (primele 100)","12433","45","0",NULL,NULL
"124522","Categoria II (balcon)","124506","70",NULL,NULL,NULL
"124523","Categoria I","124506","80",NULL,NULL,NULL
"124893","07.03.21 Categoria I Buzau","124888","60","0","5","yes"
"124895","07.03.21 Categoria II Buzau","124888","50","0","5","yes"
"12710","Acces ticket","12692","15",NULL,NULL,NULL
"127275","Abonament Presale","127060","200",NULL,"5","yes"
"127280","Bilet camping (campare pentru 5 zile)","127060","30",NULL,"5","yes"
"135534","Acces joi – 22 iulie","127060","50",NULL,"5","yes"
"135535","Acces joi – 23 iulie","127060","70",NULL,"5","yes"
"135536","Acces joi – 24 iulie","127060","70",NULL,"5","yes"
"135537","Acces joi – 25 iulie","127060","50",NULL,"5","yes"
"127314","Bilet 04.06.21 (Cinema Europa)","127317","45","0","6","yes"
"127323","Bilet 1+1 gratis 17.12.21 (Cinema Europa)","127317","45","0","6","yes"
"133931","Bilet (reprezentatia din 11 februarie)","127320","50",NULL,"6","yes"
"158683","Bilet 1+1 gratis (reprezentatia din 5 martie)","127320","50",NULL,"6","yes"
"158685","Bilet 1+1 gratis (reprezentatia din 18 martie)","127320","50",NULL,"6","yes"
"158687","Bilet 1+1 gratis (reprezentatia din 3 aprilie)","127320","50",NULL,"6","yes"
"104422","11.12.21 Bilet 1+1","127337","45","0","6","yes"
"155957","13.02.22 Bilet","127337","50","0","6","yes"
"158716","11.03.2022 Bilet 1+1","127337","50","0","6","yes"
"158721","Bilet 1+1 gratis (reprezentatia din 9 aprilie)","127337","50","24","6","yes"
"81321","28.02.20 Cainele meu","127342","40","0",NULL,NULL
"104430","12.06.21 Bilet Cainele meu n are nas","127342","45","0","6","yes"
"828","17.02.24 Acces 1+1 GRATIS","127358","70","0","6","yes"
"1154","02.03.24 Acces 1+1 GRATIS","127358","70","0","6","yes"
"35656","21.01.24 Acces 1+1 GRATIS","127358","70","0","6","yes"
"60581","Acces in 02.03.24","127358","50",NULL,"6","yes"
"82000","Acces in 21.01.24","127358","50","0","6","yes"
"127384","Bilet (reprezentatia din 19 iunie)","127358","45",NULL,"6","yes"
"129380","Bilet (reprezentatia din 30 ianuarie)","127358","50",NULL,"6","yes"
"127395","25.06.21 Bilet -Ducele","127388","45","0","6","yes"
"12743","Acces in ziua concertului","12740","35",NULL,NULL,NULL
"12744","Presale (pana pe 28 noiembrie)","12740","20",NULL,NULL,NULL
"151795","Bilet 1+1 gratis 18.12.21 (Teatru Infinit)","127403","45","0","6","yes"
"12750","Normal Tickets","12748","75",NULL,NULL,NULL
"12754","Presale 2 (100 bilete)","12748","69","0",NULL,NULL
"12755","Presale 1 (primele 50 bilete)","12748","59","0",NULL,NULL
"12953","Pret bilet în ziua evenimentului","12748","80",NULL,NULL,NULL
"17659","Invitatie","12748","0","0",NULL,NULL
"127560","Abonament Presale","127552","250","85",NULL,NULL
"129037","Abonament Presale","127552","238","49","5","yes"
"131710","Abonament Normal","127552","333.50","65","5","yes"
"132950","Abonament Normal","127552","333.50","72","5","yes"
"133600","Bilet pt ziua de 22 iulie","127552","142.9","0","5","yes"
"133604","Bilet pt ziua de 23 iulie","127552","142.9",NULL,"5","yes"
"133605","Bilet pt ziua de 24 iulie","127552","142.9",NULL,"5","yes"
"134995","Abonament (one day sale)","127552","276.20","63","5","yes"
"134998","Bilet pt 24 iulie (one day sale)","127552","119.10",NULL,"5","yes"
