"wp_order_id","order_status","coupon_codes","discount_amount","order_total"
"860951","wc-completed","HaiLaQfeel!","24","103.20"
"860716","wc-completed","Hailaqfeel!","24","103.20"
"860591","wc-processing","qfree","280","0.00"
"860588","wc-processing","qfree","120","0.00"
"859629","wc-completed","HaiLaQfeel!","10","43.00"
"859198","wc-processing","Invitatie4you","400","0.00"
"858170","wc-completed","SORIN58","80","174.40"
"858163","wc-completed","Sorin58","80","174.40"
"858031","wc-completed","SORIN58","40","87.20"
"858023","wc-completed","SORIN58","80","174.40"
"857736","wc-processing","INVITATIE4YOU","200","0.00"
"857435","wc-completed","Lindyhop","69","75.90"
"857402","wc-completed","Lindyhop","34.5","37.95"
"857276","wc-processing","qfree","140","0.00"
"856844","wc-completed","lindyhop","34.5","37.95"
"856778","wc-cancelled","lindyhop","34.5","37.95"
"855939","wc-processing","Qfree","120","0.00"
"855898","wc-processing","Qfree","120","0.00"
"855758","wc-completed","HaiLaQfeel!","300","1290.00"
"855635","wc-completed","Qfeelscoala","24","103.20"
"855484","wc-processing","123wvmg!@#","220","0.00"
"855418","wc-processing","Qfree","300","0.00"
"854909","wc-completed","HaiLaQfeel!","24","103.20"
"854835","wc-processing","qfree","280","0.00"
"854725","wc-processing","qfree","240","0.00"
"854173","wc-completed","qfeelscoala","28","120.40"
"852242","wc-processing","Qfree","240","0.00"
"851600","wc-completed","HaiLaQfeel!","56","240.80"
"851593","wc-cancelled","HaiLaQfeel!","56","240.80"
"851006","wc-completed","HailaQfeel!","8","34.50"
"850967","wc-processing","qfree","100","0.00"
"850515","wc-completed","HaiLaQfeel!","40","172.00"
"850476","wc-processing","qfree","120","0.00"
"849795","wc-processing","qfree","240","0.00"
"848767","wc-processing","Caria100#","120","0.00"
"848522","wc-processing","qfree","100","0.00"
"848514","wc-processing","qfree","250","0.00"
"848276","wc-processing","Qfree","100","0.00"
"848160","wc-completed","HaiLaQfeel!","160","688.00"
"847025","wc-completed","Hailaqfeel!","28","120.40"
"847003","wc-completed","Hailaqfeel!","42","180.60"
"846761","wc-processing","qfree","600","0.00"
"845176","wc-processing","qfree","480","0.00"
"845153","wc-completed","Lindyhop","69","75.90"
"844995","wc-processing","qfree","80","0.00"
"844928","wc-processing","123wvmg!@#","360","0.00"
"844918","wc-processing","Qfree","180","0.00"
"842468","wc-completed","HaiLaQfeel!","48","206.40"
"840567","wc-processing","123wvmg!@#","300","0.00"
"840093","wc-processing","123wvmg!@#","500","0.00"
"839813","wc-processing","123wvmg!@#","280","0.00"
"839767","wc-completed","HaiLaQfeel!","32","138.00"
"838533","wc-processing","123wvmg!@#","260","0.00"
"838463","wc-completed","HaiLaQfeel!","40","172.00"
"838219","wc-completed","HaiLaQfeel!","30","129.00"
"838142","wc-completed","HaiLaQfeel!","60","258.00"
"838136","wc-completed","HaiLaQfeel!","60","258.00"
"837877","wc-processing","123wvmg!@#","150","0.00"
"837874","wc-completed","HaiLaQfeel!","24","103.20"
"837760","wc-processing","123wvmg!@#","1250","0.00"
"836499","wc-processing","123wvmg!@#","220","0.00"
"833755","wc-completed","Martieni","75","84.00"
"833593","wc-completed","MARTIENI","75","84.00"
"832884","wc-processing","QFREE","120","0.00"
"832751","wc-completed","MARTIENI","75","84.00"
"832552","wc-processing","qfree","100","0.00"
"832497","wc-processing","qfree","100","0.00"
"832369","wc-processing","123wvmg!@#","300","0.00"
"832042","wc-processing","qfree","60","0.00"
"831849","wc-processing","qfree","120","0.00"
"831678","wc-processing","qfree","240","0.00"
"831640","wc-processing","qfree","60","0.00"
"831634","wc-processing","qfree","120","0.00"
"831378","wc-processing","qfree","600","0.00"
"830888","wc-completed","HaiLaQfeel!","24","103.50"
"829536","wc-completed","HaiLaQfeel!","20","86.00"
"829085","wc-completed","ITGONIASI","40","108.40"
"828946","wc-completed","ITGONIASI","40","108.40"
"828856","wc-completed","HaiLaQfeel!","60","258.00"
"828285","wc-completed","Itgoniasi","40","108.40"
"828136","wc-completed","ITGONIASI","40","108.40"
"828053","wc-processing","123wvmg!@#","200","0.00"
"828034","wc-processing","123wvmg!@#","640","0.00"
"827865","wc-processing","caria100#","600","0.00"
"827299","wc-processing","123wvmg!@#","600","0.00"
"825566","wc-processing","123wvmg!@#","260","0.00"
"822444","wc-processing","123wvmg!@#","130","0.00"
"821189","wc-processing","123wvmg!@#","200","0.00"
"820791","wc-processing","123wvmg!@#","560","0.00"
"820788","wc-processing","123wvmg!@#","320","0.00"
"820426","wc-processing","123wvmg!@#","130","0.00"
"819958","wc-processing","123wvmg!@#","240","0.00"
"819498","wc-completed","HaiLaQfeel!","84","361.20"
"819005","wc-completed","HaiLaQfeel!","30","129.00"
"818753","wc-completed","HaiLaQfeel!","40","172.50"
"817621","wc-completed","HaiLaQfeel!","20","86.00"
"817251","wc-completed","HaiLaQfeel!","60","258.00"
"816681","wc-completed","HaiLaQfeel!","20","86.00"
"816470","wc-completed","HaiLaQfeel!","40","172.00"
"816434","wc-processing","123wvmg!@#","120","0.00"
"816411","wc-completed","HaiLaQfeel!","20","86.00"
"816124","wc-processing","123wvmg!@#","500","0.00"
"815304","wc-completed","HaiLaQfeel!","24","103.20"
"815087","wc-processing","123wvmg!@#","120","0.00"
"814378","wc-processing","123wvmg!@#","70","0.00"
"813816","wc-processing","123wvmg!@#","160","0.00"
"812757","wc-completed","HaiLaQfeel!","36","154.80"
"812561","wc-processing","123wvmg!@#","300","0.00"
"812332","wc-processing","123wvmg!@#","100","0.00"
"812178","wc-processing","123wvmg!@#","720","0.00"
"812033","wc-completed","HaiLaQfeel!","30","129.00"
"811699","wc-completed","HaiLaQfeel!","20","86.00"
"811675","wc-processing","123wvmg!@#","120","0.00"
"811175","wc-processing","123wvmg!@#","150","0.00"
"810899","wc-processing","Qfree","120","0.00"
"810863","wc-processing","qfree","120","0.00"
"810797","wc-processing","qfree","120","0.00"
"810759","wc-completed","HaiLaQfeel!","36","154.80"
"810660","wc-processing","QFREE","100","0.00"
"810626","wc-processing","123wvmg!@#","240","0.00"
"809901","wc-processing","123wvmg!@#","400","0.00"
"808986","wc-processing","qfree","60","0.00"
"808961","wc-completed","HaiLaQfeel!","20","86.00"
"808944","wc-processing","qfree","200","0.00"
"808927","wc-failed","HaiLaQfeel!","20","86.00"
"808699","wc-processing","123wvmg!@#","240","0.00"
"808419","wc-processing","123wvmg!@#","150","0.00"
"808288","wc-completed","HaiLaQfeel!","30","129.00"
"807822","wc-processing","123wvmg!@#","90","0.00"
"806507","wc-completed","HaiLaQfeel!","30","129.00"
"806161","wc-processing","qfree","240","0.00"
"806145","wc-processing","qfree","240","0.00"
"806130","wc-processing","qfree","120","0.00"
"805469","wc-completed","HaiLaQfeel!","48","206.40"
"803797","wc-processing","123wvmg!@#","2120","0.00"
"803753","wc-processing","123wvmg!@#","1560","0.00"
"803350","wc-processing","123wvmg!@#","240","0.00"
"801846","wc-processing","123wvmg!@#","560","0.00"
"800884","wc-completed","HaiLaQfeel!","40","172.00"
"800688","wc-processing","123wvmg!@#","200","0.00"
"800351","wc-completed","HaiLaQfeel!","36","154.80"
"799916","wc-processing","123wvmg!@#","500","0.00"
"798014","wc-processing","123wvmg!@#","70","0.00"
"797845","wc-completed","HaiLaQfeel!","24","103.50"
"797498","wc-completed","HaiLaQfeel!","16","69.00"
"795218","wc-completed","HaiLaQfeel!","70","301.00"
"795088","wc-completed","HaiLaQfeel!","30","129.00"
"790072","wc-processing","123wvmg!@#","400","0.00"
"789270","wc-processing","123wvmg!@#","150","0.00"
"788799","wc-completed","HaiLaQfeel!","16","69.00"
"787726","wc-completed","HaiLaQfeel!","36","154.80"
"787131","wc-completed","HaiLaQfeel!","84","361.20"
