nume,nume_en,slug,subtitlu,descriere,oras,judet,tip,adresa,latitudine,longitudine,meta_title,meta_description,cuvinte_cheie,imagine_principala,galerie_foto,imagine_credit,cod_lmi
"Biserica Neagră",,biserica-neagra-brasov,,"biserica din Brașov",Brașov,Brașov,biserica-manastire,,45.64101,25.58803,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/Biserica_Neagr%C4%83_%2848729880193%29.jpg/1280px-Biserica_Neagr%C4%83_%2848729880193%29.jpg,,"{""author"":""tomasz przechlewski"",""license"":""CC BY 2.0"",""license_url"":""https://creativecommons.org/licenses/by/2.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_Neagră_(48729880193).jpg""}",BV-II-a-A-11412
"Colegiul Național Johannes Honterus din Brașov",,colegiul-national-johannes-honterus-din-brasov-brasov,,"școală din Brașov",Brașov,Brașov,cladire-istorica,"Curtea Honterus nr. 3, loc. Brașov, RO–500025",45.64057,25.58796,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/Ro_Bv_Honterus_%281%29.jpg/1280px-Ro_Bv_Honterus_%281%29.jpg,,"{""author"":""Itineris55"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Ro_Bv_Honterus_(1).jpg""}",BV-II-m-A-11413
"Biblioteca Județeană „George Barițiu” din Brașov",,biblioteca-judeteana-george-baritiu-din-brasov-brasov,,"clădire monument istoric din Brașov, România",Brașov,Brașov,cladire-istorica,"Bd. Eroilor 35",45.645721,25.587157,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/Biblioteca_Judeteana_George_Baritiu_-_panoramio.jpg/1280px-Biblioteca_Judeteana_George_Baritiu_-_panoramio.jpg,,"{""author"":""Mister No"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biblioteca_Judeteana_George_Baritiu_-_panoramio.jpg""}",BV-II-m-B-11404
"Casa Șt. O. Iosif, Str. Prundului 4",,casa-st-o-iosif-str-prundului-4-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Prundului 4",45.637724,25.583435,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/87/RO_BV_Bra%C8%99ov_Casa_%C8%98t._O._Iosif_1.JPG/1280px-RO_BV_Bra%C8%99ov_Casa_%C8%98t._O._Iosif_1.JPG,,"{""author"":""Firilacroco"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Brașov_Casa_Șt._O._Iosif_1.JPG""}",BV-IV-m-B-11900
"Casa Mureșenilor, Piața Sfatului 25",,casa-muresenilor-piata-sfatului-25-brasov,,"casă memorială din Brașov",Brașov,Brașov,muzeu,"Piața Sfatului 25",45.6424,25.58835,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/RO_BV_Bra%C8%99ov_Casa_Mure%C8%99enilor_4.jpg/1280px-RO_BV_Bra%C8%99ov_Casa_Mure%C8%99enilor_4.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Brașov_Casa_Mureșenilor_4.jpg""}",BV-II-m-A-11582
"Casa Filstich-Plecker din Brașov",,casa-filstich-plecker-din-brasov-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Sfatului 18",45.6416,25.5885,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f6/Bra%C5%9Fov_-_town_square_cropped.jpg/1280px-Bra%C5%9Fov_-_town_square_cropped.jpg,,"{""author"":""User:Mercy"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Braşov_-_town_square_cropped.jpg""}",BV-II-m-B-11576
"Casa cu sfinți din Brașov",,casa-cu-sfinti-din-brasov-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Saftu Vasile, dr. 15",45.63405,25.57898,,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Bra%C8%99oc_-_Casa_cu_sfin%C8%9Bi.jpg,,"{""author"":""Munteanu Anca"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Brașoc_-_Casa_cu_sfinți.jpg""}",BV-II-m-A-11554
"Casa Jekelius, Str. Republicii 17",,casa-jekelius-str-republicii-17-brasov,,"casă monument istoric din Brașov, România",Brașov,Brașov,cladire-istorica,"Str. Republicii 17",45.64305,25.59167,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Bra%C8%99ov_%289369483637%29.jpg/1280px-Bra%C8%99ov_%289369483637%29.jpg,,"{""author"":""Stefan Jurca from Munich, Germany"",""license"":""CC BY-SA 2.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/2.0"",""source"":""https://commons.wikimedia.org/wiki/File:Brașov_(9369483637).jpg""}",BV-II-m-A-11540
"Casa Czeides, Piața Sfatului 4",,casa-czeides-piata-sfatului-4-brasov,,"casă monument din Brașov",Brașov,Brașov,cladire-istorica,"Piața Sfatului 4",45.64271,25.58948,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fd/Casa_Czeides.JPG/1280px-Casa_Czeides.JPG,,"{""author"":""Strainu"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Casa_Czeides.JPG""}",BV-II-m-A-11563
"Casele Closius-Hiemesch-Giesel",,casele-closius-hiemesch-giesel-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Sfatului 15-16",45.6415,25.589,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Casele_Closius-Hiemesch-Giesel.jpg,,"{""author"":""Rotaru Florin"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Casele_Closius-Hiemesch-Giesel.jpg""}",BV-II-m-A-11574
"Casa Seuler, Brașov, Piața Sfatului 27",,casa-seuler-brasov-piata-sfatului-27-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Sfatului 27",45.64279,25.58846,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/Brasov_Seuler_house.jpg/1280px-Brasov_Seuler_house.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Brasov_Seuler_house.jpg""}",BV-II-m-B-11583
"Hanul Roșu, Brașov, Str. Bălcescu Nicolae 16",,hanul-rosu-brasov-str-balcescu-nicolae-16-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Bălcescu Nicolae 16",45.6415,25.59261,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/RO_BV_str_Balcescu_nr_16.jpg/1280px-RO_BV_str_Balcescu_nr_16.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_str_Balcescu_nr_16.jpg""}",BV-II-m-A-11318
"Casa Cziegler, Piața Sfatului 17",,casa-cziegler-piata-sfatului-17-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Sfatului 17",45.64125,25.58885,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/RO_BV_Cziegler_house_4.jpg/1280px-RO_BV_Cziegler_house_4.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Cziegler_house_4.jpg""}",BV-II-m-B-11575
"Casa Benkner, Str. Barițiu Gh. 1-1A",,casa-benkner-str-baritiu-gh-1-1a-brasov,,"clădire în Brașov",Brașov,Brașov,cladire-istorica,"Str. Barițiu Gh. 1-1A",45.64175,25.5883,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/RO_BV_Benkner_house_3.jpg/1280px-RO_BV_Benkner_house_3.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Benkner_house_3.jpg""}",BV-II-m-B-11301
"Orfelinatul Tartler, Str. Poarta Schei 14",,orfelinatul-tartler-str-poarta-schei-14-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Poarta Schei 14",45.63995,25.58775,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/TartlerOrphanageBrasov2.jpg/1280px-TartlerOrphanageBrasov2.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:TartlerOrphanageBrasov2.jpg""}",BV-II-m-A-11500
"Casa Brâncoveanu-Manolache Lambrino",,casa-brancoveanu-manolache-lambrino-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Brâncoveanu Constantin 32",45.637984,25.580443,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/RO_BV_Bra%C8%99ov_Casa_Br%C3%A2ncoveanu-Manolache_Lambrino_1.JPG/1280px-RO_BV_Bra%C8%99ov_Casa_Br%C3%A2ncoveanu-Manolache_Lambrino_1.JPG,,"{""author"":""Firilacroco"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Brașov_Casa_Brâncoveanu-Manolache_Lambrino_1.JPG""}",BV-II-m-A-11375
"Casa Schobeln, Str. Mureșenilor 9",,casa-schobeln-str-muresenilor-9-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Mureșenilor 9",45.643638,25.588879,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c0/RO_BV_Bra%C8%99ov_Casa_Schobeln_4.jpg/1280px-RO_BV_Bra%C8%99ov_Casa_Schobeln_4.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Brașov_Casa_Schobeln_4.jpg""}",BV-II-m-A-11467
"Casă, Piața Sfatului 11",,casa-piata-sfatului-11-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Sfatului 11",45.6422,25.59,,,,,,,BV-II-m-A-11569
"Casă, Str. Dorobanți 81",,casa-str-dorobanti-81-harman,,,Hărman,Brașov,cladire-istorica,"Str. Dorobanți 81",45.716692,25.684206,,,,,,,BV-II-m-A-11714
"Casa Trausch, Str. Barițiu Gh. 7",,casa-trausch-str-baritiu-gh-7-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Barițiu Gh. 7",45.6408,25.5872,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c7/RO_BV_Str._Baritiu_nr._7.jpg/1280px-RO_BV_Str._Baritiu_nr._7.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Str._Baritiu_nr._7.jpg""}",BV-II-m-B-11306
"Casa Johannes Honterus, Str. Bălcescu Nicolae 40",,casa-johannes-honterus-str-balcescu-nicolae-40-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Bălcescu Nicolae 40",45.642213,25.594318,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/RO_BV_str_Balcescu_nr_40.jpg/1280px-RO_BV_str_Balcescu_nr_40.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_str_Balcescu_nr_40.jpg""}",BV-II-m-B-11326
"Casa de editură Ciurcu, Str. Hirscher Apollonia 3",,casa-de-editura-ciurcu-str-hirscher-apollonia-3-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Hirscher Apollonia 3",45.64078,25.58985,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/RO_BV_Str._Hirscher_nr._3.jpg/1280px-RO_BV_Str._Hirscher_nr._3.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:RO_BV_Str._Hirscher_nr._3.jpg""}",BV-II-m-B-11407
Casă,,casa-brasov,,,Brașov,Brașov,cladire-istorica,,45.640463,25.587516,,,,,,,BV-II-m-B-11416
"Fosta casă a Rectorului, azi locuință",,fosta-casa-a-rectorului-azi-locuinta-brasov,,,Brașov,Brașov,cladire-istorica,,45.640678,25.587414,,,,,,,BV-II-m-B-11420
"Casă, Str. Maniu Iuliu 3",,casa-str-maniu-iuliu-3-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Maniu Iuliu 3",45.6473,25.5981,,,,,,,BV-II-m-B-11463
"Casă, Piața Sfatului 8",,casa-piata-sfatului-8-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Sfatului 8",45.6427,25.5905,,,,,,,BV-II-m-B-11567
"Casa din curte, Piața Sfatului 10",,casa-din-curte-piata-sfatului-10-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Sfatului 10",45.6425,25.5905,,,,,,,BV-II-m-B-11568
"Casa Barac, Piața Unirii 3",,casa-barac-piata-unirii-3-brasov,,,Brașov,Brașov,cladire-istorica,"Piața Unirii 3",45.635626,25.580589,,,,,,,BV-II-m-B-11590
"Hanul „La îngerul auriu”, Str. Weiss Michael 23",,hanul-la-ingerul-auriu-str-weiss-michael-23-brasov,,,Brașov,Brașov,cladire-istorica,"Str. Weiss Michael 23",45.6434,25.5911,,,,,,,BV-IV-m-B-11905
"Turnul Negru din Brașov",,turnul-negru-din-brasov-brasov,,,Brașov,Brașov,cladire-istorica,,45.6413,25.5857,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/BV_Black_Tower_2.jpg/1280px-BV_Black_Tower_2.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:BV_Black_Tower_2.jpg""}",BV-II-m-A-11294.05
"Turnul Alb din Brașov",,turnul-alb-din-brasov-brasov,,,Brașov,Brașov,cladire-istorica,,45.6429,25.5866,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/BV_WhiteTower2.jpg/1280px-BV_WhiteTower2.jpg,,"{""author"":""Whitepixels"",""license"":""CC0"",""license_url"":""http://creativecommons.org/publicdomain/zero/1.0/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:BV_WhiteTower2.jpg""}",BV-II-m-A-11294.05
