id,slug,name,gyg_id,gyg_url,status,confidence
789,bucuresti,București,111,https://www.getyourguide.com/bucuresti-l111/,ok,high
790,voluntari,Voluntari,,,not_found,not_found
791,popesti-leordeni,Popești-Leordeni,,,not_found,not_found
792,bragadiru,Bragadiru,,,not_found,not_found
793,buftea,Buftea,,,not_found,not_found
794,pantelimon,Pantelimon,185106,https://www.getyourguide.com/judetul-ilfov-l185106/,ok,low
795,otopeni,Otopeni,185106,https://www.getyourguide.com/judetul-ilfov-l185106/,ok,low
796,chitila,Chitila,,,not_found,not_found
797,magurele,Măgurele,,,not_found,not_found
798,cluj-napoca,Cluj-Napoca,2393,https://www.getyourguide.com/cluj-napoca-l2393/,ok,high
799,turda,Turda,144427,https://www.getyourguide.com/judetul-cluj-l144427/,ok,low
800,dej,Dej,144427,https://www.getyourguide.com/judetul-cluj-l144427/,ok,low
801,campia-turzii,Câmpia Turzii,,,not_found,not_found
802,gherla,Gherla,144427,https://www.getyourguide.com/judetul-cluj-l144427/,ok,low
803,huedin,Huedin,,,not_found,not_found
804,floresti,Florești,,,not_found,not_found
805,baciu,Baciu,,,not_found,not_found
806,timisoara,Timișoara,169162,https://www.getyourguide.com/romania-l169162/,ok,low
807,lugoj,Lugoj,,,not_found,not_found
808,sannicolau-mare,Sânnicolau Mare,,,not_found,not_found
809,jimbolia,Jimbolia,,,not_found,not_found
810,faget,Făget,,,not_found,not_found
811,buzias,Buziaș,,,not_found,not_found
812,deta,Deta,,,not_found,not_found
813,recas,Recaș,,,not_found,not_found
814,giroc,Giroc,,,not_found,not_found
815,dumbravita,Dumbrăvița,,,not_found,not_found
816,constanta,Constanța,2660,https://www.getyourguide.com/judetul-constanta-l2660/,ok,high
817,mangalia,Mangalia,,,not_found,not_found
818,medgidia,Medgidia,,,not_found,not_found
819,navodari,Năvodari,,,not_found,not_found
820,cernavoda,Cernavodă,,,not_found,not_found
821,mamaia,Mamaia,2660,https://www.getyourguide.com/judetul-constanta-l2660/,ok,low
