id,slug,name,gyg_id,gyg_slug,bucket,reason
789,bucuresti,"București",111,bucuresti,auto,high confidence (bucuresti)
790,voluntari,"Voluntari",,,not_found,no GYG city page found
791,popesti-leordeni,"Popești-Leordeni",,,not_found,no GYG city page found
792,bragadiru,"Bragadiru",,,not_found,no GYG city page found
793,buftea,"Buftea",,,not_found,no GYG city page found
794,pantelimon,"Pantelimon",185106,judetul-ilfov,auto,low -> county page (judetul-ilfov)
795,otopeni,"Otopeni",185106,judetul-ilfov,auto,low -> county page (judetul-ilfov)
796,chitila,"Chitila",,,not_found,no GYG city page found
797,magurele,"Măgurele",,,not_found,no GYG city page found
798,cluj-napoca,"Cluj-Napoca",2393,cluj-napoca,auto,high confidence (cluj-napoca)
799,turda,"Turda",144427,judetul-cluj,auto,low -> county page (judetul-cluj)
800,dej,"Dej",144427,judetul-cluj,auto,low -> county page (judetul-cluj)
801,campia-turzii,"Câmpia Turzii",,,not_found,no GYG city page found
802,gherla,"Gherla",144427,judetul-cluj,auto,low -> county page (judetul-cluj)
803,huedin,"Huedin",,,not_found,no GYG city page found
804,floresti,"Florești",,,not_found,no GYG city page found
805,baciu,"Baciu",,,not_found,no GYG city page found
806,timisoara,"Timișoara",169162,romania,country,romania-wide page (romania-l169162)
807,lugoj,"Lugoj",,,not_found,no GYG city page found
808,sannicolau-mare,"Sânnicolau Mare",,,not_found,no GYG city page found
809,jimbolia,"Jimbolia",,,not_found,no GYG city page found
810,faget,"Făget",,,not_found,no GYG city page found
811,buzias,"Buziaș",,,not_found,no GYG city page found
812,deta,"Deta",,,not_found,no GYG city page found
813,recas,"Recaș",,,not_found,no GYG city page found
814,giroc,"Giroc",,,not_found,no GYG city page found
815,dumbravita,"Dumbrăvița",,,not_found,no GYG city page found
816,constanta,"Constanța",2660,judetul-constanta,auto,high confidence (judetul-constanta)
817,mangalia,"Mangalia",,,not_found,no GYG city page found
818,medgidia,"Medgidia",,,not_found,no GYG city page found
819,navodari,"Năvodari",,,not_found,no GYG city page found
820,cernavoda,"Cernavodă",,,not_found,no GYG city page found
821,mamaia,"Mamaia",2660,judetul-constanta,auto,low -> county page (judetul-constanta)
822,eforie-nord,"Eforie Nord",2660,judetul-constanta,auto,low -> county page (judetul-constanta)
823,eforie-sud,"Eforie Sud",,,not_found,no GYG city page found
824,neptun,"Neptun",,,not_found,no GYG city page found
825,costinesti,"Costinești",,,not_found,no GYG city page found
826,vama-veche,"Vama Veche",,,not_found,no GYG city page found
827,brasov,"Brașov",2003,brasov,auto,high confidence (brasov)
828,fagaras,"Făgăraș",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
829,sacele,"Săcele",,,not_found,no GYG city page found
830,codlea,"Codlea",,,not_found,no GYG city page found
831,rasnov,"Râșnov",2004,rasnov,auto,high confidence (rasnov)
832,zarnesti,"Zărnești",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
833,predeal,"Predeal",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
834,poiana-brasov,"Poiana Brașov",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
835,bran,"Bran",188057,tarate,wrong,low + non-county slug (tarate)
836,iasi,"Iași",169162,romania,country,romania-wide page (romania-l169162)
837,pascani,"Pașcani",,,not_found,no GYG city page found
